,geo_value,time_value,value,location_name
0,54001,2020-01-19,0.0,Barbour County
1,54003,2020-01-19,0.0,Berkeley County
2,54005,2020-01-19,0.0,Boone County
3,54007,2020-01-19,0.0,Braxton County
4,54009,2020-01-19,0.0,Brooke County
5,54011,2020-01-19,0.0,Cabell County
6,54013,2020-01-19,0.0,Calhoun County
7,54015,2020-01-19,0.0,Clay County
8,54017,2020-01-19,0.0,Doddridge County
9,54019,2020-01-19,0.0,Fayette County
10,54021,2020-01-19,0.0,Gilmer County
11,54023,2020-01-19,0.0,Grant County
12,54025,2020-01-19,0.0,Greenbrier County
13,54027,2020-01-19,0.0,Hampshire County
14,54029,2020-01-19,0.0,Hancock County
15,54031,2020-01-19,0.0,Hardy County
16,54033,2020-01-19,0.0,Harrison County
17,54035,2020-01-19,0.0,Jackson County
18,54037,2020-01-19,0.0,Jefferson County
19,54039,2020-01-19,0.0,Kanawha County
20,54041,2020-01-19,0.0,Lewis County
21,54043,2020-01-19,0.0,Lincoln County
22,54045,2020-01-19,0.0,Logan County
23,54049,2020-01-19,0.0,Marion County
24,54051,2020-01-19,0.0,Marshall County
25,54053,2020-01-19,0.0,Mason County
26,54047,2020-01-19,0.0,McDowell County
27,54055,2020-01-19,0.0,Mercer County
28,54057,2020-01-19,0.0,Mineral County
29,54059,2020-01-19,0.0,Mingo County
30,54061,2020-01-19,0.0,Monongalia County
31,54063,2020-01-19,0.0,Monroe County
32,54065,2020-01-19,0.0,Morgan County
33,54067,2020-01-19,0.0,Nicholas County
34,54069,2020-01-19,0.0,Ohio County
35,54071,2020-01-19,0.0,Pendleton County
36,54073,2020-01-19,0.0,Pleasants County
37,54075,2020-01-19,0.0,Pocahontas County
38,54077,2020-01-19,0.0,Preston County
39,54079,2020-01-19,0.0,Putnam County
40,54081,2020-01-19,0.0,Raleigh County
41,54083,2020-01-19,0.0,Randolph County
42,54085,2020-01-19,0.0,Ritchie County
43,54087,2020-01-19,0.0,Roane County
44,54089,2020-01-19,0.0,Summers County
45,54091,2020-01-19,0.0,Taylor County
46,54093,2020-01-19,0.0,Tucker County
47,54095,2020-01-19,0.0,Tyler County
48,54097,2020-01-19,0.0,Upshur County
49,54099,2020-01-19,0.0,Wayne County
50,54101,2020-01-19,0.0,Webster County
51,54103,2020-01-19,0.0,Wetzel County
52,54105,2020-01-19,0.0,Wirt County
53,54107,2020-01-19,0.0,Wood County
54,54109,2020-01-19,0.0,Wyoming County
55,54001,2020-01-26,0.0,Barbour County
56,54003,2020-01-26,0.0,Berkeley County
57,54005,2020-01-26,0.0,Boone County
58,54007,2020-01-26,0.0,Braxton County
59,54009,2020-01-26,0.0,Brooke County
60,54011,2020-01-26,0.0,Cabell County
61,54013,2020-01-26,0.0,Calhoun County
62,54015,2020-01-26,0.0,Clay County
63,54017,2020-01-26,0.0,Doddridge County
64,54019,2020-01-26,0.0,Fayette County
