Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
L01-0099	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	04/18/2022 09:05 AM	04/19/2022 09:05 AM	0.435	04/20/2022	24-hr time-weighted composite	West Union	26456		-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	26	1340	683	42.8129871	2206.515489	1124.66423805	0.0759095515957447	3.91226150531915	1.99408552845745	5183.914093	8409.78768279356	5384.6568881888	8686.89258567849	9.54726398615035	15.4022918185789	4155.2746021	5847.04539014716	4399.46438333653	5838.57673094107	7.80046876478107	10.3520864023778	3126.6351112	4517.28104196028	3414.27187848425	4476.72408105255	6.05367354341179	7.93745404441942
H01-0157	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	03/14/2022 08:00 AM	03/15/2022 08:00 AM	3.1	03/18/2022	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10445.30047	13927.64557	12186.47302	122573.209041642	163437.731333114	143005.470187378	10.2144340868035	13.6198109444262	11.9171225156149	41700.259108	114714.834261905	447629.21904364	1210841.79725977	37.3024349203034	100.903483104981	42653.2187395	118556.445222885	457984.69046208	1251411.67749477	38.16539087184	104.284306457898	43606.178371	122519.569851579	468340.16188052	1293395.9201818	39.0283468233767	107.782993348483
A04-0008	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	02/03/2022 09:00 AM	02/04/2022 09:00 AM	3.96	02/04/2022	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	75567.22641	85327.76043	80447.49342	1132769.62071773	1279082.20813293	1205925.91442533	566.384810358863	639.541104066466	602.962957212664	541637.896302	558558.230697414	1380366.94836144	649838.191721934	690.183474180718	324.919095860967	520063.151694	515920.875633624	1344336.06482896	514605.899135374	672.168032414482	257.302949567687	498488.407086	476646.619035421	1308305.18129649	397716.975718651	654.152590648246	198.858487859326
G01-0017	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	12/18/2021 09:00 AM	12/19/2021 08:00 AM	0.559	12/22/2021	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	95299.17508	67481.19235	81390.183715	201657.265739827	142793.18500649	172225.225373158	24.6886956096752	17.4820255884537	21.0853605990644	72979.01109	88578.6422810945	163722.169133801	206530.41835604	20.0443400016896	25.2853107683693	65498.824092	77713.1847583187	146341.107232644	177629.404399271	17.916394127405	21.7469887854152	58018.637094	68553.2560814523	128960.045331488	152426.304892443	15.7884482531204	18.6613987380562
M03-0074	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	04/28/2022 11:00 AM	04/29/2022 11:00 AM	0.182	05/04/2022	24-hr time-weighted composite	Mannington	26582	NA	-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10941.5915	5470.438488	8206.014994	7538.15059816273	3768.82916534853	5653.48988175563	6.90939559868261	3.45447219555319	5.1819338971179	32515.3846006	56021.1507470984	21006.354149739	31813.0312774551	19.2542201189175	29.1595153780523	32571.5939556	62016.4163050779	20873.7071065175	35603.0067325031	19.1326371278804	32.6333700572897	32627.8033106	68033.5500015647	20741.060063296	39405.5571166707	19.0110541368433	36.1187507943819
A02-0391	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	03/09/2022 09:00 AM	03/11/2022 09:00 AM	NA	03/11/2022	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3057.355969	769	1913.1779845	NA	NA	NA	NA	NA	NA	174967.2396644	705573.294785938	NA	NA	NA	NA	187281.109655	759966.024456033	NA	NA	NA	NA	199594.9796456	814367.190834539	NA	NA	NA	NA
A03-0071	k12	upstream	Sewer Network	K-12 School	105612	SuncrestES-01	11/05/2021 06:00 AM	11/05/2021 02:00 PM	NA	11/10/2021	8-hr time-weighted composite	Suncrest Elementary	26505		-79.97825	39.67137	515	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	256	57	156.5	NA	NA	NA	NA	NA	NA	2519.6613224	4247.57541661388	NA	NA	NA	NA	2276.772451	3982.49368764832	NA	NA	NA	NA	2033.8835796	4403.29837587969	NA	NA	NA	NA
A03-0031	k12	upstream	Sewer Network	K-12 School	105612	MountainviewES-01	09/27/2021 06:00 AM	09/27/2021 02:00 PM	NA	10/06/2021	8-hr time-weighted composite	Mountainview Elementary	26501		-79.94331	39.61036	726	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1582	1147	1364.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M03-0034	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	04/13/2022 11:00 AM	04/14/2022 11:00 AM	0.239	04/20/2022	24-hr time-weighted composite	Mannington	26582	NA	-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2297	540	1418.5	2078.12573803	488.5450146	1283.335376315	1.90478986070577	0.447795613748854	1.17629273722731	3117.3820448	5731.71420827951	5074.64658898297	8166.2928849408	4.65137175892115	7.48514471580275	2488.3997929	3489.95229958154	4296.52426306633	5793.16860398676	3.93815239511121	5.30996205681646	1859.417541	1814.13760319826	3518.40193714969	4815.6787112149	3.22493303130128	4.4140043182538
A01-0228	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	04/15/2022 12:00 AM	04/16/2022 12:00 AM	8.1	04/19/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	61325.32597	32695.67192	47010.498945	1880346.16765879	1002508.83988577	1441427.50377228	38.9080071109666	20.7438511812152	29.8259291460909	41691.599698	29476.172316454	1614894.23520454	888093.182142411	33.4152920709431	18.3763694368153	40709.601157	23744.8921433629	1620721.73915635	1021780.95958049	33.535874423861	21.1426286951765	39727.602616	28691.4413394984	1626549.24310817	1462056.65308941	33.6564567767789	30.2527862334342
