concentration_batch_comment	concentration_batch_id	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by
	CP0	1.0.0	6/4/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.95	
	CP0.1	1.0.0	7/7/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.95	
	CP0.2	1.0.0	7/9/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.95	
	CP0.3	1.0.0	7/30/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.95	
	CP0.4	1.0.0	8/13/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL
	CP1	1.0.0	8/16/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL
	CP1.1	1.0.0	8/18/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL
	CP1.2	1.0.0	8/20/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL
	CP1.3	1.0.0	8/27/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL
	CP10	1.0.0	9/8/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL
	CP100	1.0.0	3/21/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP101	1.0.0	3/23/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP102	1.0.0	3/23/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP103	1.0.0	3/25/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP104	1.0.0	3/25/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP105	1.0.0	3/29/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP106	1.0.0	3/29/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP107	1.0.0	3/30/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
