Sample ID	Description	Category	Department	Site	Location	Sample QC Check	Status: NWSS	Status: WaTCH	Sample Collection Method	Sample Composite Start	Sample Composite End	Sample Collection Date/Time	Sample Collection By	Sample Flow (MGD)	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Spike-In (CN/L)	Assay Control, Process Result (CN/L)	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Control, Internal Concentration (CN/Rxn)	Concentration Input Volume (mL)	Concentration Method	Concentration Output Volume (mL)	Extraction Input Volume (mL)	Extraction Method	Extraction Output Volume (mL)	Assay Type	Assay Name	Assay Volume (mL)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Sample Received By	Sample Received Date	Sample pH (Lab)	Concentration Date	Concentration Lot ID	Concentration Machine	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Extraction Date	Extraction Lot ID	Extraction Machine	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Assay Date	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Comments
A02-0108	Sample	Sample	WVU Morgantown	Monongalia	NorthHighSt-02 (MUB)	Pass	Processing	Complete	Composite	09/13/2021 10:00 AM	09/15/2021 10:00 AM	09/15/2021 10:01 AM	EL		17177	SARS-CoV-2 N1	231.2626839	0	1320.22522	245716.6016	SARS-CoV-2 N2	231.2626839	0	1524.019623	245716.6016					Human RNase P	65580.49858	61.72282219	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	09/15/2021	7.28	9/15/21	NT04155	Kookaburra		CP0012	B01	JL	9/15/21	2105033	Halcyon	D7	EP0012	A07	JL	09/20/2021	OneStep RT-ddPCR	Manual	DQ	58477037	QX 200	D7	AP0008	C07	JL	
A02-0220	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Processing	Complete	Composite	11/13/2021 09:00 AM	11/15/2021 09:00 AM	11/15/2021 09:54 AM	EL		15582	SARS-CoV-2 N1	1.510086507	0	1092.976303	1604.46691	SARS-CoV-2 N2	3.020269871	0	1279.930573	3209.03674	None				Human RNase P	22471.91057	21.15003347	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																						7.3	11/19/21	NT04474	Halcyon		CP0038	B01	AJ	11/19/21	2108255	Halcyon	J5	EP0038	A05	AJ	11/29/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	J5	AP0022	A05	JL	
G02-0007	Sample	Sample	WVU Keyser	Mineral	PotomacState-01	Pass	Processing	Complete	Composite	10/07/2021 10:40 AM	10/08/2021 10:40 AM	10/08/2021 10:50 AM	MH		10248	SARS-CoV-2 N1	6.889009476	0	2152.007294	7319.57257	SARS-CoV-2 N2	18.37517619	0	2493.552246	19523.6247	None				Human RNase P	9759.906121	9.185793996	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	10/13/2021	6.89	10/18/21	NT04474	Halcyon		CP0026	D04	JL	10/18/21	2108255	Halcyon	I8	EP0026	B08	JL	10/20/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX One	I8	AP0014	H05	JL	
L01-0031	Sample	Sample	WWTP	Doddridge	WestUnionWWTP-01		Processing	Processing																																																																																																
J01-0026	Sample	Sample	WWTP	Preston	AlpineLakeWWTP-01		Processing	Processing																																																																																																
K01-0033	Sample	Sample	WWTP	Wood	ParkersburgWWTP-01		Processing	Processing																																																																																																
A02-0016	Sample	Sample	WVU Morgantown	Monongalia	Evansdale-01	Pass	Processing	Complete	Composite	08/16/2021 09:28 AM	08/18/2021 09:23 AM	08/18/2021 09:23 AM	EL		17093	SARS-CoV-2 N1	23.41303587	0	1685.59967	24876.35112	SARS-CoV-2 N2	24.79100227	1.36802882	1874.414978	26340.43992					Human RNase P	7314.005233	6.883769631	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	08/18/2021	6.91	8/18/21	NT04155	Kookaburra		CP000000	A01	JL	8/18/21	2102028	Kookaburra		EP000000	A01	JL	08/18/2021	OneStep RT-ddPCR	Manual	DQ	58477036	QX 200	G1	AP000000	A01	JL	
E01-0019							Processing	Complete							16616	SARS-CoV-2 N1	42.5204801559448	0	368.726463317872	0	SARS-CoV-2 N2	56.7110681533814	0	319.80276107788	0	None				Human RNase P	0	8.49795162677764	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																							2021-12-16	NT04474	Halcyon		CP0050	B02	AJ	2021-12-16	2108355	Halcyon	A7	EP0050	A07	AJ	2021-12-21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	A7	AP0028	C07	JL	
A0044	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Processing	Complete	Composite	12/20/2020 12:00 PM	12/20/2020 11:59 AM	12/20/2020 12:00 AM	GG	11.313	13954	SARS-CoV-2 N1				55059.6	SARS-CoV-2 N2				79172.4					Human RNase P	34414.8		100	PEG Precipitation	3.4	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				TD	12/21/2020		12/21/20						AT	12/21/20						AT	02/22/2021	OneStep RT-ddPCR	Manual	DQ							
A03-0169	Sample	Sample	K-12	Monongalia	NorthES-01		Processing	Processing																																																																																																
