Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day03.mean	n1.day03.ci	n1.day05.mean	n1.day05.ci	n1.day07.mean	n1.day07.ci	n1.day10.mean	n1.day10.ci	n1.day14.mean	n1.day14.ci	n1.load.day03.mean	n1.load.day03.ci	n1.load.day05.mean	n1.load.day05.ci	n1.load.day07.mean	n1.load.day07.ci	n1.load.day10.mean	n1.load.day10.ci	n1.load.day14.mean	n1.load.day14.ci	n1n2.day03.mean	n1n2.day03.ci	n1n2.day05.mean	n1n2.day05.ci	n1n2.day07.mean	n1n2.day07.ci	n1n2.day10.mean	n1n2.day10.ci	n1n2.day14.mean	n1n2.day14.ci	n1n2.load.day03.mean	n1n2.load.day03.ci	n1n2.load.day05.mean	n1n2.load.day05.ci	n1n2.load.day07.mean	n1n2.load.day07.ci	n1n2.load.day10.mean	n1n2.load.day10.ci	n1n2.load.day14.mean	n1n2.load.day14.ci	n2.day03.mean	n2.day03.ci	n2.day05.mean	n2.day05.ci	n2.day07.mean	n2.day07.ci	n2.day10.mean	n2.day10.ci	n2.day14.mean	n2.day14.ci	n2.load.day03.mean	n2.load.day03.ci	n2.load.day05.mean	n2.load.day05.ci	n2.load.day07.mean	n2.load.day07.ci	n2.load.day10.mean	n2.load.day10.ci	n2.load.day14.mean	n2.load.day14.ci
A03-0183	k12	upstream	Sewer Network	K-12 School	105612	SuncrestES-01	01/19/2022 06:00 AM	01/19/2022 02:00 PM	NA	8-hr time-weighted composite	Suncrest Elementary	26505		-79.97825	39.67137	515	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2369.167898	2369.167898	2369.167898	NA	NA	NA	2179.72263266667	2923.81108426632	2310.8335796	902.899860357452	2307.73827114286	578.389475659999	12110.1453831	24339.0395854984	8979.46842414286	16600.5010789579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6451.9492565	23096.8487273829	4522.1695539	8064.43207965916	3902.83539564286	4841.58553170788	13959.0403026	27222.6409673779	10257.0755029286	18628.7512979098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10724.1758803333	48734.9399890393	6733.5055282	16890.1225699583	5497.93252014286	10093.7565281241	15807.9352221	30542.6073830707	11534.6825817143	20941.286716725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0459	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	04/20/2022 09:00 AM	04/22/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	64473.7013429404	64473.7013429404	64473.7013429404	NA	NA	NA	60614.1346693038	251948.046787461	164396.592378616	343543.281427801	119694.936280825	221040.715544525	84469.9553965778	146492.140081424	62433.0120788324	101049.790097004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59329.946343787	249099.274449926	158944.879177026	343091.860048074	115137.466698062	219909.85475097	81220.274967799	145083.909771405	59263.8253050359	100050.704074112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58045.7580182702	246370.000547088	153493.165975437	343386.636553324	110579.997115299	219184.478835986	77970.5945390202	143927.284415661	56094.6385312394	99262.9024123047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C01-0144	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	04/07/2022 07:00 AM	04/08/2022 07:00 AM	16.733	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	58512.9003971816	5084.83632467687	31798.8683609292	3706281.16098832	322079.967817947	2014180.56440313	23283.9272937179	144297.241858362	20281.2790175379	41467.8067019768	18043.5508099411	24382.1770307788	16748.6052538008	15205.9305077632	13487.5841722638	10941.3328935331	1407769.51193175	9372635.48871519	1013579.75370369	2798226.26619026	834697.648480849	1658462.7062617	706580.571484459	1038753.4431285	553570.329461226	714940.99428011	13216.1030343051	76036.421794128	12667.6224353127	22324.4158167586	11616.8226690404	13059.7788493787	12556.1315614898	8275.6838510409	10917.5155110378	6020.14415491942	785363.014928677	5012132.43176153	598151.673825155	1484875.19330467	506947.334369492	878294.869066756	485949.824858864	541247.971697988	410126.082789754	372127.893647101	3148.27877489229	7846.94175709918	5053.9658530876	8705.44513648036	5190.09452813969	5015.77884443931	8363.6578691788	6129.29570967134	8347.44684981182	4458.79271051572	162956.517925609	652051.135928261	182723.593946619	265364.577910519	179197.020258136	153310.045376928	265319.078233268	171002.894898596	266681.836118281	122474.479934134
H01-0139	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	02/24/2022 08:00 AM	02/25/2022 08:00 AM	3.2	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	56549.87074	33255.38937	44902.630055	685006.227833291	402832.907120293	543919.567476792	25346.0693956667	130635.91390673	18144.9663978	40686.5218054515	13347.547427	25715.4925665849	23457.8560079	22626.3850172399	22698.1802229286	15800.0924075196	259818.78865009	1725199.46033025	167510.248401626	534742.45106046	212377.426065966	386590.05992905	217723.519443151	252097.108316865	202885.157639516	171436.938954785	22370.1305291667	95068.4847568836	16360.0211511	30493.2511497992	12112.6579650714	19902.1253782659	23543.32014955	22709.4085411529	21520.0974556071	15674.4906081831	218351.1051125	1319159.22719519	149180.441945577	407700.981073767	190034.134795358	321454.707566414	211080.647908261	226410.063534324	187762.900044475	154310.160949296	19394.1916626667	59667.085184881	14575.0759044	20668.1428543431	10877.7685031429	14461.3143464907	23628.7842912	24329.1232624695	20342.0146882857	16957.2133998378	176883.42157491	920037.944108223	130850.635489529	282570.372033113	167690.84352475	262067.182229971	204437.77637337	214209.788701838	172640.642449433	148552.541747523
C01-0019	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	10/12/2021 07:00 AM	10/13/2021 07:00 AM	NA	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	27241.59449	25294.78163	26268.18806	NA	NA	NA	28498.0494266667	26546.6875698689	27650.525256	14024.7888912075	30370.3051685714	10476.6307325751	35847.626915	14567.3607589876	32255.9810586429	13051.7124635681	814650.437096962	1768389.59436891	705804.806177049	625706.282386592	668360.652928731	531171.622507793	699806.908425547	450608.559882384	699806.908425547	450608.559882384	25174.0247383333	20522.5493879184	30186.238632	21973.086517767	33110.8711978571	14215.5886423929	40974.200613	18042.3359606745	37308.7908138929	15368.9033475883	946068.727421248	1936229.87978722	842134.534004001	663617.620628924	862418.412804722	681009.998669932	850430.954948735	563815.490102505	850430.954948735	563815.490102505	21850.00005	19784.7309320036	32721.952008	35802.0488568751	35851.4372271429	22123.2238460918	46100.774311	23384.6478295067	42361.6005691429	19577.6381784548	1077487.01774553	2320433.52847419	978464.261830953	753954.31766211	1056476.17268071	877162.562878612	1001055.00147192	746816.115933702	1001055.00147192	746816.115933702
G01-0032	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	01/16/2022 09:00 AM	01/17/2022 08:00 AM	0.871	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1000398.445	255182.4564	627790.4507	3298405.81986577	841360.063606859	2069882.94173631	931731.0166	438612.995680908	583432.784848	887264.506199542	427855.601091429	615788.990726686	301255.8051655	426992.904357775	223678.8909725	299581.612898522	3202046.93139199	1710503.43832198	2030534.04990772	2994836.66097547	1498684.06126795	2086838.58469915	1060005.32470136	1454183.35944399	787838.130269509	1023509.98210804	633492.868833333	297055.378795762	394771.8381769	607919.886036144	288380.181321714	421660.484579344	204052.096782	290674.59297399	154927.778945357	202633.276386096	2181800.09600458	1449001.2680626	1374818.66156813	2075924.50645089	1009789.78524842	1441999.98647594	719740.074988029	995238.546274737	547024.003872285	695360.086519608	335254.721066667	411574.110187161	206110.8915058	345292.515280515	148904.761552	235579.411609608	106848.3883985	158962.689422343	86176.6669182143	109158.231303561	1161553.26061717	1692613.086294	719103.273228544	1211446.49182948	520895.509228884	823553.308902945	379474.825274702	552243.692713658	306209.877475062	379165.661368036
A02-0256	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	12/15/2021 09:26 AM	12/15/2021 09:26 AM	NA	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	506	2808	1657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0473	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	04/25/2022 09:00 AM	04/27/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	14201.120249927	22724.1022512317	18462.6112505793	NA	NA	NA	5498.37341664233	35262.9229623643	4164.0240499854	10381.757146395	4813.34942566709	6717.63280180047	4028.46118976473	4319.67409745873	3247.54370697481	3041.06160761619	826622.52549552	3866972.94432662	826622.52549552	3866972.94432662	826622.52549552	3866972.94432662	826622.52549552	3866972.94432662	826622.52549552	3866972.94432662	7553.68618772179	44341.7461597835	5228.11171263307	13681.1068573794	5200.08899174631	8337.67398687301	4278.17888602018	5323.36017465625	3385.27063287156	3714.17806075956	907418.33167716	13060490.6945306	907418.33167716	13060490.6945306	907418.33167716	13060490.6945306	907418.33167716	13060490.6945306	907418.33167716	13060490.6945306	9608.99895880124	53579.9120426833	6292.19937528074	17127.6948814218	5586.82855782552	10357.3785628353	4527.89658227563	6573.71284523518	3522.99755876831	4555.20160601772	988214.1378588	22254008.4447345	988214.1378588	22254008.4447345	988214.1378588	22254008.4447345	988214.1378588	22254008.4447345	988214.1378588	22254008.4447345
M04-0030	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	03/23/2022 10:30 AM	03/24/2022 10:30 AM	0.11	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	319	1793	1056	132.8300369	746.5964143	439.7132256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E02-0022	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	12/15/2021 08:00 AM	12/16/2021 08:00 AM	0.107	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	39823.68037	26544.91659	33184.29848	16130.138496306	10751.7230198579	13440.9307580819	29351.4519823333	103874.356109123	39692.3637914	67673.5902874934	71479.4439138571	112700.056369258	70743.1235067	74246.6486366536	61763.0744205	50998.4354351584	11004.7666709483	38833.9795380481	19271.3620264557	42029.5886799295	26194.2167961677	37892.8832813981	27892.1244218864	26515.2953503675	24817.1536418885	18269.5862462088	26168.0777295	99652.6803465363	29117.1756217	43484.5140651001	52587.6487876429	79990.5562374017	51237.04714185	52640.9030958944	49215.3264770357	35557.4601217321	9758.31847888655	36347.3409099437	13520.3541875821	24915.4348112896	18780.9001349269	25493.8587449839	19874.1765224945	18151.4049068413	19685.9273787191	12346.9572894177	22984.7034766667	97286.1368671706	18541.987452	30948.85605452	33695.8536614286	49607.6058907658	31730.970777	33772.2505890989	36667.5785335714	24333.4914841156	8511.87028682477	34680.6120103655	7769.34634870853	11808.3676882674	11367.5834736862	14701.2324383682	11856.2286231026	11502.9335813336	14554.7011155496	8907.15682254365
