Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
A0033	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	12/03/2020 12:00 AM	12/03/2020 11:59 PM	8.998	12/07/2020	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	53241.6	29030.4	41136	1813468.48293389	988807.914243072	1401138.19858848	132852.24	321399.088264223	5299820.31905136	13364055.1400456	126890.04	310058.41302281	5067334.21301827	12893332.7782026	120927.84	299060.356624173	4834848.10698517	12432318.5800441
A02-0264	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	12/13/2021 09:00 AM	12/15/2021 09:00 AM	NA	12/15/2021	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1129	605	867	NA	NA	NA	1058.6	1983.53511709867	NA	NA	1539.5280372	1967.8655329872	NA	NA	2020.4560744	3435.97733440969	NA	NA
A02-0220	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	11/13/2021 09:00 AM	11/15/2021 09:00 AM	NA	NA	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1604.466913	3209.036738	2406.7518255	NA	NA	NA	6685.6110686	13154.1163390756	NA	NA	8082.7734401	12654.1633619185	NA	NA	9479.9358116	14366.8137528981	NA	NA
A02-0015	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	08/14/2021 09:00 AM	08/16/2021 09:00 AM	NA	08/16/2021	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	105253.3469	76826.7622	91040.05455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A03-0192	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	01/24/2022 06:00 AM	01/24/2022 02:00 PM	NA	01/25/2022	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	138375.4693	133044.8896	135710.17945	NA	NA	NA	55434.419224	107960.891302085	NA	NA	60817.464046	112509.644554325	NA	NA	66200.508868	119732.592454024	NA	NA
A02-0173	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	10/13/2021 10:28 AM	10/15/2021 10:15 AM	NA	10/15/2021	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	15503.87613	9301.172569	12402.5243495	NA	NA	NA	18395.7097562	44081.7211310212	NA	NA	17854.1846642	37876.4842952225	NA	NA	17312.6595722	34186.2891092755	NA	NA
H01-0194	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	04/20/2022 08:00 AM	04/21/2022 08:00 AM	2.2	04/22/2022	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	28770.28361	23537.85452	26154.069065	239596.102416286	196020.945732817	217808.524074552	8576.2897862	21066.7683878951	71546.8407232017	175205.455250894	8322.7953962	18847.6075149407	70164.7007358544	156951.528412183	8069.3010062	17103.9270255085	68782.5607485072	143194.585390549
A02-0206	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	11/01/2021 11:11 AM	11/03/2021 11:11 AM	NA	11/03/2021	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	8359.107487	6269.068271	7314.087879	NA	NA	NA	3970.6844694	6149.15240485094	NA	NA	7585.6348743	9725.16901066498	NA	NA	11200.5852792	16992.819487509	NA	NA
H01-0126	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	02/11/2022 08:00 AM	02/12/2022 08:00 AM	1.7	02/18/2022	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	28511.40529	19955.94777	24233.67653	183476.509787992	128420.455221661	155948.482504826	44666.43215	58317.3870301994	306186.770644593	454995.941963092	44794.179691	64049.8063612195	309610.923433917	496216.524702106	44921.927232	69999.8986982473	313035.076223241	538764.425554091
A1086	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	07/06/2021 12:00 AM	07/06/2021 11:55 PM	6.793	07/09/2021	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	4655	4655	4655	119700.02055515	119700.02055515	119700.02055515	3800.9	1986.12978367335	106356.976098599	73190.7901092061	4227.875	2974.0234347293	120250.611467978	112098.865728071	4654.85	4477.55488407556	134144.246837357	162564.285503271
N02-0024	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	03/14/2022 07:00 AM	03/15/2022 07:00 AM	12.1	03/23/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1392227.24	1461848.223	1427037.7315	63768826.0904776	66957708.0700998	65363267.0802887	286551.300534	1138338.95667956	13080927.7118671	52184405.5428318	294354.2116913	1166136.59126084	13431482.061867	53464679.5592685	302157.1228486	1193962.24059271	13782036.4118668	54745852.9752046
A02-0423	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	03/28/2022 09:00 AM	03/30/2022 09:00 AM	NA	03/30/2022	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2803	1931	2367	NA	NA	NA	6273.923028	19789.5482935768	NA	NA	4254.2609187	9387.71464756846	NA	NA	2234.5988094	1346.2267899477	NA	NA
A02-0240	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	12/01/2021 09:00 AM	12/03/2021 09:00 AM	NA	12/01/2021	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	862	13192.24522	7027.12261	NA	NA	NA	1100.1519608	2010.43068830281	NA	NA	4123.2901798	3849.23055117723	NA	NA	7146.4283988	7456.84116361481	NA	NA
A0045	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	12/21/2020 12:00 PM	12/21/2020 11:59 AM	12.058	01/07/2021	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	21336	10668	16002	973870.49257008	486935.24628504	730402.86942756	58861.44	44044.0532036314	2126365.17365706	1310995.17386196	59582.28	50254.4812833116	2134855.36102908	1551535.33254581	60303.12	59590.5856673798	2143345.54840111	1973799.08989349
A1076	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	06/22/2021 12:00 AM	06/22/2021 11:55 PM	12.985	06/25/2021	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1890	4892.5	3391.25	92900.2073265	240483.737748625	166691.972537563	2138.45	3088.16512144159	75395.687149548	100107.583212144	2818.35	4006.18026076925	96526.80802077	126472.239732633	3498.25	8380.40820760806	117657.928891992	254582.060829537
D01-0041	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	02/21/2022 07:35 AM	02/22/2022 07:35 AM	NA	02/23/2022	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	164612.6711	64336.67734	114474.67422	NA	NA	NA	95811.68795	132585.484152863	778152.020446143	1638474.38086277	78104.70724	112305.364157346	564312.755816176	1121696.7998947	60397.72653	107511.564866015	350473.491186209	622426.358290883
M04-0028	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	04/03/2022 12:30 PM	04/04/2022 12:30 AM	0.081	04/06/2022	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2168	1292	1730	664.74827928	396.15072732	530.4495033	1596.6	2101.30982375899	606.587725876	876.947444361411	1458.8	1260.95526697026	553.389844982	579.794929222311	1321	1365.57278814692	500.191964088	586.629403603467
A1061	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	06/01/2021 12:00 AM	06/01/2021 11:55 PM	7.215	06/04/2021	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1876	688	1282	51236.8113894	18790.4724072	35013.6418983	3736.05	5100.48729019365	104496.539447603	141600.57431618	3220.675	4451.18179534446	91569.2172344245	130228.647999707	2705.3	5271.94788898311	78641.895021246	160473.157882798
L01-0121	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	05/08/2022 09:10 AM	05/09/2022 09:10 AM	0.429	05/11/2022	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	7085.075649	1907	4496.0378245	11505.7440551544	3096.85527723	7301.29966619219	29759.3918758	34858.2858788685	45786.200913476	75350.5633549405	25102.7545019	32938.4265114368	39351.675213111	68971.6921180878	20446.117128	32431.8547370373	32917.149512746	63660.0656954606
A02-0242	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	12/01/2021 09:00 AM	12/03/2021 09:00 AM	NA	12/01/2021	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2507.20928	7522.077737	5014.6435085	NA	NA	NA	3905.4046886	5726.43411398211	NA	NA	7217.732018	11155.2451469147	NA	NA	10530.0593474	18282.4425727738	NA	NA
