Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
B01-0136	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	04/10/2022 07:00 AM	04/11/2022 07:00 AM	10.793	04/12/2022	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	36671.42339	19554.09776	28112.760575	1498245.11178949	798900.851837749	1148572.98181362	29.9649022357898	15.978017036755	22.9714596362724	19576.5862206	23523.8662615236	733387.534144003	977495.451728273	14.6677506828801	19.5499090345655	17349.7003768	16583.6279667343	670729.421601943	759035.053271743	13.4145884320388	15.1807010654349	15122.814533	12792.961513989	608071.309059882	710114.81702324	12.1614261811976	14.2022963404648
A01-0195	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	03/08/2022 12:00 AM	03/08/2022 12:00 AM	10.1	03/11/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	29721.64594	27597.97353	28659.809735	1136337.01915313	1055143.41429999	1095740.21672656	23.513015625582	21.8329625537989	22.6729890896905	77265.399048	61400.4156810608	2769726.92504	2332112.29807299	57.3110189753352	48.2559240620963	75540.306379	54895.1135289519	2719374.06737683	2240189.51291884	56.269120745258	46.353863452219	73815.21371	52310.5650945833	2669021.20971366	2248886.85329749	55.2272225151808	46.5338282837587
P01-0071	not institution specific	wwtp	WWTP	WWTP	7482	StMarysWWTP-01	04/20/2022 09:25 AM	04/21/2022 09:25 AM	0.288	04/28/2022	24-hr time-weighted composite	Saint Marys	26170		-81.20511	39.39125	2892	Pleasants	0.525	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5814.618124	2907.207934	4360.913029	6339.085514718	3169.43250780757	4754.25901126278	2.19193828309751	1.09593101929722	1.64393465119737	2490.9236248	3820.15932784412	2696.6201074436	4226.92470763109	0.932441254302766	1.4615922225557	2802.674398	1892.06073617861	2952.58117928407	2099.86927424211	1.02094784899172	0.726095876293952	3114.4251712	2217.13061675435	3208.54225112453	1919.41800225114	1.10945444368068	0.663699170902884
C01-0186	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	05/30/2022 07:00 AM	05/31/2022 07:00 AM	7.271	06/07/2022	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	93318.7419176103	90983.239710331	92150.9908139707	2568478.56028266	2504196.86055523	2536337.71041895	51.3695712056533	50.0839372111046	50.7267542083789	117850.24997592	53936.2358347605	3052559.02720151	1082518.07713385	61.0511805440303	21.6503615426771	119120.110183954	56092.4955512928	3077738.67857843	1067909.82411014	61.5547735715686	21.3581964822029	120389.970391989	62475.4312965931	3102918.32995535	1193321.47455046	62.058366599107	23.8664294910092
M04-0004	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	02/17/2022 01:40 PM	02/18/2022 01:40 AM	0.13	02/23/2022	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2275.15474	4550.433168	3412.793954	1119.61115556464	2239.28317840225	1679.44716698345	1.83542812387646	3.67095603016763	2.75319207702205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M04-0044	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	04/04/2022 10:45 AM	04/05/2022 10:45 AM	0.077	04/06/2022	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2892.361544	2892.361544	2892.361544	843.055622045024	843.055622045024	843.055622045024	1.38205839679512	1.38205839679512	1.38205839679512	1221.6723088	2155.63570286774	394.301811101005	615.048134149173	0.646396411640991	1.00827562975274	1542.1723088	1896.19682475666	500.604073262005	518.628835249792	0.820662415183614	0.850211205327527	1862.6723088	2017.29809918425	606.906335423005	565.428004287881	0.994928418726237	0.926931154570296
B01-0057	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	11/04/2021 07:00 AM	11/05/2021 07:00 AM	NA	11/09/2021	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	14025	3400	8712.5	NA	NA	NA	NA	NA	NA	14237.51956	15866.6732946286	454167.906361704	608014.07288832	9.08335812723408	12.1602814577664	13161.2243054	13118.9212239291	447126.293645963	301911.448404494	8.94252587291925	6.03822896808987	12084.9290508	12881.0425734809	440084.680930221	11853.9123305857	8.80169361860442	0.237078246611715
N02-0097	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	05/15/2022 07:00 AM	05/16/2022 07:00 AM	10.36	05/19/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	87194.0642595292	78165.5649840832	82679.8146218062	3419476.32969056	3065407.04954869	3242441.68961963	129.046581994511	115.684468622111	122.365525308311	42859.3083318183	47892.2175153295	1871771.86241456	1888936.07436581	70.6382316557689	71.2859866543065	40844.9093306847	45102.0899819618	1738754.42961628	1665511.43995785	65.6183270290695	62.85423201592	38830.5103295512	46104.011946295	1605736.99681801	1733564.19434614	60.5984224023702	65.4224543115006
C01-0079	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	02/15/2022 07:00 AM	02/16/2022 07:00 AM	8.959	02/22/2022	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	14617.15361	23389.89493	19003.52427	495718.666324151	793232.925473896	644475.795899023	9.91437332648302	15.8646585094779	12.8895159179805	27596.912668	45906.6326149562	1217346.63374907	2209427.93904027	24.3469326749813	44.1885587808053	28410.584233	47613.6114882846	1242422.6653266	2281476.9868141	24.848453306532	45.629539736282	29224.255798	50155.5385286986	1267498.69690414	2387452.93075105	25.3499739380827	47.7490586150209
A03-0148	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	12/13/2021 06:00 AM	12/13/2021 02:00 PM	NA	12/14/2021	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2349	5438.495418	3893.747709	NA	NA	NA	NA	NA	NA	7705.829784	23607.6930908724	NA	NA	NA	NA	8620.6966117	24027.5137434544	NA	NA	NA	NA	9535.5634394	24528.1660293287	NA	NA	NA	NA
A03-0329	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	05/02/2022 06:00 AM	05/02/2022 02:00 PM	NA	05/05/2022	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	342	2251	1296.5	NA	NA	NA	NA	NA	NA	1485.7806034	1548.2404334549	NA	NA	NA	NA	1800.7806034	1317.0227116003	NA	NA	NA	NA	2115.7806034	1752.03509420494	NA	NA	NA	NA
A02-0494	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	05/04/2022 09:00 AM	05/06/2022 09:00 AM	NA	05/06/2022	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	559730.9929	434322.6868	497026.83985	NA	NA	NA	NA	NA	NA	125771.79093	448392.140003723	NA	NA	NA	NA	111956.1386568	398240.935155404	NA	NA	NA	NA	98140.4863836	348178.065026963	NA	NA	NA	NA
A03-0117	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	11/15/2021 06:00 AM	11/15/2021 02:00 PM	NA	11/17/2021	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2222	2634	2428	NA	NA	NA	NA	NA	NA	42600.192558	82055.909832332	NA	NA	NA	NA	37074.5142338	61463.5560328709	NA	NA	NA	NA	31548.8359096	47379.3332876038	NA	NA	NA	NA
A02-0092	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	09/08/2021 09:20 AM	09/10/2021 09:20 AM	NA	09/13/2021	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	146559.22	29243.18776	87901.20388	NA	NA	NA	NA	NA	NA	53853.556702	98582.5994080403	NA	NA	NA	NA	44122.8643598	52827.1895506716	NA	NA	NA	NA	34392.1720176	37934.7088146855	NA	NA	NA	NA
R01-0033	not institution specific	wwtp	WWTP	WWTP	28695	HuttonsvilleWWTP-01	05/11/2022 09:00 AM	05/12/2022 08:30 AM	0.148	05/27/2022	24-hr time-weighted composite	Huttonsville	26273		-79.97895	38.71288	2101	Randolph	0.41	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2275.64896456897	2275.64896456897	2275.64896456897	1274.91112335142	1274.91112335142	1274.91112335142	0.606811577035419	0.606811577035419	0.606811577035419	1818.38657552302	1321.00356569866	887.138539587393	950.392008658623	0.422245854158683	0.452352217352986	2414.28672889322	2752.67778322533	1321.08024983771	1974.01473394496	0.628786411155501	0.939559606827683	3010.18688226342	4569.46655810182	1755.02196008802	3135.11395906063	0.83532696815232	1.49220083724923
H01-0129	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	02/15/2022 08:00 AM	02/16/2022 08:00 AM	1.9	02/18/2022	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	39176.91775	39176.91775	39176.91775	281771.322818052	281771.322818052	281771.322818052	23.480943568171	23.480943568171	23.480943568171	24474.5761584	25987.7580777938	162990.485358821	222913.391155528	13.5825404465684	18.5761159296273	21029.3161266	24195.6898181988	134666.054924074	194803.739696813	11.2221712436728	16.2336449747345	17584.0560948	26176.3222879234	106341.624489326	196824.996707491	8.86180204077714	16.4020830589576
A0100	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	11/01/2020 12:00 AM	11/01/2020 11:59 PM	8.21	11/09/2020	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	9816	9816	9816	305063.7692376	305063.7692376	305063.7692376	6.31236072747889	6.31236072747889	6.31236072747889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L01-0024	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	01/15/2022 09:00 AM	01/16/2022 09:00 AM	0.285	01/26/2022	24-hr time-weighted composite	West Union	26456		-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	813846.2377	807165.463	810505.85035	878011.380695808	870803.881359027	874407.631027417	1556.75776719115	1543.97851304792	1550.36814011953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E02-0116	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	04/28/2022 08:00 AM	04/29/2022 08:00 AM	0.091	05/06/2022	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	65703.62605	17130.14893	41416.88749	22633.0798408197	5900.86197256113	14266.9709066904	9.46594723580915	2.46794729090804	5.9669472633586	18318.75691	51367.6517446321	6896.95732336507	17799.5624873319	2.88454927786076	7.44440087299536	12963.3963408	30660.8230686901	4988.25755571143	10418.1648886209	2.08626413873335	4.35724169327515	7608.0357716	10219.7155778479	3079.55778805779	3188.55995870847	1.28797899960594	1.3335675276907
D01-0079	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	05/23/2022 07:20 AM	05/24/2022 07:20 AM	1.27	05/25/2022	24-hr flow-weighted composite	Charles Town	25414	NA	-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	749113.11864853	788913.466930389	769013.292789459	3601339.36888843	3792678.37710326	3697008.87299585	211.843492287555	223.098728064898	217.471110176226	452113.916963339	576605.017693049	2203759.75696282	2777173.97474858	129.632926880166	163.363174985211	441043.346866966	544532.864842508	2150680.27548142	2623325.4177306	126.510604440084	154.313259866506	429972.776770592	527763.877589979	2097600.79400002	2544474.14974795	123.388282000001	149.674949985173
A1010	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	03/21/2021 12:00 PM	03/21/2021 12:00 PM	9.905	03/26/2021	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	350	11184	5767	13123.0701175	419338.3319832	216230.70105035	0.271541758763036	8.6769229428737	4.47423235081837	6513.2	24845.689910336	244656.850576448	941062.732297292	5.06242448635259	19.4724121067971	8276.3	25064.4597702129	308944.286149686	952328.949118936	6.39265614446462	19.7055319715059	10039.4	25873.5929889697	373231.721722924	985995.471327647	7.72288780257664	20.4021575758907
A02-0013	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	08/10/2021 09:00 AM	08/11/2021 09:00 AM	NA	08/11/2021	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	13486.7835	11238.48063	12362.632065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B01-0122	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	02/27/2022 07:00 AM	02/28/2022 07:00 AM	5.6	03/01/2022	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	26094.28324	34795.98675	30445.134995	553154.340029359	737615.626738578	645384.983383968	11.0630868005872	14.7523125347716	12.9076996676794	78884.897468	77950.559782263	2080767.83249696	3037228.89611734	41.6153566499391	60.7445779223468	71239.574672	62019.230221478	1797248.14338499	2025466.74785912	35.9449628676999	40.5093349571824	63594.251876	62420.395723892	1513728.45427303	1438318.08392902	30.2745690854607	28.7663616785804
A03-0010	k12	upstream	Sewer Network	K-12 School	105612	BrookhavenES-01	09/20/2021 06:00 AM	09/20/2021 02:00 PM	NA	09/21/2021	8-hr time-weighted composite	Brookhaven Elementary	26508		-79.90501	39.61021	579	Monongalia	-1	Complete	inactive	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2144.910013	2144.910013	2144.910013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q01-0009	not institution specific	wwtp	WWTP	WWTP	21809	MadisonWWTP-01	05/12/2022 08:00 AM	05/13/2022 08:00 AM	0.426	05/19/2022	24-hr time-weighted composite	Danville	25053	NA	-81.8472888	38.102484	4555	Boone	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	186032.021641731	171237.370669842	178634.696155787	299992.384368243	276134.757160921	288063.570764582	65.8600185221171	60.6223396621122	63.2411790921147	237874.758487256	412406.10256945	558197.35472992	1107680.32243178	122.546071290871	243.178995045397	236934.875764647	431253.436006693	555864.897897756	1155455.9482562	122.034006124644	253.667606642414	235994.993042039	450175.519051275	553532.441065592	1203727.37216616	121.521940958418	264.265065239552
A02-0080	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	09/01/2021 10:59 AM	09/03/2021 10:46 AM	NA	09/03/2021	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	6874.269396	15469.76537	11172.017383	NA	NA	NA	NA	NA	NA	12477.9485942	18523.7320865028	NA	NA	NA	NA	12124.0109819	13020.9510315639	NA	NA	NA	NA	11770.0733696	11027.9562638683	NA	NA	NA	NA
A03-0083	k12	upstream	Sewer Network	K-12 School	105612	MountainviewES-01	11/17/2021 06:00 AM	11/17/2021 02:00 PM	NA	11/22/2021	8-hr time-weighted composite	Mountainview Elementary	26501		-79.94331	39.61036	726	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2686	1471	2078.5	NA	NA	NA	NA	NA	NA	3052.5338926	4642.70061281759	NA	NA	NA	NA	3163.7708987	2958.60242705856	NA	NA	NA	NA	3275.0079048	4662.15654285095	NA	NA	NA	NA
O01-0072	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	05/24/2022 06:15 AM	05/25/2022 06:15 AM	1.49	06/02/2022	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	7260.17248816788	14521.6031000018	10890.8877940848	40949.267012269	81905.6301702589	61427.448591264	6.74506127693444	13.4912914133189	10.1181763451267	30356.8517658859	40811.1425136457	224816.733659458	314059.222930447	37.0312524558488	51.7310530275814	33405.0789596513	38562.5786699951	245254.361600605	295429.887350853	40.3976876298147	48.6624752678065	36453.3061534167	38740.2249515057	265691.989541752	296313.547302876	43.7641228037806	48.8080295343232
