Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
D01-0073	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	active	03/14/2022	03/15/2022	03/16/2022	24-hr flow-weighted composite	Charles Town	25414	NA	-77.85589	39.27924	17000	Jefferson	2.25	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1.2	93276.98708	32420.62803	62848.807555	423709.967595003	147270.443461251	285490.205528127	24.9241157408826	8.66296726242651	16.7935415016545	83363.69625	90780.5164147564	391276.299335587	434971.14923029	23.0162529020933	25.5865381900171	68740.0049032	91458.6289760059	323801.659687899	439483.822795144	19.0471564522294	25.8519895761849	54116.3135564	97502.9170528713	256327.020040211	467030.79039289	15.0780600023654	27.4723994348759
MU-448	not institution specific	wwtp	WWTP	WWTP	138800	HSB	active	12/22/2021	12/23/2021	12/24/2021	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Cabell,Wayne	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.63	798758	420290	609524	23070270.3535514	12139100.862707	17604685.6081292	411.969113456275	216.769658262625	314.36938585945	518279.8	516934.7988266	17193380.5672565	13725340.10092	307.024652986724	245.095358944999	505101.4	458895.17473288	16925349.1460745	12537214.8769505	302.238377608473	223.878837088402	491923	475526.115972874	16657317.7248924	13805499.3825006	297.452102230222	246.52677468751
A01-0236	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	04/24/2022	04/25/2022	04/26/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	8.6	40068.6121	35057.93978	37563.27594	1304414.67439336	1141294.61207444	1222854.6432339	26.990868117724	23.6155978330253	25.3032329753746	56278.437944	28606.7153003636	2037948.14783016	964978.864930305	42.1690975796673	19.9672832505029	51223.653999	21904.8307764889	1863162.24975043	793811.907097624	38.5524385397789	16.4255070993549	46168.870054	16723.3374955655	1688376.35167071	707219.93864027	34.9357794998905	14.6337514203002
A02-0005	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	active	08/12/2021	08/13/2021	08/13/2021	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	NA	200	3062.97486	1631.48743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0080	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	active	09/01/2021	09/03/2021	09/03/2021	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	NA	6874.269396	15469.76537	11172.017383	NA	NA	NA	NA	NA	NA	12477.9485942	18523.7320865028	NA	NA	NA	NA	12124.0109819	13020.9510315639	NA	NA	NA	NA	11770.0733696	11027.9562638683	NA	NA	NA	NA
R01-0015	not institution specific	wwtp	WWTP	WWTP	28695	HuttonsvilleWWTP-01	active	04/26/2022	04/27/2022	05/04/2022	24-hr time-weighted composite	Huttonsville	26273		-79.97895	38.71288	2101	Randolph	0.41	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.156	1094	1733	1413.5	646.03321224	1023.37802268	834.70561746	0.307488439904807	0.487090919885769	0.397289679895288	1317	936.152503413498	880.079055884	636.486976549555	0.418885795280343	0.302944777034533	1735.6762019	1801.37057875017	1199.36237326016	1511.45339849639	0.570853104835868	0.719397143501373	2154.3524038	3664.98541685752	1518.64569063632	2879.30077405187	0.722820414391393	1.37044301477957
A02-0437	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	active	04/02/2022	04/04/2022	04/04/2022	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	NA	1194	2636	1915	NA	NA	NA	NA	NA	NA	1720.2	1184.2135263181	NA	NA	NA	NA	1489.9	544.796360525993	NA	NA	NA	NA	1259.6	2011.11598946849	NA	NA	NA	NA
R01-0032	not institution specific	wwtp	WWTP	WWTP	28695	HuttonsvilleWWTP-01	active	03/30/2022	03/31/2022	04/06/2022	24-hr time-weighted composite	Huttonsville	26273		-79.97895	38.71288	2101	Randolph	0.41	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.117	22763.11152	35776.15745	29269.634485	10081.622067534	15845.0086282181	12963.3153478761	4.79848741910234	7.54165094156027	6.1700691803313	50828.4648246	121510.650542507	27957.7853974823	63641.9858581389	13.3068945252177	30.2912831309562	36760.8124909	69783.2038731083	20241.445645056	36195.5091263968	9.63419592815611	17.2277530349342	22693.1601572	26946.2924317073	12525.1058926297	13159.5289595432	5.96149733109455	6.26345976180067
N03-0001	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	active	03/13/2022	03/14/2022	03/16/2022	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.639	19860.25818	9928.952716	14894.605448	48039.5215270613	24016.9152595304	36028.2183932958	25.9252679584788	12.9610983591637	19.4431831588213	30077.049627	43539.2867974022	93727.941352811	150750.873379288	50.5817276593691	81.3550315052824	28452.7070776	42007.612916939	89114.2743885538	145143.813218113	48.0918911972768	78.32909509882	26828.3645282	40968.8111420488	84500.6074242967	140482.025859736	45.6020547351844	75.8132897246279
A02-0257	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	active	12/11/2021	12/13/2021	12/13/2021	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	NA	2201	383	1292	NA	NA	NA	NA	NA	NA	1856.2	862.273424165231	NA	NA	NA	NA	3108.8525592	4502.82951575784	NA	NA	NA	NA	4361.5051184	9667.79939159792	NA	NA	NA	NA
