assay_id	extraction_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_target	assay_target_category	assay_target_genetic_locus	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_calculated_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
A0020.a1	A0020.e1	MA2		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12727	0		3996
A0020.a2	A0020.e1	MA2		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12727	0	0	
A0020.a3	A0020.e1	MA2		5	Human	Internal Control	RNase P	RNA	HEX	12727	0		35942.4
A0021.a1	A0021.e1	MA2		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14612	0		19320
A0021.a2	A0021.e1	MA2		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14612	0		19320
A0021.a3	A0021.e1	MA2		5	Human	Internal Control	RNase P	RNA	HEX	14612	0		88968
A0022.a1	A0022.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12254	0		49795.2
A0022.a2	A0022.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12254	0		49795.2
A0022.a3	A0022.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	12254	0		27648
A0023.a1	A0023.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12579	0		49394.4
A0023.a2	A0023.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12579	0		29647.2
A0023.a3	A0023.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	12579	0		24684
A0024.a1	A0024.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13430	0		23962.8
A0024.a2	A0024.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13430	0		7980
A0024.a3	A0024.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	13430	0		39968.4
A0025.a1	A0025.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12472	0		103305.6
A0025.a2	A0025.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12472	0		70675.2
A0025.a3	A0025.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	12472	0		27158.4
A0027.a1	A0027.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10133	0		15891.6
A0027.a2	A0027.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10133	0		15891.6
A0027.a3	A0027.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	10133	0		42362.4
A0028.a1	A0028.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10501	0		9676.8
A0028.a2	A0028.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10501	0		9676.8
A0028.a3	A0028.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	10501	0		9676.8
A0029.a1	A0029.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10527	0		28170
A0029.a2	A0029.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10527	0		32202
A0029.a3	A0029.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	10527	0		24138
A0030.a1	A0030.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10315	0		57250.8
A0030.a2	A0030.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10315	0		52029.6
A0030.a3	A0030.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	10315	0		26014.8
A0031.a1	A0031.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	9322	0		82456.8
A0031.a2	A0031.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	9322	0		82456.8
A0031.a3	A0031.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	9322	0		51510
A0032.a1	A0032.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10476	0		443142
A0032.a2	A0032.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10476	0		408920.4
A0032.a3	A0032.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	10476	0		28299.6
A0033.a1	A0033.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	9338	0		53241.6
A0033.a2	A0033.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	9338	0		29030.4
A0033.a3	A0033.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	9338	0		24192
A0034.a1	A0034.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15971	0		106176
A0034.a2	A0034.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15971	0		99096
A0034.a3	A0034.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	15971	0		84912
A0035.a1	A0035.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16284	0		112130.4
A0035.a2	A0035.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16284	0		75832.8
A0035.a3	A0035.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	16284	0		49430.4
A0036.a1	A0036.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14442	0		14670
A0036.a2	A0036.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14442	0		19560
A0036.a3	A0036.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	14442	0		44010
A0037.a1	A0037.e1	MA3		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13832	0		85800
A0037.a2	A0037.e1	MA3		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13832	0		85800
A0037.a3	A0037.e1	MA3		5	Human	Internal Control	RNase P	RNA	HEX	13832	0		98064
A0038.a1	A0038.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13631	0		100764
A0038.a2	A0038.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13631	0		74628
A0038.a3	A0038.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	13631	0		59680.8
A0039.a1	A0039.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13018	0		108552
A0039.a2	A0039.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13018	0		99864
A0039.a3	A0039.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	13018	0		52080
A0040.a1	A0040.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11665	0		81396
A0040.a2	A0040.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11665	0		81396
A0040.a3	A0040.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	11665	0		15246
A0041.a1	A0041.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11546	0		73416
A0041.a2	A0041.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11546	0		83208
A0041.a3	A0041.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	11546	0		34248
A0042.a1	A0042.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15469	0		84394.8
A0042.a2	A0042.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15469	0		84394.8
A0042.a3	A0042.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	15469	0		42184.8
A0043.a1	A0043.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13397	0		60100.8
A0043.a2	A0043.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13397	0		44072.4
A0043.a3	A0043.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	13397	0		20018.4
A0044.a1	A0044.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13954	0		55059.6
A0044.a2	A0044.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13954	0		79172.4
A0044.a3	A0044.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	13954	0		34414.8
A0045.a1	A0045.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18529	0		21336
A0045.a2	A0045.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18529	0		10668
A0045.a3	A0045.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	18529	0		5334
A0046.a1	A0046.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18937	0		67140
A0046.a2	A0046.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18937	0		22410
A0046.a3	A0046.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	18937	0		22410
A0047.a1	A0047.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17534	0		53163
A0047.a2	A0047.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17534	0		79761
A0047.a3	A0047.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	17534	0		8844
A0048.a1	A0048.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16737	0		35424
A0048.a2	A0048.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16737	0		50616
A0048.a3	A0048.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	16737	0		10116
A0049.a1	A0049.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16890	0		60192
A0049.a2	A0049.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16890	0		33456
A0049.a3	A0049.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	16890	0		26736
A0050.a1	A0050.e1	MA4		5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14694	0		33642
A0050.a2	A0050.e1	MA4		5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14694	0		33642
A0050.a3	A0050.e1	MA4		5	Human	Internal Control	RNase P	RNA	HEX	14694	0	0	
A01-0001.a1	A01-0001.e1	AP0	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	19475	0	8.458818793	
A01-0001.a2	A01-0001.e1	AP0	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	19475	0	9.667469263	
A01-0001.a3	A01-0001.e1	AP0	A03	5	Bovine Respiratory Syncitial Virus (BRSV)	Pre-concentration Spike (Biol)	BRSV	RNA	HEX	19475	0	548.8265228	
A01-0002.a1	A01-0002.e1	AP0.1	A01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15989	0	33.87116671	
A01-0002.a2	A01-0002.e1	AP0.1	A01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15989	0	38.29274178	
A01-0002.a3	A01-0002.e1	AP0.1	A01	5	Human	Internal Control	RNase P	RNA	HEX	15989	0	29.45042133	
A01-0003.a1	A01-0003.e1	AP0.1	A02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	19784	0	23.7983346	
A01-0003.a2	A01-0003.e1	AP0.1	A02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	19784	0	30.94253302	
A01-0003.a3	A01-0003.e1	AP0.1	A02	5	Human	Internal Control	RNase P	RNA	HEX	19784	0	32.13344097	
A01-0004.a1	A01-0004.e1	AP0.1	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18261	0	63.22166443	
A01-0004.a2	A01-0004.e1	AP0.1	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18261	0	64.51367378	
A01-0004.a3	A01-0004.e1	AP0.1	A03	5	Human	Internal Control	RNase P	RNA	HEX	18261	0	20.6251359	
A01-0005.a1	A01-0005.e1	AP0.2	A05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14966	0	210.036068	
A01-0005.a2	A01-0005.e1	AP0.2	A05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14966	0	238.6065865	
A01-0005.a3	A01-0005.e1	AP0.2	A05	5	Human	Internal Control	RNase P	RNA	HEX	14966	0	23.59469414	
A01-0006.a1	A01-0006.e1	AP7	A08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16286	0	40.48818111	
A01-0006.a2	A01-0006.e1	AP7	A08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16286	0	34.69988823	
A01-0006.a3	A01-0006.e1	AP7	A08	5	Human	Internal Control	RNase P	RNA	HEX	16286	0	7.224924564	
A01-0007.a1	A01-0007.e1	AP0.2	A07	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18545	0	30.47029495	
A01-0007.a2	A01-0007.e1	AP0.2	A07	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18545	0	13.96065354	
A01-0007.a3	A01-0007.e1	AP0.2	A07	5	Human	Internal Control	RNase P	RNA	HEX	18545	0	43.17790508	
A01-0008.a1	A01-0008.e1	AP0.2	A08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17162	0	41.16652966	
A01-0008.a2	A01-0008.e1	AP0.2	A08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17162	0	57.65333176	
A01-0008.a3	A01-0008.e1	AP0.2	A08	5	Human	Internal Control	RNase P	RNA	HEX	17162	0	53.53055	
A01-0009.a1	A01-0009.e1	AP0.3	A05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17879	0	15.79773664	
A01-0009.a2	A01-0009.e1	AP0.3	A05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17879	0	27.65300512	
A01-0009.a3	A01-0009.e1	AP0.3	A05	5	Human	Internal Control	RNase P	RNA	HEX	17879	0	15.79773664	
A01-0010.a1	A01-0010.e1	AP0.3	A06	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	18269	0	45.12120247	
A01-0010.a2	A01-0010.e1	AP0.3	A06	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	18269	0	52.86496639	
A01-0010.a3	A01-0010.e1	AP0.3	A06	5	Human	Internal Control	RNase P	RNA	HEX	18269	0	42.54051685	
A01-0011.a1	A01-0011.e1	AP4	F03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17755	0	48.75270367	
A01-0011.a2	A01-0011.e1	AP4	F03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17755	0	21.84480429	
A01-0011.a3	A01-0011.e1	AP4	F03	5	Human	Internal Control	RNase P	RNA	HEX	17755	0	15.12162089	
A01-0012.a1	A01-0012.e1	AP4	G03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15896	0	74.86507893	
A01-0012.a2	A01-0012.e1	AP4	G03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15896	0	72.78320313	
