assay_plate_id	assay_date	assay_amplification_method	assay_amplification_method_lot_id	assay_quantification_method	assay_method	assay_method_lot_id	assay_machine	assay_run_by	assay_plate_comment
MA0	11/10/20	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
MA1	11/17/20	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
MA2	11/20/20	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
MA3	12/14/20	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
MA4	2/22/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
MA5	3/11/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
MA5	3/11/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
MA6	3/15/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
MA7	3/16/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
MA8	3/22/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
MA9	3/30/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
MA10	4/12/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
MA11	4/19/21	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes		ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	TD	
