concentration_plate_id	concentration_date	concentration_input_ml	concentration_output_ml	concentration_method	concentration_method_lot_id	concentration_machine	concentration_run_by	concentration_plate_comments
CP0	6/4/21	10	0.95	Ceres Nanotrap	NT04155	Kookaburra		
CP0.1	7/7/21	10	0.95	Ceres Nanotrap	NT04155	Kookaburra		
CP0.2	7/9/21	10	0.95	Ceres Nanotrap	NT04155	Kookaburra		
CP0.3	7/30/21	10	0.95	Ceres Nanotrap	NT04155	Kookaburra		
CP0.4	8/13/21	10	0.425	Ceres Nanotrap	NT04155	Kookaburra	JL	
CP1	8/16/21	10	0.425	Ceres Nanotrap	NT04155	Halcyon	JL	
CP1.1	8/18/21	10	0.425	Ceres Nanotrap	NT04155	Kookaburra	JL	
CP1.2	8/20/21	10	0.425	Ceres Nanotrap	NT04155	Kookaburra	JL	
CP1.3	8/27/21	10	0.425	Ceres Nanotrap	NT04155	Halcyon	JL	
CP10	9/8/21	10	0.425	Ceres Nanotrap	NT04155	Halcyon	JL	
CP100	3/21/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP101	3/23/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP102	3/23/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP103	3/25/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP104	3/25/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP105	3/29/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP106	3/29/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP107	3/30/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
CP108	3/30/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP109	4/1/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP11	9/13/21	10	0.425	Ceres Nanotrap	NT04155	Halcyon	JL	
CP110	3/31/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP111	4/4/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
