location_id	primary_lab	location_status	location_common_name	location_category	location_lng	location_lat	primary_wwtp_id	location_counties_served	location_population_served	location_sampler_type	location_collection_scheme	location_collection_type	location_zipcode	location_comment
HonorsSummit-01	WVU	active	WVU Honors & Summit	higher ed dorm	-79.9567626	39.6378753	StarCityWWTP	Monongalia	874	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).
MtValley-01	WVU	active	Mountain Valley Apartments	higher ed dorm	-79.9657691	39.6727656	StarCityWWTP	Monongalia	NA	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Captures all of Mountain Valley
OaklandE-02	WVU	active	WVU Oakland Hall	higher ed dorm	-79.9622118	39.6511596	StarCityWWTP	Monongalia	862	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Isolates WVU Oakland Hall.
Seneca-01	WVU	active	WVU Seneca Hall	higher ed dorm	-79.95614	39.6392	StarCityWWTP	Monongalia	474	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Captures Seneca Hall and associated dining
TowersBB-01	WVU	active	WVU Brooke & Braxton Towers	higher ed dorm	-79.9663361	39.6495489	StarCityWWTP	Monongalia	904	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Captures Brooke and Braxton Towers. Taken from the University Ave. side of the bottom flow, which compiles both towers
UPlace-01	WVU	active	University Place Apartments	higher ed dorm	-79.9567559	39.64019	StarCityWWTP	Monongalia	NA	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Captures UPlace and associated dining
NorthHighSt-02	WVU	active	North High Street	higher ed dorm	-79.9532029	39.6331164	StarCityWWTP	Monongalia	NA	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.
Evansdale-01	WVU	active	WVU Evansdale	mixed use	-79.9721575	39.6500969	StarCityWWTP	Monongalia	NA	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.
CharlestonWWTP-01	WVU	active	Charleston	wwtp	-81.67768	38.37287	CharlestonWWTP	Kanawha	50,000	Facility hardware	24-hr flow-weighted composite	raw wastewater	25312	
CharlesTownWWTP-01	WVU	active	Charles Town	wwtp	-77.85589	39.27924	CharlesTownWWTP	Jefferson	17,000	Facility hardware	24-hr flow-weighted composite	raw wastewater	25414	
ClarksburgWWTP-01	WVU	active	Clarksburg	wwtp	-80.33857	39.27931	ClarksburgWWTP	Harrison	26,498	Facility hardware	24-hr flow-weighted composite	raw wastewater	26301	
GraftonWWTP-01	WVU	active	Grafton	wwtp	-80.01837	39.33877	GraftonWWTP	Taylor	6,071	Facility hardware	24-hr flow-weighted composite	raw wastewater	26354	
MoundsvilleWWTP-01	WVU	active	Moundsville	wwtp	-80.75493	39.92986	MoundsvilleWWTP	Marshall	12,000	Facility hardware	24-hr flow-weighted composite	raw wastewater	26041	
ParkersburgWWTP-01	WVU	active	Parkersburg	wwtp	-81.55739	39.28171	ParkersburgWWTP	Wood	48,050	Facility hardware	24-hr flow-weighted composite	raw wastewater	26101	
StarCityWWTP-01	WVU	active	Morgantown Star City	wwtp	-79.9920554	39.6551745	StarCityWWTP	Monongalia	48,328	Facility hardware	24-hr flow-weighted composite	raw wastewater	26505	
WheelingWWTP-01	WVU	active	Wheeling	wwtp	-80.72757	40.05588	WheelingWWTP	Ohio	50,000	Facility hardware	24-hr flow-weighted composite	raw wastewater	26003	
AlpineLakeWWTP-01	WVU	active	Alpine Lake	wwtp	-79.50179	39.45709	AlpineLakeWWTP	Preston	700	WVU ISCO	24-hr time-weighted composite	raw wastewater	26764	
AthensWWTP-01	WVU	active	Athens	wwtp	-81.01598	37.42163	AthensWWTP	Mercer	2,391	WVU ISCO	24-hr time-weighted composite	raw wastewater	24740	
CheatLakeWWTP-01	WVU	active	Cheat Lake	wwtp	-79.857	39.67712	CheatLakeWWTP	Monongalia	2,000	WVU ISCO	24-hr time-weighted composite	raw wastewater	26508	
ElkinsWWTP-01	WVU	active	Elkins	wwtp	-79.86543	38.92026	ElkinsWWTP	Randolph	13,156	WVU ISCO	24-hr time-weighted composite	raw wastewater	26241	
FarmingtonWWTP-01	WVU	active	Farmington	wwtp	-80.24933	39.51181	FarmingtonWWTP	Marion	610	WVU ISCO	24-hr time-weighted composite	raw wastewater	26571	
FollansbeeWWTP-01	WVU	active	Follansbee	wwtp	-80.59829	40.3258	FollansbeeWWTP	Brooke	6,468	WVU ISCO	24-hr time-weighted composite	raw wastewater	26037	
HuttonsvilleWWTP-01	WVU	active	Huttonsville	wwtp	-79.97895	38.71288	HuttonsvilleWWTP	Randolph	2,101	WVU ISCO	24-hr time-weighted composite	raw wastewater	26273	
KeyserWWTP-01	WVU	active	Keyser	wwtp	-78.97508	39.44123	KeyserWWTP	Mineral	8,168	WVU ISCO	24-hr time-weighted composite	raw wastewater	26726	
MadisonWWTP-01	WVU	active	Danville	wwtp	-81.8472888	38.102484	MadisonWWTP	Boone	4,555	WVU ISCO	24-hr time-weighted composite	raw wastewater	25053	
ManningtonWWTP-01	WVU	active	Mannington	wwtp	-80.32371	39.51814	ManningtonWWTP	Marion	1,091	WVU ISCO	24-hr time-weighted composite	raw wastewater	26582	
PointPleasantWWTP-01	WVU	active	Point Pleasant	wwtp	-82.1351148	38.8567084	PointPleasantWWTP	Mason	5,515	WVU ISCO	24-hr time-weighted composite	raw wastewater	25550	
PrincetonWWTP-01	WVU	active	Princeton	wwtp	-81.07993	37.38036	PrincetonWWTP	Mercer	36,000	WVU ISCO	24-hr time-weighted composite	raw wastewater	24740	
SalemWWTP-01	WVU	active	Salem	wwtp	-80.54515	39.28597	SalemWWTP	Harrison	1,853	WVU ISCO	24-hr time-weighted composite	raw wastewater	26426	
StMarysWWTP-01	WVU	active	Saint Marys	wwtp	-81.20511	39.39125	StMarysWWTP	Pleasants	2,892	WVU ISCO	24-hr time-weighted composite	raw wastewater	26170	
WestonWWTP-01	WVU	active	Weston	wwtp	-80.45991	39.06224	WestonWWTP	Lewis	10,364	WVU ISCO	24-hr time-weighted composite	raw wastewater	26452	
WestUnionWWTP-01	WVU	active	West Union	wwtp	-80.77899	39.29906	WestUnionWWTP	Doddridge	564	WVU ISCO	24-hr time-weighted composite	raw wastewater	26456	
Hazelton-01	WVU	inactive	Hazelton Correctional	correctional	-79.51524	39.66807	HazeltonWWTP	Preston	1,948	Unknown	Unknown	raw wastewater	26525	
CollegePark-02	WVU	inactive	College Park Apartments	higher ed dorm	-79.9458019	39.6362083	StarCityWWTP	Monongalia	567	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Isolates all of College Park Apartments.
Dadisman-02	WVU	inactive	WVU Dadisman Hall	higher ed dorm	-79.9530932	39.6364231	StarCityWWTP	Monongalia	639	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Isolates WVU Dadisman Hall.
Domain-01	WVU	inactive	The Domain	higher ed dorm	-80.0004209	39.6535571	StarCityWWTP	Monongalia	912	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Isolates The Domain (apartments).
Evolution-01	WVU	inactive	Evolution (top)	higher ed dorm	-79.9562341	39.6679098	StarCityWWTP	Monongalia	NA	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	The creekside pipe (south?) captures all of CEV to the south side of the creek. It also captures a small portion of residential above CEV. The north pipe (parking lot side) captures the smaller CEV portion on this side of the creek. This north pipe is Evolution-02; it can be sampled here, but might be easier via the adjacent site marked on the map
Evolution-02	WVU	inactive	Evolution (bottom)	higher ed dorm	-79.9562046	39.6681122	StarCityWWTP	Monongalia	NA	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Three-way junction. Sample from the outflow closer to the yard to catch all of this portion of the CEV complex. This flow can also be captured in the access for Evolution-01
Lofts-01	WVU	inactive	The Lofts 1	higher ed dorm	-79.9551221	39.6691886	StarCityWWTP	Monongalia	NA	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Captures some combination of Stanley St (probably all) and Station Road (probably partial)
Lofts-02	WVU	inactive	The Lofts 2	higher ed dorm	-79.9552454	39.6692795	StarCityWWTP	Monongalia	NA	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Captures the upper section of Station Road. Not clear exactly which buildings drop here vs. Lofts-01
WestRun-01	WVU	inactive	West Run Apartments	higher ed dorm	-79.925397	39.6565887	StarCityWWTP	Monongalia	NA	WVU ISCO	48-hr time-weighted composite	raw wastewater	26505	Captures all of West Run Apartments
SuncrestES-01	WVU	inactive	Suncrest Elementary	k12	-79.97825	39.67137	StarCityWWTP	Monongalia	515	WVU ISCO	8-hr time-weighted composite	raw wastewater	26505	
BrookhavenES-01	WVU	inactive	Brookhaven Elementary	k12	-79.90501	39.61021	StarCityWWTP	Monongalia	579	WVU ISCO	8-hr time-weighted composite	raw wastewater	26508	
CheatLakeES-01	WVU	inactive	Cheat Lake Elementary	k12	-79.86761	39.65267	StarCityWWTP	Monongalia	830	WVU ISCO	8-hr time-weighted composite	raw wastewater	26508	
MorgantownHS-01	WVU	inactive	Morgantown High	k12	-79.95736	39.62542	StarCityWWTP	Monongalia	1851	WVU ISCO	8-hr time-weighted composite	raw wastewater	26501	
MountainviewES-01	WVU	inactive	Mountainview Elementary	k12	-79.94331	39.61036	StarCityWWTP	Monongalia	726	WVU ISCO	8-hr time-weighted composite	raw wastewater	26501	
NorthES-01	WVU	inactive	North Elementary	k12	-79.95674	39.66064	StarCityWWTP	Monongalia	688	WVU ISCO	8-hr time-weighted composite	raw wastewater	26505	
UniversityHS-01	WVU	inactive	University High	k12	-79.92615	39.68782	StarCityWWTP	Monongalia	1310	WVU ISCO	8-hr time-weighted composite	raw wastewater	26508	
PetersburgWWTP-01	WVU	inactive	Petersburg	wwtp	-79.12725	38.99091	PetersburgWWTP	Grant	2,700	Facility hardware	24-hr flow-weighted composite	raw wastewater	26847	
3HG	MU	inactive	MU 3rd Ave Hal Greer	higher ed dorm				Cabell				raw wastewater		
COM	MU	inactive	MU Commons	higher ed dorm				Cabell				raw wastewater		
TTE	MU	inactive	MU Towers East	higher ed dorm				Cabell				raw wastewater		
TTW	MU	inactive	MU Towers West	higher ed dorm				Cabell				raw wastewater		
CSB	MU	inactive	Charleston	wwtp	-81.67955423	38.37373553	CSB	Kanawha	49500	Facility hardware	24-hr flow-weighted composite	raw wastewater	25387	
DUN	MU	inactive	Dunbar	wwtp	-81.75870918	38.36851901	DUN	Kanawha	9000	WVU ISCO	24-hr time-weighted composite	raw wastewater	25064	
HRSB	MU	inactive	Hurricane	wwtp	-82.00695961	38.44652408	HSB	Putnam	28759	WVU ISCO	24-hr time-weighted composite	raw wastewater	25526	
HSB	MU	inactive	Huntington	wwtp	-82.52886403	38.40074493	HSB	Cabell,Wayne	56000	WVU ISCO	24-hr time-weighted composite	raw wastewater	25704	
Northern Wayne Co PSD	MU	inactive	North Wayne	wwtp	-82.45130384	38.34333616	HSB	Wayne	1600	WVU ISCO	24-hr time-weighted composite	raw wastewater	25701	upstream from Huntington Sanitary board
Pea Ridge PSD LeSage	MU	inactive	LeSage	wwtp	-82.28756396	38.57262365	PRPSD	Cabell	1000	WVU ISCO	24-hr time-weighted composite	raw wastewater	25537	small independent plant under PeaRidge management
PRPSD	MU	inactive	Pea Ridge	wwtp	-82.29820925	38.41966191	PRPSD	Cabell	7000	WVU ISCO	24-hr time-weighted composite	raw wastewater	25705	
SRM	MU	inactive	Milton, Culloden	wwtp	-82.20944695	38.43196079	SR	Cabell	11250	WVU ISCO	24-hr time-weighted composite	raw wastewater	25545	12" and 20" pipe allow ona (12") and milton (20") to be separated
SRO	MU	inactive	Ona, Salt Rock	wwtp	-82.20944695	38.43196079	SR	Cabell	11250	WVU ISCO	24-hr time-weighted composite	raw wastewater	25545	12" and 20" pipe allow ona (12") and milton (20") to be separated
BV	MU	inactive	Barboursville	wwtp	-82.28569877	38.41494682	BV	Cabell	4000		grab	raw wastewater	25504	lagoon - plan to pump into PeaRidge some day when new pearidge plant comes to be
PotomacState-01	WVU	withdrawn	WVU Keyser	higher ed dorm	-78.98272	39.43807	KeyserWWTP	Mineral	1193	WVU ISCO	48-hr time-weighted composite	raw wastewater	26726	
BelingtonWWTP-01	WVU	withdrawn	Belington	wwtp	-79.93694	39.02201	BelingtonWWTP	Barbour	1,974	Facility hardware	24-hr flow-weighted composite	raw wastewater	26250	
BlacksvilleWWTP-01	WVU	withdrawn	Blacksville	wwtp	-80.21201	39.72007	BlacksvilleWWTP	Monongalia	400	Facility hardware	24-hr flow-weighted composite	raw wastewater	26521	
BridgeportWWTP-01	WVU	withdrawn	Bridgeport	wwtp	-80.25899	39.28048	BridgeportWWTP	Harrison	6,984	Facility hardware	24-hr flow-weighted composite	raw wastewater	26330	
SistervilleWWTP-01	WVU	withdrawn	Sisterville	wwtp			SistervilleWWTP	Tyler	1,800	Facility hardware	24-hr flow-weighted composite	raw wastewater		
WarmSpringsWWTP-01	WVU	withdrawn	Warm Springs	wwtp	-78.22662	39.62802	WarmSpringsWWTP	Morgan	3,255	Facility hardware	24-hr flow-weighted composite	raw wastewater	25411	
WeirtonWWTP-01	WVU	withdrawn	Weirton	wwtp			WeirtonWWTP	Brooke	20,411	Facility hardware	24-hr flow-weighted composite	raw wastewater		
CameronWWTP-01	WVU	withdrawn	Cameron	wwtp	-80.56744	39.82661	CameronWWTP	Marshall	1,340	WVU ISCO	24-hr time-weighted composite	raw wastewater	26033	
FairmontWWTP-01	WVU	withdrawn	Fairmont	wwtp	-80.12445	39.49395	FairmontWWTP	Marion	25,525	WVU ISCO	24-hr time-weighted composite	raw wastewater	26554	
WorthingtonWWTP-01	WVU	withdrawn	Worthington	wwtp	-80.26036	39.45258	WorthingtonWWTP	Marion	2,742	WVU ISCO	24-hr time-weighted composite	raw wastewater	26591	
