Asset Tag ID	Department	Location	Description	Site	Category	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Received Date	Sample Composite Start	Sample Composite End	Sample Received By	Assay Date	Comments	Sample pH (Lab)	Control, Process (Type)	Control, Internal (Type)	Sample QC Check	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	Status: NWSS	Status: WaTCH
A02-0160	WVU Morgantown	Evansdale-01	Sample	Monongalia	Sample	Composite	BL	10/6/21 9:15	10/6/21	10/4/21 10:00	10/6/21 9:00	JL	10/11/21		7.46			Pass	SARS-CoV-2 N1	6427.279748	SARS-CoV-2 N2	22502.59772		Rejected: No Flow	Complete
P01-0071	WWTP	StMarysWWTP-01	Sample	Pleasants	Sample	Composite		4/21/22 10:05	4/28/22	4/20/22 9:25	4/21/22 9:25	AJ	4/29/22					Pass	SARS-CoV-2 N1	5814.618124	SARS-CoV-2 N2	2907.207934	0.288	Processing	Complete
E02-0110	WWTP	AthensWWTP-01	E02-0110	Mercer	Sample	Composite		4/20/22 8:00	4/22/22	4/19/22 8:00	4/20/22 8:00	JL	4/25/22		6.25			Pass	SARS-CoV-2 N1	4815.783659	SARS-CoV-2 N2	2407.822553	0.149	Processing	Complete
A02-0113	WVU Morgantown	NorthHighSt-02 (MUB)	Sample	Monongalia	Sample	Composite	EL	9/17/21 10:39	9/17/21	9/15/21 10:39	9/17/21 10:39	JL	9/20/21		7.07			Pass	SARS-CoV-2 N1	18623.36181	SARS-CoV-2 N2	16760.40158		Rejected: No Flow	Complete
A02-0408	WVU Morgantown	HonorsSummit-01 (MUB)	A02-0408	Monongalia	Sample	Composite	GZ	3/18/22 11:00	3/18/22	3/16/22 9:00	3/18/22 9:00	AJ	3/28/22		6.92			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0		Processing	Complete
H01-0158	WWTP	MoundsvilleWWTP-01	H01-0158	Marshall	Sample	Composite		3/16/22 8:00	3/18/22	3/15/22 8:00	3/16/22 8:00	JL	3/28/22		6.8			Pass	SARS-CoV-2 N1	27094.4735	SARS-CoV-2 N2	13545.04857	2.7	Processing	Complete
A03-0263	K-12	MountainviewES-01	A03-0263	Monongalia	Sample	Composite	GZ	4/5/22 10:07		4/4/22 6:00	4/4/22 14:00		4/6/22		7.13				SARS-CoV-2 N1	0	SARS-CoV-2 N2	0		Processing	Complete
A03-0314	K-12	NorthES-01	A03-0314	Monongalia	Sample	Composite	GZ	4/19/22 10:23	4/19/22	4/18/22 6:00	4/18/22 14:00	AJ	4/20/22		7.62			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0		Processing	Complete
L01-0063	WWTP	WestUnionWWTP-01	L01-0063	Doddridge	Sample	Composite		3/24/22 9:00	3/30/22	3/23/22 9:00	3/24/22 9:00	AJ	4/4/22		6.86			Pass	SARS-CoV-2 N1	14158.9025	SARS-CoV-2 N2	16991.25633	0.403	Processing	Complete
A01-0064	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	10/16/21 0:00	10/20/21	10/16/21 0:00	10/16/21 23:55	JL	10/20/21					Pass	SARS-CoV-2 N1	54807.41292	SARS-CoV-2 N2	13690.59317	11.183	Processing	Complete
E01-0068	WWTP	PrincetonWWTP-01	E01-0068	Mercer	Sample	Composite		2/23/22 8:30	2/24/22	2/22/22 8:15	2/23/22 8:15	JL	2/28/22		6.71			Pass	SARS-CoV-2 N1	175382.6004	SARS-CoV-2 N2	150723.1727	5.314	Processing	Complete
C01-0012	WWTP	WheelingWWTP-01	Sample	Ohio	Sample	Composite	MVC	9/30/21 7:00	10/1/21	9/29/21 7:00	9/30/21 7:00	JL	10/5/21					Pass	SARS-CoV-2 N1	16138.10264	SARS-CoV-2 N2	33902.6624		Rejected: No Flow	Complete
L01-0070	WWTP	WestUnionWWTP-01	L01-0070	Doddridge	Sample	Composite		3/19/22 9:00	3/23/22	3/18/22 9:00	3/19/22 9:00	JL	3/29/22		6.86			Pass	SARS-CoV-2 N1	22173.58343	SARS-CoV-2 N2	18477.16939	0.328	Processing	Complete
G01-0096	WWTP	KeyserWWTP-01	Sample	Mineral	Sample	Composite		1/26/22 8:30	1/27/22	1/25/22 9:00	1/26/22 8:00	JL	2/2/22		7.21			Pass	SARS-CoV-2 N1	322790.646	SARS-CoV-2 N2	331792.6025	0.878	Processing	Complete
