Asset Tag ID	Department	Location	Description	Site	Category	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Received Date	Sample Composite Start	Sample Composite End	Sample Received By	Assay Date	Comments	Sample pH (Lab)	Control, Process (Type)	Control, Internal (Type)	Sample QC Check	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	Status: NWSS	Status: WaTCH
A01-0231	WWTP	StarCityWWTP-01	A01-0231	Monongalia	Sample	Composite		04/19/2022 12:00 AM	04/25/2022	04/18/2022 12:00 AM	04/19/2022 12:00 AM	AJ	4/26/22		7.09			Pass	SARS-CoV-2 N1	34896.27354	SARS-CoV-2 N2	37581.80805	13.8	Processing	Complete
S01-0027	WWTP	FollansbeeWWTP-01	SAMPLE	Brooke	Sample	Composite		04/28/2022 06:00 AM	05/19/2022	04/27/2022 06:00 AM	04/28/2022 06:00 AM	JL						Pass					0.656	Processing	Processing
H01-0033	WWTP	MoundsvilleWWTP-01	Sample	Marshall	Sample	Composite	DRC	11/09/2021 08:15 AM	11/11/2021	11/08/2021 08:00 AM	11/09/2021 08:00 AM	AJ	11/18/21		6.85			Pass	SARS-CoV-2 N1	30175	SARS-CoV-2 N2	35062.5		Rejected: No Flow	Complete
G01-0126	WWTP	KeyserWWTP-01	G01-0126	Mineral	Sample	Composite		03/05/2022 08:20 AM	03/10/2022	03/04/2022 09:00 AM	03/05/2022 08:00 AM	AJ	3/14/22		7.07			Pass	SARS-CoV-2 N1	28145.01632	SARS-CoV-2 N2	23026.33222	1.009	Processing	Complete
R01-0041	WWTP	HuttonsvilleWWTP-01	R01-0041	Randolph	Sample	Composite		03/24/2022 08:30 AM	03/30/2022	03/23/2022 09:00 AM	03/24/2022 08:30 AM	AJ	3/31/22		6.87			Pass	SARS-CoV-2 N1	299865.3013	SARS-CoV-2 N2	256482.87	0.142	Processing	Complete
A01-0054	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	10/03/2021 11:55 PM	10/05/2021	10/03/2021 12:00 AM	10/03/2021 11:55 PM	JL	10/14/21		7.38			Pass	SARS-CoV-2 N1	131702.3009	SARS-CoV-2 N2	115915.8504	8.385	Processing	Complete
M03-0051	WWTP	ManningtonWWTP-01	M03-0051	Marion	Sample	Composite		04/21/2022 11:00 AM	04/27/2022	04/20/2022 11:00 AM	04/21/2022 11:00 AM	AJ	4/28/22		6.94			Pass	SARS-CoV-2 N1	2903.582733	SARS-CoV-2 N2	0	0.254	Processing	Complete
E02-0092	WWTP	AthensWWTP-01	G	Mercer	Sample	Composite		01/21/2022 08:00 AM	01/28/2022	01/20/2022 08:00 AM	01/21/2022 08:00 AM	AJ	2/2/22		6.96			Pass	SARS-CoV-2 N1	1038771.722	SARS-CoV-2 N2	670138.2351	0.404	Processing	Complete
K01-0063	WWTP	ParkersburgWWTP-01	K01-0063	Wood	Sample	Composite		04/05/2022 06:00 AM	04/13/2022	04/04/2022 06:00 AM	04/05/2022 06:00 AM	JL	4/18/22		7.23			Pass	SARS-CoV-2 N1	9144.05236	SARS-CoV-2 N2	0	5.186	Processing	Complete
F01-0001	WWTP	WestonWWTP-01	Sample	Lewis	Sample	Composite	--		09/24/2021			JL	9/29/21	NO METADATA -- 9/23/21 WRITTEN ON LABEL	7.07			Fail: Missing Required Data	SARS-CoV-2 N1	16211.95927	SARS-CoV-2 N2	13895.32238		Rejected	Rejected
M04-0020	WWTP	FarmingtonWWTP-01	M04-0020	Marion	Sample	Composite		02/25/2022 02:00 PM	03/02/2022	02/24/2022 02:00 PM	02/25/2022 02:00 PM	AJ	3/2/22		7.37			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	0.126	Processing	Complete
A0242	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	02/15/2021 08:00 AM	02/18/2021	02/15/2021 12:00 PM	02/15/2021 11:55 AM	TD	3/11/21					Pass	SARS-CoV-2 N1	41256	SARS-CoV-2 N2	68784	9.8	Rejected: No NTC	Complete
L01-0061	WWTP	WestUnionWWTP-01	L01-0061	Doddridge	Sample	Composite		03/22/2022 09:10 AM	03/23/2022	03/21/2022 09:10 AM	03/22/2022 09:10 AM	JL	3/29/22		6.63			Pass	SARS-CoV-2 N1	14875.51594	SARS-CoV-2 N2	5949.572856	0.282	Processing	Complete
A01-0163	WWTP	StarCityWWTP-01	G	Monongalia	Sample	Composite	GG	01/29/2022 12:00 AM	02/01/2022	01/28/2022 12:00 AM	01/29/2022 12:00 AM	AJ	2/7/22		7.45			Pass	SARS-CoV-2 N1	276697.0548	SARS-CoV-2 N2	215050.7534	8.5	Processing	Complete
L01-0084	WWTP	WestUnionWWTP-01	L01-0084	Doddridge	Sample	Composite		04/22/2022 09:00 AM	04/27/2022	04/21/2022 09:00 AM	04/22/2022 09:00 AM	AJ	4/28/22		7.17			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	0.144	Processing	Complete
N03-0067	WWTP	SalemWWTP-01	N03-0067	Harrison	Sample	Composite		04/18/2022 07:30 AM	04/20/2022	04/17/2022 07:30 AM	04/18/2022 07:30 AM	AJ	4/21/22		7.24			Pass	SARS-CoV-2 N1	40760.95171	SARS-CoV-2 N2	48917.89936	0.38456	Processing	Complete
C01-0040	WWTP	WheelingWWTP-01	Sample	Ohio	Sample	Composite		11/17/2021 07:00 AM	11/23/2021	11/16/2021 07:00 AM	11/17/2021 07:00 AM	AJ	12/3/21		6.35			Pass	SARS-CoV-2 N1	187409.8974	SARS-CoV-2 N2	161637.2904	6.15	Processing	Complete
A03-0145	K-12	NorthES-01	Sample	Monongalia	Sample	Composite	GZ	12/10/2021 12:31 PM	12/13/2021	12/10/2021 06:00 AM	12/10/2021 02:00 PM	AJ	12/14/21		8.95			Pass	SARS-CoV-2 N1	2546.666586	SARS-CoV-2 N2	2546.666586		Rejected: No Flow	Complete
A02-0313	WVU Morgantown	NorthHighSt-02 (MUB)	Sample	Monongalia	Sample	Composite	GZ	01/28/2022 11:29 AM	01/28/2022	01/26/2022 09:00 AM	01/28/2022 09:00 AM	AJ			7.89			Pass						Processing	Processing
M04-0011	WWTP	FarmingtonWWTP-01	M04-0011	Marion	Sample	Composite		03/21/2022 02:00 PM	03/23/2022	03/20/2022 10:00 AM	03/21/2022 10:00 AM	JL	3/29/22		7.32			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	0.106	Processing	Complete
A02-0259	WVU Morgantown	CollegePark-02	Sample	Monongalia	Sample	Composite	GZ	12/13/2021 09:37 AM	12/13/2021	12/11/2021 09:00 AM	12/13/2021 09:00 AM	AJ	12/14/21		7.29			Pass	SARS-CoV-2 N1	99720.37241	SARS-CoV-2 N2	72187.59835		Rejected: No Flow	Complete
D01-0080	WWTP	CharlesTownWWTP-01	Sample	Jefferson	Sample	Composite		05/04/2022 07:40 AM	05/06/2022	05/03/2022 07:40 AM	05/04/2022 07:40 AM	AJ	5/9/22					Pass	SARS-CoV-2 N1	1214343.052	SARS-CoV-2 N2	864598.5854	1.28	Processing	Complete
E02-0098	WWTP	AthensWWTP-01	G	Mercer	Sample	Composite		01/14/2022 08:00 AM	01/21/2022	01/13/2022 08:00 AM	01/14/2022 08:00 AM	AJ	1/24/22		4.54			Pass	SARS-CoV-2 N1	1003843.882	SARS-CoV-2 N2	549355.883	0.56	Processing	Complete
A1054	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	EL	05/23/2021 12:00 AM	05/28/2021	05/23/2021 12:00 AM	05/23/2021 11:55 PM	JL	7/7/21		7.02			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	3776.25	6.439	Processing	Complete
A01-0203	WWTP	StarCityWWTP-01	A01-0203	Monongalia	Sample	Composite	GG	03/17/2022 12:00 AM	03/18/2022	03/16/2022 12:00 AM	03/17/2022 12:00 AM	AJ	3/28/22		6.78			Pass	SARS-CoV-2 N1	20373.06726	SARS-CoV-2 N2	32019.26854	10.4	Processing	Complete
H01-0001	WWTP	MoundsvilleWWTP-01	Sample	Marshall	Sample	Composite	DRC	09/28/2021 08:10 AM	10/01/2021	09/27/2021 08:00 AM	09/28/2021 08:00 AM	JL	10/5/21					Pass	SARS-CoV-2 N1	163818.441	SARS-CoV-2 N2	91183.68685		Rejected: No Flow	Complete
