Sample ID	Site	Location	Sample Composite Start	Sample Composite End	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Date	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Comments
62					16668	SARS-CoV-2 N1	7.54769802093506	0	0	13444.3370997906	SARS-CoV-2 N2	6.03797733783722	0	1.45497426390648	10755.1471330225	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45131	AP-BSA-2	C03	JL	
44A					11380	SARS-CoV-2 N1	106.335763931274	0	0	189410.579502582	SARS-CoV-2 N2	53.1116962432862	0	1.45497426390648	94605.2089333535	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45130	AP-BSA-2	A01	JL	
60					17016	SARS-CoV-2 N1	96.2829875946044	0	0	171504.071652889	SARS-CoV-2 N2	76.9968891143798	0	1.45497426390648	137150.708734989	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45131	AP-BSA-2	A03	JL	
53					13874	SARS-CoV-2 N1	7.25410342216492	0	0	12921.3717207313	SARS-CoV-2 N2	0	0	1.45497426390648	0	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45130	AP-BSA-2	B02	JL	
58					16538	SARS-CoV-2 N1	7.60703682899476	0	0	13550.0343516469	SARS-CoV-2 N2	13.6943233013153	0	1.45497426390648	24393.0133804679	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45131	AP-BSA-2	G02	JL	
61					16910	SARS-CoV-2 N1	53.6147689819336	0	0	95501.3072490692	SARS-CoV-2 N2	50.6331729888916	0	1.45497426390648	90190.3393864632	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45131	AP-BSA-2	B03	JL	
48					17228	SARS-CoV-2 N1	14.6067667007446	0	0	26018.3031857014	SARS-CoV-2 N2	24.8365497589112	0	1.45497426390648	44240.1042580606	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45130	AP-BSA-2	E01	JL	
54					13174	SARS-CoV-2 N1	210.939235687256	0	0	375735.513567925	SARS-CoV-2 N2	68.8401412963868	0	1.45497426390648	122621.501684189	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45131	AP-BSA-2	C02	JL	
50					12696	SARS-CoV-2 N1	0	0	0	0	SARS-CoV-2 N2	0	0	1.45497426390648	0	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45130	AP-BSA-2	G01	JL	
57					15320	SARS-CoV-2 N1	8.21192502975464	0	0	14627.4914592505	SARS-CoV-2 N2	1.64217054843903	0	1.45497426390648	2925.11628940701	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45131	AP-BSA-2	F02	JL	
52					14347	SARS-CoV-2 N1	0	0	0	0	SARS-CoV-2 N2	0	0	1.45497426390648	0	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45130	AP-BSA-2	A02	JL	
47					12281	SARS-CoV-2 N1	0	0	0	0	SARS-CoV-2 N2	2.04855129122734	0	1.45497426390648	3648.9819874987	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45130	AP-BSA-2	D01	JL	
59					14316	SARS-CoV-2 N1	0	0	0	0	SARS-CoV-2 N2	5.27239501476288	0	1.45497426390648	9391.45362004638	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45131	AP-BSA-2	H02	JL	
45					9458	SARS-CoV-2 N1	0	0	0	0	SARS-CoV-2 N2	0	0	1.45497426390648	0	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45130	AP-BSA-2	B01	JL	
46					14293	SARS-CoV-2 N1	0	0	0	0	SARS-CoV-2 N2	1.76017016172409	0	1.45497426390648	3135.30310057104	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45130	AP-BSA-2	C01	JL	
49					12677	SARS-CoV-2 N1	0	0	0	0	SARS-CoV-2 N2	0	0	1.45497426390648	0	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45130	AP-BSA-2	F01	JL	
55					10153	SARS-CoV-2 N1	62.0217084884644	0	0	110476.168245077	SARS-CoV-2 N2	24.7903370857238	0	1.45497426390648	44157.7879339455	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45131	AP-BSA-2	D02	JL	
51					12761	SARS-CoV-2 N1	0	0	0	0	SARS-CoV-2 N2	0	0	1.45497426390648	0	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45130	AP-BSA-2	H01	JL	
56					14347	SARS-CoV-2 N1	8.7689471244812	0	0	15619.6870654821	SARS-CoV-2 N2	1.75354495644569	0	1.45497426390648	3123.50195366889	2023-07-25	OneStep RT-ddPCR	Manual	DQ	63101839	QX 200	45131	AP-BSA-2	E02	JL	
