Sample ID	type	category	Location	Sample Composite Start	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	latlong	population_served	counties_served	capacity_mgd	Status: WaTCH	status
H01-0031	not institution specific	wwtp	MoundsvilleWWTP-01	11/10/21 8:00	70597.30031	30679.8669		24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A03-0246	k12	upstream	NorthES-01	2/18/22 6:00	3304.69273	3304.69273		8-hr time-weighted composite	North Elementary	26505	-79.95674,39.66064	688	Monongalia	-1	Complete	active
C01-0111	not institution specific	wwtp	WheelingWWTP-01	1/20/22 7:00	205472.6207	260435.8712	8.363	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A01-0111	not institution specific	wwtp	StarCityWWTP-01	11/28/21 0:00	1014164.768	908001.4014	6.543	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A1110	not institution specific	wwtp	StarCityWWTP-01	7/28/21 0:00	8288.75	20686.25	6.999	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
G01-0060	not institution specific	wwtp	KeyserWWTP-01	10/24/21 9:00	66354.7197	50623.20918		24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
E02-0077	not institution specific	wwtp	AthensWWTP-01	2/15/22 8:00	2227733.674	2446923.695	0.12	24-hr time-weighted composite	Athens	24740	-81.01598,37.42163	2391	Mercer	0.5	Complete	active
E02-0013	not institution specific	wwtp	AthensWWTP-01	11/19/21 8:00	93283.82447	61093.52969	0.13	24-hr time-weighted composite	Athens	24740	-81.01598,37.42163	2391	Mercer	0.5	Complete	active
A02-0268	not institution specific	upstream	Evansdale-01	12/18/21 9:00	0	0		48-hr time-weighted composite	Evansdale campus (WVU Morgantown)	26505	-79.9721575,39.6500969	-1	Monongalia	-1	Complete	active
B01-0079	not institution specific	wwtp	CharlestonWWTP-01	2/20/22 7:00	96642.97432	62508.23826	4.7	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
K01-0008	not institution specific	wwtp	ParkersburgWWTP-01	12/14/21 6:20	63067.37177	28018.22718	4.913	24-hr flow-weighted composite	Parkersburg	26101	-81.55739,39.28171	48050	Wood	15.5	Complete	active
A01-0016	not institution specific	wwtp	StarCityWWTP-01	8/26/21 0:00	111546.0849	62324.9042	8.963	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
D01-0045	not institution specific	wwtp	CharlesTownWWTP-01	2/2/22 7:40	466237.3155	180170.7664	1.28	24-hr flow-weighted composite	Charles Town	25414	-77.85589,39.27924	17000	Jefferson	2.25	Complete	active
A03-0181	k12	upstream	NorthES-01	1/14/22 6:00	7638.607062	28015.03357		8-hr time-weighted composite	North Elementary	26505	-79.95674,39.66064	688	Monongalia	-1	Complete	active
B01-0084	not institution specific	wwtp	CharlestonWWTP-01	2/15/22 7:00	284952.0108	313270.7459	8.365	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
E02-0087	not institution specific	wwtp	AthensWWTP-01	1/27/22 8:00	677550.8237	634106.0829	0.317	24-hr time-weighted composite	Athens	24740	-81.01598,37.42163	2391	Mercer	0.5	Complete	active
A0234	not institution specific	wwtp	StarCityWWTP-01	2/3/21 0:00	75546	51516	10.441	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
L01-0046	not institution specific	wwtp	WestUnionWWTP-01	2/10/22 9:00	130803.3612	146848.1773	0.344	24-hr time-weighted composite	West Union	26456	-80.77899,39.29906	564	Doddridge	0.2	Complete	active
A03-0083	k12	upstream	MountainviewES-01	11/17/21 6:00	0	0		8-hr time-weighted composite	Mountainview Elementary	26501	-79.94331,39.61036	726	Monongalia	-1	Complete	active
H01-0023	not institution specific	wwtp	MoundsvilleWWTP-01	10/25/21 8:00	11809.56237	13497.09742		24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A1008	not institution specific	wwtp	StarCityWWTP-01	3/17/21 12:01	0	0	8.151	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
E01-0054	not institution specific	wwtp	PrincetonWWTP-01	1/20/22 13:40	64577.00975	93022.44902	6.096	24-hr time-weighted composite	Princeton	24740	-81.07993,37.38036	36000	Mercer	4.9	Complete	active
A02-0152 b	not institution specific	upstream	Evansdale-01	8/10/21 9:00	89820	52380	11.938	48-hr time-weighted composite	Evansdale campus (WVU Morgantown)	26505	-79.9721575,39.6500969	-1	Monongalia	-1	Complete	active
A03-0021	k12	upstream	MorgantownHS-01	9/24/21 6:00	16528.92686	35432.51857		8-hr time-weighted composite	Morgantown High	26501	-79.95736,39.62542	1851	Monongalia	-1	Complete	active
A02-0112	higher ed dorm	upstream	HonorsSummit-01 (MUB)	9/15/21 10:21	126517.1802	41241.37327		48-hr time-weighted composite	Honors & Summit Halls (WVU Morgantown)	26505	-79.9567626,39.6378753	874	Monongalia	-1	Complete	active
N02-0038	not institution specific	wwtp	ClarksburgWWTP-01	2/14/22 7:00	28813.43778	52402.81485	8.57	24-hr flow-weighted composite	Clarksburg	26301	-80.33857,39.27931	26498	Harrison	8	Complete	active
A01-0061	not institution specific	wwtp	StarCityWWTP-01	10/11/21 0:00	114283.3465	150244.8803	7.399	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
H01-0091	not institution specific	wwtp	MoundsvilleWWTP-01	12/13/21 8:00	43464.41209	62796.40697		24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A02-0071	higher ed dorm	upstream	HonorsSummit-01 (MUB)	9/1/21 10:20	2672.88994	2672.88994		48-hr time-weighted composite	Honors & Summit Halls (WVU Morgantown)	26505	-79.9567626,39.6378753	874	Monongalia	-1	Complete	active
C01-0071	not institution specific	wwtp	WheelingWWTP-01	12/30/21 7:00	42979.08001	50146.55001	11.117	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
C01-0053	not institution specific	wwtp	WheelingWWTP-01	12/6/21 7:00	31737.46582	34179.80768	13.779	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A0248	not institution specific	wwtp	StarCityWWTP-01	11/10/20 0:00	85080	109416	9.203	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A01-0003	not institution specific	wwtp	StarCityWWTP-01	8/11/21 0:00	25285.73	32876.44184	10.042	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A1062	not institution specific	wwtp	StarCityWWTP-01	6/2/21 0:00	4013.75	4013.75	8.513	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0365	higher ed dorm	upstream	HonorsSummit-01 (MUB)	2/21/22 9:00	36008.87954	23145.01628		48-hr time-weighted composite	Honors & Summit Halls (WVU Morgantown)	26505	-79.9567626,39.6378753	874	Monongalia	-1	Complete	active
C01-0063	not institution specific	wwtp	WheelingWWTP-01	12/20/21 7:00	39185.13536	22853.54141	6.831	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A01-0130	not institution specific	wwtp	StarCityWWTP-01	12/19/21 0:00	115630.1308	49516.71101	7.2	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A03-0238	k12	upstream	NorthES-01	2/9/22 6:00	0	0		8-hr time-weighted composite	North Elementary	26505	-79.95674,39.66064	688	Monongalia	-1	Complete	active
P01-0008	not institution specific	wwtp	StMarysWWTP-01	2/15/22 9:15	414949.9691	419294.0354	0.23	24-hr time-weighted composite	Saint Marys	26170	-81.20511,39.39125	2892	Pleasants	0.525	Complete	active
A1004	not institution specific	wwtp	StarCityWWTP-01	3/11/21 12:00	5520	5520	8.844	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0008	not institution specific	upstream	NorthHighSt-02 (MUB)	8/11/21 9:45	6589.87239	1317.83566		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
L01-0003	not institution specific	wwtp	WestUnionWWTP-01	2/6/22 9:10	331451.0214	356415.8303	0.409	24-hr time-weighted composite	West Union	26456	-80.77899,39.29906	564	Doddridge	0.2	Complete	active
C01-0078	not institution specific	wwtp	WheelingWWTP-01	2/14/22 7:00	0	0	9.704	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A03-0176	k12	upstream	MorgantownHS-01	1/14/22 6:00	85050.72266	128858.3806		8-hr time-weighted composite	Morgantown High	26501	-79.95736,39.62542	1851	Monongalia	-1	Complete	active
A02-0321	higher ed dorm	upstream	HonorsSummit-01 (MUB)	1/31/22 9:00	68730.77564	30533.09854		48-hr time-weighted composite	Honors & Summit Halls (WVU Morgantown)	26505	-79.9567626,39.6378753	874	Monongalia	-1	Complete	active
A01-0048	not institution specific	wwtp	StarCityWWTP-01	9/25/21 0:00	291234.6327	145185.1022	6.684	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0094	not institution specific	upstream	NorthHighSt-02 (MUB)	9/8/21 9:40	167303.0466	165624.4487		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
A0231	not institution specific	wwtp	StarCityWWTP-01	1/31/21 0:00	122496	127578	9.189	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0320	not institution specific	upstream	Evansdale-01	1/29/22 9:00	40534.93112	27018.933		48-hr time-weighted composite	Evansdale campus (WVU Morgantown)	26505	-79.9721575,39.6500969	-1	Monongalia	-1	Complete	active
A03-0139	k12	upstream	SuncrestES-01	12/10/21 6:00	2358.104107	0		8-hr time-weighted composite	Suncrest Elementary	26505	-79.97825,39.67137	515	Monongalia	-1	Complete	active
A03-0089	k12	upstream	SuncrestES-01	11/10/21 6:00	2802.244322	2802.244322		8-hr time-weighted composite	Suncrest Elementary	26505	-79.97825,39.67137	515	Monongalia	-1	Complete	active
H01-0079	not institution specific	wwtp	MoundsvilleWWTP-01	12/1/21 8:00	169163.4902	515882.3276		24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A0237	not institution specific	wwtp	StarCityWWTP-01	2/8/21 12:00	497808	390048	9.712	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A01-0179	not institution specific	wwtp	StarCityWWTP-01	2/15/22 0:00	128744.4551	87612.81878	8.6	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A1035	not institution specific	wwtp	StarCityWWTP-01	4/22/21 12:00	10878	10878	8.62	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
