Sample ID	type	category	Location	Sample Composite Start	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev
A02-0332	not institution specific	upstream	NorthHighSt-02 (MUB)	02/05/2022 09:00 AM	41142.91169	48861.70104		48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A02-0152 b	not institution specific	upstream	Evansdale-01	08/10/2021 09:00 AM	89820	52380	11.938	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
G01-0065	not institution specific	wwtp	KeyserWWTP-01	10/31/2021 09:00 AM	33226.27336	30455.73309		24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A01-0050	not institution specific	wwtp	StarCityWWTP-01	09/27/2021 12:00 AM	51619.2168	56317.21377	7.004	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
K01-0039	not institution specific	wwtp	ParkersburgWWTP-01	02/16/2022 06:25 AM	237045.3626	61953.83571	5.676	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A04-0013	not institution specific	wwtp	CheatLakeWWTP-01	02/10/2022 09:00 AM	340242.539	110929.5344	0.74	24-hr time-weighted composite	Cheat Lake	26508		-79.857	39.67712	2000	Monongalia	0.75	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A02-0257	higher ed dorm	upstream	HonorsSummit-01 (MUB)	12/11/2021 09:00 AM	0	0		48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
E02-0064	not institution specific	wwtp	AthensWWTP-01	03/10/2022 08:00 AM	3614.48551062494	3614.48551062494	0.224	24-hr time-weighted composite	Athens	24740		-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
E02-0094	not institution specific	wwtp	AthensWWTP-01	01/24/2022 08:00 AM	5280211.43	4863544.722	0.173	24-hr time-weighted composite	Athens	24740		-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A02-0420	not institution specific	upstream	NorthHighSt-02 (MUB)	03/23/2022 09:00 AM	9473.36968034507	3157.55198244005		48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
