Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day03.mean	n1.day03.ci	n1.day05.mean	n1.day05.ci	n1.day07.mean	n1.day07.ci	n1.day10.mean	n1.day10.ci	n1.day14.mean	n1.day14.ci	n1.load.day03.mean	n1.load.day03.ci	n1.load.day05.mean	n1.load.day05.ci	n1.load.day07.mean	n1.load.day07.ci	n1.load.day10.mean	n1.load.day10.ci	n1.load.day14.mean	n1.load.day14.ci	n1n2.day03.mean	n1n2.day03.ci	n1n2.day05.mean	n1n2.day05.ci	n1n2.day07.mean	n1n2.day07.ci	n1n2.day10.mean	n1n2.day10.ci	n1n2.day14.mean	n1n2.day14.ci	n1n2.load.day03.mean	n1n2.load.day03.ci	n1n2.load.day05.mean	n1n2.load.day05.ci	n1n2.load.day07.mean	n1n2.load.day07.ci	n1n2.load.day10.mean	n1n2.load.day10.ci	n1n2.load.day14.mean	n1n2.load.day14.ci	n2.day03.mean	n2.day03.ci	n2.day05.mean	n2.day05.ci	n2.day07.mean	n2.day07.ci	n2.day10.mean	n2.day10.ci	n2.day14.mean	n2.day14.ci	n2.load.day03.mean	n2.load.day03.ci	n2.load.day05.mean	n2.load.day05.ci	n2.load.day07.mean	n2.load.day07.ci	n2.load.day10.mean	n2.load.day10.ci	n2.load.day14.mean	n2.load.day14.ci
A03-0165	k12	upstream	Sewer Network	K-12 School	105612	NorthES-01	01/05/2022 06:00 AM	01/05/2022 02:00 PM	NA	8-hr time-weighted composite	North Elementary	26505	NA	-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1312671.525	10615.94876	661643.73688	NA	NA	NA	446857.206523333	3508746.01657082	268636.123914	1075030.34218549	192247.612308	641014.722326639	134983.7286156	403534.653216201	97414.6763077143	271379.440700587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	228740.212286667	1754785.45507785	138379.3525661	538948.40725018	99249.4899166429	321855.269975606	69937.89294165	202813.141554277	51006.58165625	136410.202554114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10623.21805	36455.6741623538	8122.5812182	12417.9097635362	6251.36752528571	8289.8176977363	4892.0572677	5526.23013192443	4598.48700478571	4057.9267945265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L01-0094	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	04/14/2022 09:00 AM	04/15/2022 09:00 AM	0.283	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5845.84241732953	5845.84241732953	5845.84241732953	6262.48162763029	6262.48162763029	6262.48162763029	20162.219889462	118343.699187228	15360.0053507835	35094.0719783567	11752.2902901641	21708.257050483	12908.2842833705	16930.662835023	12918.6877542314	12520.0446387775	23476.4586981173	140366.110004725	18254.1177680554	41227.8520598427	14109.0510816624	25428.3135761163	15543.731904167	19682.7914828092	14122.9329069434	14511.8465153014	18862.4284416437	107811.282763481	14036.3162951544	32381.034477864	10615.7263020554	20111.3236274281	12027.0451585229	16293.3287021675	12679.2847059566	12205.8873437845	21946.2629557822	127965.905709318	16641.2481544317	38046.1038975745	12678.2621443691	23582.4002204847	14410.2306895628	18969.1882445436	13651.9142289944	14016.9708674121	17562.6369938255	97279.0267285716	12712.6272395253	29709.7007047366	9479.16231394666	18554.7658964956	11145.8060336754	15722.8206461256	12439.8816576818	11998.9867348514	20416.0672134471	115565.720009689	15028.3785408081	34916.8684815951	11247.4732070758	21796.3410968987	13276.7294749587	18343.3038546212	13180.8955510453	13625.7982602465
C01-0075	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	01/05/2022 07:00 AM	01/06/2022 07:00 AM	15.315	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	50299.15564	12569.13001	31434.142825	2916020.82319482	728677.139253125	1822348.98122397	37323.5837383333	113610.014015858	31727.3625588	43052.6057687576	36449.9744777143	29775.5559865114	31493.0639664	20238.6779268694	46687.3896367143	39281.5500532894	1903875.4110426	5755765.0460329	1566907.81709077	2057955.22084276	1852693.91058544	1624533.0287559	1532813.47654053	1148784.53897922	1726089.77117004	1157524.99626227	22648.4553141667	72636.3728058625	23639.0325043	34558.5367607949	32429.5911237857	28701.6006888686	31533.86197065	18383.925465382	41493.1192843929	26058.6703105295	1155395.38440922	3733861.30282865	1147982.23719228	1492600.9666216	1626037.59196254	1513437.00919422	1490032.0488614	1035061.52656991	1557327.60746135	860639.728854066	7973.32689	31913.4282126598	15550.7024498	36865.6281266754	28409.2077698571	35532.9929315907	31574.6599749	23242.2487565077	36298.8489320714	18654.2035789535	406915.357775836	1715229.63412136	729056.657293788	1501775.35961899	1399381.27333963	1763731.5979305	1447250.62118228	1210873.74258835	1388565.44375267	836546.230560322
O01-0063	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	04/26/2022 07:15 AM	04/27/2022 07:17 AM	2.39	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2535.26702988893	5070.68747654556	3802.97725321724	22936.8901505923	45875.1682826109	34406.0292166016	6518.4227656573	32326.0508990699	5556.27700469195	9465.16781676505	5572.31008718269	5481.81696920626	6897.1447682321	4106.71289043261	5500.39651141687	3277.88184850111	47989.1616265052	214777.746497688	41234.2998996832	63270.5323488518	43874.1200437222	37321.0790114023	47215.9814291174	25164.885374779	39214.6542386297	19999.7910724359	8990.59400893748	37111.7256475813	7277.29129310101	11503.2264369914	6647.46251977288	6765.57776059747	8274.03731799386	5241.91957868689	6446.50388566776	4184.75519236077	66915.9574301899	240661.323155277	54353.4628369338	76531.3748584956	51856.2295197058	44417.5648922041	56232.5730554012	31068.9305859829	45271.3396348714	24890.4963722423	11462.7652522177	42077.2749859032	8998.30558151008	13743.1674101754	7722.61495236308	8395.62061006598	9650.92986775562	6581.6226333272	7392.61125991866	5234.60130494104	85842.7532338747	268005.45601393	67472.6257741843	91716.5987481177	59838.3389956893	55410.9125442945	65249.1646816849	39248.8310361417	51328.0250311131	31645.2151125337
A02-0431	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	04/06/2022 09:00 AM	04/08/2022 09:00 AM	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	120059.498995543	100434.451550245	110246.975272894	NA	NA	NA	40757.8329985143	321348.921089504	26924.433078307	96098.3652463645	19683.7010968977	57557.7754147942	14217.4907678284	36354.2087385947	12956.913840306	24809.4240927265	1595767.08271824	8686584.12160131	1595767.08271824	8686584.12160131	1595767.08271824	8686584.12160131	1595767.08271824	8686584.12160131	1595767.08271824	8686584.12160131	37757.658424298	293723.57292613	24408.116892422	88446.9054841374	17918.4038212656	52868.4602532705	12890.0826748859	33392.3664548506	11685.3663751328	22793.2615278213	1346174.13623832	13237366.0230187	1346174.13623832	13237366.0230187	1346174.13623832	13237366.0230187	1346174.13623832	13237366.0230187	1346174.13623832	13237366.0230187	34757.4838500817	266114.422857354	21891.800706537	80864.3250106571	16153.1065456335	48220.4648011077	11562.6745819434	30458.6798206474	10413.8189099596	20795.3787278774	1096581.1897584	17788147.924436	1096581.1897584	17788147.924436	1096581.1897584	17788147.924436	1096581.1897584	17788147.924436	1096581.1897584	17788147.924436
A02-0101	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	09/11/2021 09:00 AM	09/13/2021 09:00 AM	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	117824.0675	107556.4206	112690.24405	NA	NA	NA	148151.1758	124290.06281826	130103.8624	142919.485210874	94104.684089	114557.017054769	306316.0362833	486145.760309975	238327.138457071	334942.393391553	1595767.08271824	8686584.12160131	1595767.08271824	8686584.12160131	1595767.08271824	8686584.12160131	1595767.08271824	8686584.12160131	1595767.08271824	8686584.12160131	131681.755011667	141130.716353651	121504.473637	143891.933554799	87901.9775252857	111332.296300358	297122.2822337	459421.805418135	230539.271014286	317080.376229384	1346174.13623832	13237366.0230187	1346174.13623832	13237366.0230187	1346174.13623832	13237366.0230187	1346174.13623832	13237366.0230187	1346174.13623832	13237366.0230187	115212.334223333	220149.312602935	112905.084874	153907.476021961	81699.2709615714	112327.48370733	287928.5281841	435159.577827165	222751.4035715	300831.006672947	1096581.1897584	17788147.924436	1096581.1897584	17788147.924436	1096581.1897584	17788147.924436	1096581.1897584	17788147.924436	1096581.1897584	17788147.924436
A02-0468	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	04/23/2022 09:00 AM	04/25/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1499	2407.26940333843	1953.13470166922	NA	NA	NA	10166.0385337273	57281.6803594053	6595.22312023639	18311.0898670152	4999.87365731171	11108.5731767828	3968.6115601182	7021.78223733011	3101.65111437014	4789.25173330069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12735.7289931079	76031.9282562719	7968.33739586474	24339.6989210584	6098.95528276052	14602.6574666213	4736.41869793237	9214.5122137204	3829.09602879307	6223.77857580483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15305.4194524885	94887.0789252947	9341.45167149308	30393.7873259084	7198.03690820934	18125.6579153429	5504.22583574654	11440.106526617	4556.54094321601	7716.09312520471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A03-0142	k12	upstream	Sewer Network	K-12 School	105612	MountainviewES-01	12/20/2021 06:00 AM	12/20/2021 02:00 PM	NA	8-hr time-weighted composite	Mountainview Elementary	26501		-79.94331	39.61036	726	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2657.942316	5316.052912	3986.997614	NA	NA	NA	13624.7748586667	46724.8788315062	74923.1779152	266711.617063394	55458.7388737143	159398.94963286	39659.6216984	100924.55211729	29082.1347462143	68163.0872492352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17387.491138	69321.9732109347	73383.8410528	248122.820207497	54154.5007241429	148977.82849092	38680.1549937	94607.4063471829	28525.2431736071	63951.3644197636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21150.2074173333	96251.1475815057	71844.5041904	229952.814249824	52850.2625745714	138830.422607599	37700.688289	88466.8587418643	27968.351601	59868.5074348792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
N03-0046	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	03/02/2022 07:30 AM	03/03/2022 07:30 AM	0.62791	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	78075.57464	80770.42669	79423.000665	185577.582981256	191982.96817678	188780.275579018	110240.01898	142895.840767084	85245.276788	77512.6347270106	141114.034605714	152983.767728815	121310.274914	103846.79327164	121627.797635	77512.8615264857	286742.859309229	494039.854731901	232842.064741577	216620.739121004	367309.131002313	396121.448533895	312035.801258218	266738.879660058	730022.170283871	1052058.64651636	112761.535205	159460.996819897	88133.244131	80568.6418184624	147624.585379286	163818.538130695	124095.6178765	110164.044999386	115204.924166071	77514.9363923537	294061.513612282	550522.914778317	242102.161012742	231378.713494029	385289.907038754	425137.090096388	320535.575909717	285794.920128941	575822.16844851	710467.863196071	115283.05143	178458.873916887	91021.211474	84412.7247140512	154135.136152857	174812.062103429	126880.960839	117970.942433981	108782.050697143	82836.8737779707	301380.167915334	610789.502416685	251362.257283907	248091.361071273	403270.683075196	454543.941221881	329035.350561217	307987.678708775	421622.166613148	395668.514397124
A03-0072	k12	upstream	Sewer Network	K-12 School	105612	NorthES-01	11/05/2021 06:00 AM	11/05/2021 02:00 PM	NA	8-hr time-weighted composite	North Elementary	26505	NA	-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	15572.44346	7785.008959	11678.7262095	NA	NA	NA	96116.1293896667	709560.737930192	58188.0776338	219433.23220387	54848.4572027143	130961.977902096	44217.0318159	82582.3047909224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93925.786462	703678.528860825	56728.8718772	217156.532555343	52148.998013	128877.292269117	40884.9843231	81279.6210158291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91735.4435343333	697966.834014392	55269.6661206	214928.543244827	49449.5388232857	126988.435006259	37552.9368303	80221.8945160034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D01-0060	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	03/09/2022 07:40 AM	03/10/2022 07:40 AM	1.25	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	39872.8162050248	21744.1056668758	30808.4609359503	188668.696488329	102887.94379056	145778.320139445	92017.963081788	297927.94210479	107217.767677073	136887.057352298	113530.018879338	90822.9869424236	150175.900195536	97642.3363169754	134460.87189324	74251.2282449528	438387.287689114	1423896.37857633	509106.635975675	641707.703725039	542274.224336475	430800.451101483	728164.429860712	479696.877270136	637583.113816476	365126.801763375	85043.2638013367	280385.865073392	82255.493197702	100420.429436389	82689.5588626443	61751.1150471406	118067.122501351	86476.6125788854	107757.245525965	64135.6208244535	405235.020557996	1339803.51820367	390859.250527909	474479.092112149	394865.736372638	293089.264349476	573263.654075859	426940.076758488	499789.863603387	314643.070372333	78068.5645208854	266820.494930849	57293.2187183313	93914.4691591335	51849.0988459509	55345.5551934792	85958.3448071656	87558.3048756862	81053.6191586897	62943.6811825668	372082.753426878	1274533.72106504	272611.865080143	448201.057807631	247457.248408801	263746.854505598	418362.878291006	432100.630936456	361996.613390298	303682.541902521
