Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
C01-0151	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	4/11/22 7:00	4/12/22 7:00	12.322	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5429.688552	8144.796398	6787.242475	253261.426443519	379904.433577449	316582.930010484	17078.2825388	43114.5020642987	984720.244571121	2819177.43088158	10540.5745813	22220.1390167225	589965.866968081	1479788.15491209	4002.8666238	5730.22650191296	195211.489365041	301329.352255798
A01-0027	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	9/4/21 0:00	9/4/21 23:55	9.983	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	76130.29808	87863.26289	81996.780485	2876944.78189199	3320330.56570675	3098637.67379937	75648.754178	27627.8283638165	3100673.17008757	1281478.2920883	71353.424057	20140.6164590273	2899360.41181769	741637.206409759	67058.093936	41106.8219800829	2698047.65354781	1459916.880036
J01-0032	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	4/20/22 7:30	4/21/22 7:30	0.272	24-hr time-weighted composite	Alpine Lake	26764	NA	-79.50179	39.45709	700	Preston	0.15	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	775	2679.009517	1727.0047585	797.964428	2758.39264108318	1778.17853454159	1589.4	1630.30629127073	1362.23656965	1578.60873929421	1771.1009517	1194.7782839903	1505.77764696332	1208.73318537746	1952.8019034	2067.61464937947	1649.31872427664	2031.5924617377
O01-0038	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	3/1/22 6:15	3/2/22 6:15	1.67	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5967.361769	2983.574714	4475.4682415	37723.4812263638	18861.069442065	28292.2753342144	31037.8096618	31098.6341932234	205607.654301401	224771.152943765	33121.1828503	39176.5463061533	219227.424270209	273008.652145948	35204.5560388	48321.6567880766	232847.194239017	328053.300857008
M03-0026	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	3/24/22 11:00	3/25/22 11:00	0.267	24-hr time-weighted composite	Mannington	26582	NA	-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5266.620331	1084	3175.3101655	5322.99671033458	1095.60364548	3209.30017790729	10199.9745324	11217.8341753713	8518.72344748612	9720.37988777822	10982.4944443	13360.9321164107	9229.1118896826	12059.4038823186	11765.0143562	17539.1016496142	9939.50033187908	16005.8425066834
A02-0492	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	5/2/22 9:00	5/4/22 9:00	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	53411.85339	45777.41884	49594.636115	NA	NA	NA	390564.834168	1322759.89260787	NA	NA	403367.460137	1365347.14810258	NA	NA	416170.086106	1408054.41896006	NA	NA
H01-0121	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	2/10/22 8:00	2/11/22 8:00	1.15	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	11502.37173	8626.48258	10064.427155	50072.3719160282	37552.9894366315	43812.6806763298	68910.706652	100236.79404667	1141402.5128384	3341752.67404421	72573.437695	111110.553696418	1158654.63951903	3371090.61552758	76236.168738	122063.77241033	1175906.76619965	3400771.49365506
K01-0025	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	1/10/22 6:27	1/11/22 6:32	9.014	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	116071.1896	111017.928	113544.5588	3960544.65499916	3788118.85072195	3874331.75286055	85845.415136	138194.084164999	2307669.79356888	3150103.40127391	86767.31508	135148.690471343	2345205.80485045	3022450.65888376	87689.215024	132352.589833106	2382741.81613203	2907483.32493549
J01-0004	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	12/23/21 9:00	12/24/21 9:00	0.12	24-hr time-weighted composite	Alpine Lake	26764	NA	-79.50179	39.45709	700	Preston	0.15	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	350	12377.95785	6363.978925	158.98722	5622.67745099622	2890.83233549811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0084	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	9/4/21 9:00	9/6/21 8:48	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	203622.7846	217771.4217	210697.10315	NA	NA	NA	141751.52952	218644.283585519	NA	NA	117240.8240951	179771.701918059	NA	NA	92730.1186702	172549.852307966	NA	NA
A02-0449	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	4/11/22 9:00	4/13/22 9:00	NA	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1039	2124	1581.5	NA	NA	NA	1713.6	1502.35093572392	NA	NA	1598.6	1230.79661218128	NA	NA	1483.6	1354.2621039905	NA	NA
