Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
A01-0231	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	4/18/22 0:00	4/19/22 0:00	13.8	4/25/22	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	34896.27354	37581.80805	36239.040795	1822934.49893051	1963223.2177456	1893078.85833805	43864.276496	46690.6055538817	1559731.13050849	1171880.19734363	40743.816919	39033.5248827141	1480985.99247156	996960.531080605	37623.357342	34475.9211521434	1402240.85443462	986831.703348792
H01-0138	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	2/23/22 8:00	2/24/22 8:00	NA	2/25/22	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	16769.17786	16769.17786	16769.17786	NA	NA	NA	6991.3922498	11535.1114166486	34297.4411629678	47505.4165630264	7593.7951401	10559.0098923924	43325.8679787189	44055.485967794	8196.1980304	10336.9248293219	52354.2947944699	54714.3712587457
A0234	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	2/3/21 0:00	2/3/21 23:59	10.441	2/4/21	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	75546	51516	63531	2985839.74808226	2036090.86466796	2510965.30637511	86407.2	96204.5705520595	3078301.31421127	2689558.70380006	84834	108127.094846568	2990988.95575499	3086921.59523136	83260.8	120844.805373226	2903676.59729872	3529287.25776096
A02-0466	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	4/20/22 9:00	4/22/22 9:00	NA	4/25/22	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	4827.154018	4827.154018	4827.154018	NA	NA	NA	2585.8308036	2514.65358217175	NA	NA	2417.9308036	2647.0514217331	NA	NA	2250.0308036	3138.96949636956	NA	NA
A02-0234	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	11/27/21 9:00	11/29/21 9:00	NA	11/29/21	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3027.759804	6055.73779	4541.748797	NA	NA	NA	1852.842076	3123.7554799428	NA	NA	3489.6327308	3779.87601173067	NA	NA	5126.4233856	5111.86494315794	NA	NA
D01-0067	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	3/16/22 7:30	3/17/22 7:30	1.28	3/18/22	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	87904.00699	73713.46772	80808.737355	425923.46508802	357165.693237715	391544.579162868	61867.426294	48715.6560130052	290696.05819307	226297.928598579	48488.1795742	42402.9677569986	229071.581006325	204842.706479373	35108.9328544	48029.2950194268	167447.10381958	234459.848384999
A02-0282	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	1/8/22 9:00	1/10/22 21:00	NA	1/10/22	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	625131.8836	88735.71485	356933.799225	NA	NA	NA	128553.3611846	511294.334471981	NA	NA	76020.1458991	289339.861523019	NA	NA	23486.9306136	67936.6923424866	NA	NA
A03-0263	k12	upstream	Sewer Network	K-12 School	105612	MountainviewES-01	4/4/22 6:00	4/4/22 14:00	NA	NA	8-hr time-weighted composite	Mountainview Elementary	26501		-79.94331	39.61036	726	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	832	241	536.5	NA	NA	NA	1032.844116	1709.09787573878	NA	NA	1336.2826835	2780.73244756168	NA	NA	1639.721251	3916.53411939886	NA	NA
L01-0063	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	3/23/22 9:00	3/24/22 9:00	0.403	3/30/22	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	14158.9025	16991.25633	15575.079415	21599.6921983476	25920.5052645306	23760.0987314391	6756.883688	13060.741021261	13749.8352654929	21367.7392367251	6925.5098556	10838.033216547	13112.4916841432	20214.2140050141	7094.1360232	10800.3172909979	12475.1481027936	20494.2917741949
A03-0072	k12	upstream	Sewer Network	K-12 School	105612	NorthES-01	11/5/21 6:00	11/5/21 14:00	NA	11/10/21	8-hr time-weighted composite	North Elementary	26505	NA	-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	15572.44346	7785.008959	11678.7262095	NA	NA	NA	76501.8400838	211886.237936664	NA	NA	72910.3972182	209333.883862619	NA	NA	69318.9543526	207118.047828222	NA	NA
E02-0022	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	12/15/21 8:00	12/16/21 8:00	0.107	12/17/21	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	39823.68037	26544.91659	33184.29848	16130.138496306	10751.7230198579	13440.9307580819	39692.3637914	67673.5902874934	19271.3620264557	42029.5886799295	29257.5756217	43119.011892394	13572.4384008541	24803.6713685898	18822.787452	30274.570519562	7873.51477525253	11531.2431035115
K01-0060	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	3/17/22 6:25	3/18/22 6:25	6.64	3/23/22	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	32310.24016	45780.19202	39045.21609	812121.841194996	1150690.7299182	981406.285556599	41533.371056	61336.8900037973	1350841.60775338	2083005.44031158	41067.616117	53739.2216414579	1319263.26686082	1799355.70460156	40601.861178	48056.4144876041	1287684.92596827	1564814.64720489
A1086	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	7/6/21 0:00	7/6/21 23:55	6.793	7/9/21	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	4655	4655	4655	119700.02055515	119700.02055515	119700.02055515	3140.5	3714.28715104284	90413.351565179	114192.397380616	3690.775	4254.67309393153	107168.195139714	141375.267705126	4241.05	5533.3359590478	123923.038714249	185828.898585104
A01-0237	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	4/25/22 0:00	4/26/22 0:00	14.9	4/29/22	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	71718.04324	61818.59538	66768.31931	4045084.75111081	3486730.06414735	3765907.40762908	62244.928794	26342.0537674894	2491803.85263458	1848083.33241914	55938.275916	23147.724682756	2250077.7946632	1750514.6027644	49631.623038	20836.1531044095	2008351.73669182	1665773.20655299
G01-0110	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	4/30/22 9:00	5/1/22 8:00	0.777	5/5/22	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3447.116311	2577	3012.0581555	10138.8776270971	7579.63621989	8859.25692349355	8764.6754612	13629.9079187518	33614.2300799338	56939.0643198727	6739.599866	7744.62544375368	25516.4211563654	31693.6320326489	4714.5242708	5039.13195018775	17418.6122327971	17270.4853304354
A02-0430	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	4/4/22 9:00	4/6/22 9:00	NA	4/6/22	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	15739.53794	5245.855981	10492.6969605	NA	NA	NA	4913.4193602	11205.3161195238	NA	NA	3685.4203987	7065.65892804193	NA	NA	2457.4214372	3348.5055730243	NA	NA
N02-0074	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	4/21/22 7:00	4/22/22 7:00	11.238	4/26/22	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	11222.85806	5611.053184	8416.955622	477425.29277063	238696.657732012	358060.975251321	9496.0413358	14322.0255759127	412423.874471299	613687.770126235	9516.5590765	11240.1938317047	399960.393701502	478710.347741455	9537.0768172	10085.0307371255	387496.912931705	386723.81900753
C01-0145	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	4/10/22 7:00	4/11/22 7:00	11.929	4/12/22	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	9525.942262	4762.700396	7144.321329	430154.933782011	215065.241539141	322610.087660576	17936.7558644	42383.0433557877	985200.742126303	2819947.75211634	10744.5838301	22009.397358305	573286.293740909	1496598.5788432	3552.4117958	2320.19849021229	161371.845355516	196490.847767147
B01-0063	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	11/8/21 7:00	11/9/21 7:00	NA	11/15/21	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1603.952041	1603.952041	1603.952041	NA	NA	NA	12438.5177422	19091.4251975599	454167.906361704	608014.07288832	10674.7890872	17499.6279836597	447126.293645963	301911.448404494	8911.0604322	17009.1947470098	440084.680930221	11853.9123305857
H01-0172	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	3/29/22 8:00	3/30/22 8:00	1.9	4/1/22	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	662	1560	1111	4761.288698	11219.95524	7990.621969	2641.5804882	3261.92878009753	19392.5908038906	23048.2822596991	2792.9884814	1984.30180508576	20923.2422344815	16142.3252078366	2944.3964746	2887.43334756838	22453.8936650725	25835.3527295835
E01-0060	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	2/8/22 9:40	2/9/22 9:40	2.934	2/10/22	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	270124.2515	316504.5887	293314.4201	3000106.07978238	3515224.32941528	3257665.20459883	260469.249566	198783.313154862	3187707.20750112	1757744.70846186	265027.240718	188307.661027077	3243174.71119831	1590033.30920128	269585.23187	186682.039198722	3298642.21489549	1580103.48334282
C01-0063	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	12/20/21 7:00	12/21/21 7:00	6.831	1/4/22	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	39185.13536	22853.54141	31019.338385	1013254.5479536	590949.975233885	802102.261593742	201100.949952	175249.926807246	5513259.74916607	4849184.5562265	178448.065999	190178.542651353	4901896.63429878	5282552.35783923	155795.182046	224831.035088091	4290533.51943149	6243354.40301303
O01-0029	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	3/11/22 6:25	3/12/22 6:25	2.02	3/16/22	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	13164.27665	6581.621272	9872.948961	100661.012636827	50326.5526580679	75493.7826474472	20814.9939734	39012.6254336998	146756.384720905	265080.6730808	17157.5736389	21087.9681186751	121813.724030778	140497.456905592	13500.1533044	10998.2232864243	96871.0633406514	75119.1400082564
C01-0125	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	2/9/22 7:00	2/10/22 7:00	12.235	2/15/22	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	65924.92841	74172.83893	70048.88367	3053279.52659431	3435277.30702843	3244278.41681137	95759.529444	85818.5290045716	5375084.61890101	6320765.98847909	91993.526187	70043.8103913824	5129514.06042556	5465525.65906465	88227.52293	55251.2886007723	4883943.50195011	4666675.57472445
H01-0110	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	1/26/22 8:00	1/27/22 8:00	NA	1/28/22	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	580158.1478	636471.3299	608314.73885	NA	NA	NA	927785.45702	1337837.68964501	6401944.92351534	9916966.3158899	889943.78112	1268524.72482106	6043442.00947489	9484834.77579679	852102.10522	1220197.2831706	5684939.09543443	9177425.33206853
A02-0344	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	2/9/22 9:00	2/11/22 9:00	NA	2/14/22	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3711.79766	11136.37984	7424.08875	NA	NA	NA	331987.33068	737035.642697568	NA	NA	339252.385448	779617.178585224	NA	NA	346517.440216	825704.93059806	NA	NA
