Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
A01-0057	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	10/06/2021 12:00 AM	10/06/2021 11:55 PM	7.48	10/08/2021	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	267458.5485	98280.15566	182869.35208	7573053.17529884	2782789.51659617	5177921.3459475	156.701149960661	57.5813093154314	107.141229638046	162024.31712	127090.71025943	4819988.86581789	3271099.82859874	99.7349128004032	67.6853962216259	143140.129966	69322.9347016099	4296958.44436477	1722301.81068373	88.9123995274949	35.6377630086851	124255.942812	59299.6054992804	3773928.02291166	1895038.88945156	78.0898862545866	39.2120280055364
M03-0023	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	03/02/2022 11:00 AM	03/03/2022 11:00 AM	0.215	03/09/2022	24-hr time-weighted composite	Mannington	26582	NA	-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	101884.6934	126704.9655	114294.82945	82920.1975073082	103120.502342471	93020.3499248898	76.0038473944163	94.5192505430535	85.2615489687349	39506.779308	72498.6900016247	35395.2955241934	57603.9530917146	32.4429839818455	52.7992237320941	40092.787534	83388.027547744	35715.6508490219	66873.9756879007	32.7366185600567	61.2960363775442	40678.79576	96147.3161001944	36036.0061738504	78076.8062941929	33.030253138268	71.5644420661713
B01-0075	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	11/16/2021 07:00 AM	11/17/2021 07:00 AM	6.752	11/19/2021	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	11240.91877	11240.91877	11240.91877	287307.635640376	287307.635640376	287307.635640376	5.74615271280752	5.74615271280752	5.74615271280752	20409.2333886	32759.3866435775	389793.653205345	234626.23104019	7.7958730641069	4.69252462080381	23289.7422543	26712.0924258355	415492.176357844	156452.377889017	8.30984352715687	3.12904755778033	26170.25112	22739.2915681307	441190.699510342	202594.200482413	8.82381399020685	4.05188400964826
G01-0165	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	05/07/2022 09:00 AM	05/08/2022 08:00 AM	5.69	05/12/2022	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	11465.39776	19110.74135	15288.069555	246953.006294338	411625.931143973	329289.468719156	30.2342074307466	50.3949474955892	40.3145774631679	11984.1013354	13038.5075042657	106545.832182343	159213.468177761	13.0442987490626	19.4923442920864	11267.7370266	12888.5680378462	121578.577369819	227522.154156176	14.8847425771081	27.8553078056043	10551.3727178	15709.0624619047	136611.322557295	300796.601814739	16.7251864051537	36.8262245120885
H01-0226	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	05/18/2022 08:00 AM	05/19/2022 08:00 AM	1.7	05/20/2022	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	61961.802765727	64657.8736603261	63309.8382130266	398736.407272598	416086.15460531	407411.280938954	33.2280339393832	34.6738462171091	33.9509400782461	131708.084017038	323858.607852156	996165.06401275	2330277.95981092	83.0137553343959	194.189829984243	131279.295723885	319823.746576214	990140.70504611	2298420.3962302	82.5117254205091	191.535033019184	130850.507430732	315850.3232056	984116.346079469	2267218.89334354	82.0096955066224	188.934907778628
A03-0155	k12	upstream	Sewer Network	K-12 School	105612	SuncrestES-01	12/22/2021 06:00 AM	12/22/2021 11:59 AM	NA	12/22/2021	8-hr time-weighted composite	Suncrest Elementary	26505		-79.97825	39.67137	515	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	172	448	310	NA	NA	NA	NA	NA	NA	21390.2571866	63476.2493142965	NA	NA	NA	NA	22743.4110513	72441.6132034126	NA	NA	NA	NA	24096.564916	81597.1982587256	NA	NA	NA	NA
N02-0046	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	02/27/2022 07:00 AM	02/28/2022 07:00 AM	10.36	03/01/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	33034.40552	30492.37356	31763.38954	1295505.24683444	1195814.76686479	1245660.00684961	48.8906803092474	45.1284914659517	47.0095858875996	42796.002858	47622.7581758351	1388950.35621632	1420340.28762149	52.4171770026537	53.6017921209709	45041.043701	51691.0147365934	1456770.36472281	1536306.27033842	54.9766157718625	57.9781972352034	47286.084544	56013.4574657453	1524590.37322931	1663678.15105448	57.5360545410713	62.7850460810052
A03-0023	k12	upstream	Sewer Network	K-12 School	105612	SuncrestES-01	10/11/2021 06:00 AM	10/11/2021 02:00 PM	NA	10/18/2021	8-hr time-weighted composite	Suncrest Elementary	26505		-79.97825	39.67137	515	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	304	961	632.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A01-0196	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	03/09/2022 12:00 AM	03/09/2022 12:00 AM	13.4	03/11/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	45651.13507	40277.82798	42964.481525	2315630.7269514	2043072.44370454	2179351.58532797	47.9148884073706	42.2751291943499	45.0950088008602	65110.655482	57185.5686473249	2483530.30393617	2111210.6434688	51.3890561152162	43.6850406279755	63409.037174	51193.4030544475	2425664.37516458	2041812.11614095	50.1916978804125	42.2490505740141	61707.418866	49501.3965621768	2367798.44639299	2085233.91269956	48.9943396456089	43.1475317145249
A02-0327	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	02/02/2022 09:00 AM	02/04/2022 09:00 AM	NA	02/04/2022	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	25199.97921	30802.03123	28001.00522	NA	NA	NA	NA	NA	NA	224727.021346	355373.612919064	NA	NA	NA	NA	209644.920007	364847.233795889	NA	NA	NA	NA	194562.818668	384842.740156086	NA	NA	NA	NA
A01-0138	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	12/29/2021 12:00 AM	12/29/2021 12:00 AM	16.3	01/04/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	18102.08928	28967.0945	23534.59189	1116938.4254369	1787332.96581729	1452135.6956271	23.1116211189559	36.9833836661416	30.0475023925487	19549.2666744	24471.4377183202	864714.358835749	956311.384463705	17.8926162646033	19.7879362784246	22599.9762471	24594.814289389	1017323.18984437	1003556.23180425	21.0503887983026	20.7655237502948	25650.6858198	25257.4407311179	1169932.02085299	1095517.02251233	24.2081613320019	22.6683707687537
P01-0035	not institution specific	wwtp	WWTP	WWTP	7482	StMarysWWTP-01	03/21/2022 11:00 AM	03/22/2022 11:00 AM	0.2	03/31/2022	24-hr time-weighted composite	Saint Marys	26170		-81.20511	39.39125	2892	Pleasants	0.525	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2884.796346	2884.796346	2884.796346	2184.02738722237	2184.02738722237	2184.02738722237	0.755196191985606	0.755196191985606	0.755196191985606	2393.9408996	1427.65689373822	2165.84528435473	1121.26002079792	0.748909157799009	0.387710933885866	2882.8411365	2444.60164905584	2613.62666380216	2118.95151914795	0.903743659682628	0.732694162914229	3371.7413734	3758.0210007509	3061.40804324959	3350.34861790896	1.05857816156625	1.15848845709162
A03-0247	k12	upstream	Sewer Network	K-12 School	105612	MountainviewES-01	03/11/2022 06:00 AM	03/11/2022 01:59 AM	NA	03/15/2022	8-hr time-weighted composite	Mountainview Elementary	26501		-79.94331	39.61036	726	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1357	2854	2105.5	NA	NA	NA	NA	NA	NA	14189.58325	53968.5775524553	NA	NA	NA	NA	14597.98325	53546.8079662446	NA	NA	NA	NA	15006.38325	53134.3407963098	NA	NA	NA	NA
K01-0047	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	03/08/2022 06:31 AM	03/09/2022 06:27 AM	9.994	03/16/2022	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	43394.41158	10844.39216	27119.40187	1641670.80155324	410258.402440698	1025964.60199697	34.1658855682257	8.53815613820391	21.3520208532148	79184.554486	91201.0930330121	2097544.34956709	1983025.38326077	43.6533683572756	41.2700391937725	79203.9726873	105734.742742668	2019788.73576837	2287460.13717746	42.0351453853978	47.6058301181573	79223.3908886	124893.047421749	1942033.12196964	2771848.18406885	40.41692241352	57.6867468068438
J01-0035	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	04/25/2022 07:30 AM	04/26/2022 07:30 AM	0.164	04/27/2022	24-hr time-weighted composite	Alpine Lake	26764	NA	-79.50179	39.45709	700	Preston	0.15	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	235	1495	865	145.8897014	928.1068238	536.9982626	0.208413859142857	1.32586689114286	0.767140375142857	1366	1697.42131172633	1300.676718066	1712.46294095869	1.85810959723714	2.44637562994099	1531.0009517	1200.08874009161	1443.11396982332	1592.02849479869	2.06159138546188	2.27432642114099	1696.0019034	1360.52015906665	1585.55122158064	1861.02408653941	2.26507317368662	2.65860583791344
A02-0376	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	02/28/2022 09:00 AM	03/02/2022 09:00 AM	NA	03/04/2022	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	975	2384	1679.5	NA	NA	NA	NA	NA	NA	11532.2185786	21039.8637511397	NA	NA	NA	NA	10678.5175211	18595.3493298698	NA	NA	NA	NA	9824.8164636	17030.0430024235	NA	NA	NA	NA
M04-0047	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	04/20/2022 09:00 AM	04/21/2022 09:00 AM	0.098	04/27/2022	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	83	5900.157262	2991.578631	30.79052494	2188.78240151245	1109.78646322622	0.0504762703934426	3.58816787133188	1.81932207086266	1374.6	2472.24034807715	515.905200998	893.525473421995	0.845746231144262	1.46479585806884	2058.2157262	1354.72575299085	783.161738031245	453.578791744849	1.28387170169057	0.743571789745654	2741.8314524	3762.41157761618	1050.41827506449	1385.73631165137	1.72199717223687	2.27169887155963
A01-0218	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	04/04/2022 12:00 AM	04/04/2022 11:59 AM	8.4	04/05/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	18501.17248	23788.72331	21144.947895	588289.995867141	756420.59728122	672355.29657418	12.1728603680504	15.6518084191611	13.9123343936058	60185.462104	82018.546792527	2042731.39205152	2934419.2609019	42.2680721745472	60.7188226473658	60071.468244	77343.5014221719	2037873.5423693	2766560.76857196	42.1675538480654	57.2455050606679	59957.474384	73263.1413354711	2033015.69268709	2617015.97267553	42.0670355215835	54.1511333528292
G01-0155	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	05/03/2022 09:00 AM	05/04/2022 08:00 AM	1.53	05/05/2022	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	22861.65498	20320.8546	21591.25479	132407.328188098	117691.832303421	125049.580245759	16.210495615585	14.4088922996352	15.3096939576101	11454.8876464	13336.2213970298	52306.0515004767	86733.274106233	6.40377711807991	10.618667251008	9398.0238265	13408.6536999255	43811.2175174715	85537.1557018305	5.36376316325557	10.472227681419	7341.1600066	14380.1697976425	35316.3835344663	86559.6488939502	4.32374920843123	10.5974104914239
