Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
1144	not institution specific	wwtp	WWTP	WWTP		HSB	3/24/2022	3/25/2022	13.23	3/26/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	66990	28706	47848	3354924.468357	1437624.4482558	2396274.4583064	59.909365506375	25.671865147425	42.7906153269	63575	60865.0238452279	2705031.62179772	971514.529224809	48.3041361035307	17.3484737361573	68944.1	61654.5327037294	2993587.56249763	1293530.63145414	53.4569207588863	23.0987612759668	74313.2	76393.9963180613	3282143.50319754	3001079.00150436	58.6097054142418	53.5906964554351
994	not institution specific	wwtp	WWTP	WWTP		HSB	3/8/2022	3/9/2022	24.24	3/10/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	81286	81286	81286	7458668.2951824	7458668.2951824	7458668.2951824	133.190505271114	133.190505271114	133.190505271114	37647	77396.0588565342	3113945.77500194	6617311.09133286	55.6061745536061	118.166269488087	32146.7	57928.3519227897	2813724.5142193	5320339.66709243	50.2450806110589	95.0060654837933	26646.4	64338.5905341694	2513503.25343666	6123070.13070867	44.8839866685118	109.340538048369
250	not institution specific	wwtp	WWTP	WWTP		HSB	11/22/2021	11/23/2021	10.32	11/24/2021	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	196728	245919	221323.5	7685264.1491136	9606931.7752728	8646097.9621932	137.2368598056	171.552353129871	154.394606467736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
679	not institution specific	wwtp	WWTP	WWTP		HSB	1/31/2022	2/1/2022	7.86	2/2/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	1537518	1495921	1516719.5	45746269.0573068	44508620.0971146	45127444.5772107	816.897661737622	794.796787448475	805.847224593048	1081264	1117566.17320661	37993822.0193247	46146212.6005848	678.461107487941	824.039510724729	1140683.2	1058013.95287092	40124536.0888181	44255137.2386258	716.509573014608	790.270307832603	1200102.4	1073976.94462774	42255250.1583114	44566708.5037351	754.558038541275	795.834080423841
387	not institution specific	wwtp	WWTP	WWTP		HSB	12/14/2021	12/15/2021	8.0	12/16/2021	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	715125	715125	715125	21656330.61	21656330.61	21656330.61	386.720189464286	386.720189464286	386.720189464286	1733127.8	5691269.4885161	58062958.2813544	189156321.767968	1036.83854073847	3377.79146014229	1783404.8	5693475.42691769	59578126.2856488	189355357.125768	1063.89511224373	3381.34566296015	1833681.8	5703314.66032866	61093294.289943	189835142.446352	1090.95168374898	3389.91325797058
448	not institution specific	wwtp	WWTP	WWTP		HSB	12/22/2021	12/23/2021	7.63	12/24/2021	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	798758	420290	609524	23070270.3535514	12139100.862707	17604685.6081292	411.969113456275	216.769658262625	314.36938585945	518279.8	516934.7988266	17193380.5672565	13725340.10092	307.024652986724	245.095358944999	505101.4	458895.17473288	16925349.1460745	12537214.8769505	302.238377608473	223.878837088402	491923	475526.115972874	16657317.7248924	13805499.3825006	297.452102230222	246.52677468751
1600	not institution specific	wwtp	WWTP	WWTP		HSB	5/18/2022	5/19/2022	8.89	5/20/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	240228	255740	247984	8084223.4992372	8606237.897726	8345230.6984816	144.36113391495	153.68281960225	149.0219767586	645232.6	1114982.16499118	19899572.0689615	29104599.5984938	355.349501231456	519.724992830247	666858.6	1173477.69673939	20738372.7618866	30330226.2594316	370.328085033689	541.611183204136	688484.6	1237300.00039823	21577173.4548116	31861048.7741263	385.306668835922	568.94729953797
1260	not institution specific	wwtp	WWTP	WWTP		HSB	3/6/2022	3/7/2022	15.87	3/8/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	16423	8211	12317	986602.8023841	493271.3639637	739937.0831739	17.6179071854304	8.8084172136375	13.2131621995339	21220.8	66957.1943221925	1603012.25903758	5175715.3737533	28.6252189113854	92.4234888170233	19051.2	36602.507223163	1640977.28290681	3343472.92930173	29.303165766193	59.7048737375309	16881.6	57969.5358731427	1678942.30677604	6108532.27490771	29.9811126210007	109.080933480495
282	not institution specific	wwtp	WWTP	WWTP		HSB	11/29/2021	11/30/2021	7.02	12/1/2021	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	48505	485191	266848	1288951.410591	12893260.9804362	7091106.1955136	23.0169894748393	230.236803222075	126.626896348457	193102.4	155774.759226439	6413986.9313749	5760572.44008983	114.535480917409	102.867365001604	255268.3	47529.9652346284	8321226.57331058	4323077.35122572	148.59333166626	77.1978098433165	317434.2	196781.259853326	10228466.2152463	6848600.57261147	182.651182415112	122.296438796633
918	not institution specific	wwtp	WWTP	WWTP		HSB	2/27/2022	2/28/2022	26.46	3/1/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	561	1444	1002.5	56190.8531646	144633.8537784	100412.3534715	1.003408092225	2.5827473889	1.7930777405625	76163	191484.242344803	7074949.16470602	17738034.834929	126.338377941179	316.750622052304	62804.3	108336.18630758	5939369.8407666	9955950.07395216	106.060175727975	177.784822749146	49445.6	58485.5337800063	4803790.51682718	5771225.92201109	85.7819735147711	103.057605750198
1229	not institution specific	wwtp	WWTP	WWTP		HSB	4/3/2022	4/4/2022	7.22	4/5/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	137062	197066	167064	3745994.9483324	5385943.8829732	4565969.4156528	66.8927669345072	96.1775693388072	81.5351681366571	155786.4	177695.270951624	4569901.6238526	5825623.47224524	81.605386140225	104.028990575808	166892.1	191668.813365388	4875257.20277628	6270969.72514562	87.0581643352907	111.981602234743	177997.8	215673.881168972	5180612.78169996	6972401.94040396	92.5109425303564	124.507177507214
600	not institution specific	wwtp	WWTP	WWTP		HSB	1/19/2022	1/20/2022	18.36	1/21/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	489080	489080	489080	33991122.406608	33991122.406608	33991122.406608	606.984328689429	606.984328689429	606.984328689429	1197027.4	849950.264687809	65855828.9934986	50686013.4351597	1175.99694631248	905.10738277071	1303784	936576.797329012	71045228.6695173	51591097.740941	1268.66479766995	921.269602516804	1410540.6	1082606.58203639	76234628.345536	55507650.2105149	1361.33264902743	991.20803947348
1061	not institution specific	wwtp	WWTP	WWTP		HSB	3/13/2022	3/14/2022	20.28	3/15/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	45910	18362	32136	3524424.150468	1409616.1239576	2467020.1372128	62.9361455440714	25.1717164992429	44.0539310216571	30975.2	60174.136552293	2593738.26626844	5524649.92416022	46.3167547547936	98.6544629314324	30564.9	55533.4543529242	2687833.9666395	5200697.33603933	47.9970351185625	92.8695952864166	30154.6	59831.1316090908	2781929.66701056	5757265.02891663	49.6773154823314	102.808304087797
959	not institution specific	wwtp	WWTP	WWTP		HSB	3/2/2022	3/3/2022	20.42	3/4/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	85206	1287	43246.5	6586259.5398732	99482.6189214	3342871.0793973	117.611777497736	1.77647533788214	59.6941264178089	60220.6	169377.699456588	5300043.72395608	15467422.4447157	94.6436379277871	276.203972227067	41957.9	94497.0463544684	3829551.34803556	8699573.82811166	68.384845500635	155.349532644851	23695.2	60388.8490875934	2359058.97211504	6190378.38908554	42.1260530734829	110.54247123367
513	not institution specific	wwtp	WWTP	WWTP		HSB	1/6/2022	1/7/2022	20.07	1/8/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	1551764	1897051	1724407.5	117892443.672227	144124994.626014	131008719.14912	2105.22220843262	2573.66061832167	2339.44141337715	1355029.2	4033189.51362596	57090539.1679741	135189200.276463	1019.47391371382	2414.0928620797	1437075.9	4068836.30729263	63460616.8158735	136776928.296948	1133.22530028346	2442.44514815978	1519122.6	4110030.49030546	69830694.4637729	139901634.493896	1246.97668685309	2498.24347310529
