Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
736	not institution specific	wwtp	WWTP	WWTP		HSB	2/6/2022	2/7/2022	2/8/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	25.73	247425	123702	185563.5	24098848.4318025	12048401.5306086	18073624.9812056	430.33657913933	215.150027332296	322.743303235813	1050947.6	1686790.49702032	36973483.499175	40858678.5150242	660.240776770983	729.61925919686	1062725.6	1706585.15640488	36618266.1968985	43728931.820802	653.897610658903	780.873782514321	1074503.6	1731301.94678232	36263048.8946221	48007315.7126673	647.554444546822	857.27349486906
1498	not institution specific	wwtp	WWTP	WWTP		HSB	5/7/2022	5/8/2022	5/9/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	25.38	589	1124	856.5	56587.4127162	107986.8453192	82287.1290177	1.01048951278929	1.92833652355714	1.46941301817321	98657.8	308864.896958862	3152154.7041937	8709806.76555911	56.2884768606018	155.532263670698	106383.7	318297.093483675	3443665.3050296	8959705.64800166	61.4940233041	159.994743714315	114109.6	328012.037544922	3735175.9058655	9225065.08749549	66.6995697475982	164.733305133848
1569	not institution specific	wwtp	WWTP	WWTP		HSB	5/17/2022	5/18/2022	5/19/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.4	1660145	1852883	1756514	46504038.18493	51903021.594022	49203529.889476	830.429253302322	926.839671321822	878.634462312071	604018.8	1188912.86331508	18888137.2192437	31076515.9020258	337.288164629351	554.937783964747	625801.8	1245571.59306801	19826111.0889642	32091956.4206231	354.037698017219	573.07065036827	647584.8	1307418.83483951	20764084.9586848	33402967.9001473	370.787231405086	596.481569645487
385	not institution specific	wwtp	WWTP	WWTP		HSB	12/13/2021	12/14/2021	12/15/2021	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	8.8	348814	828706	588760	11619555.232912	27605529.419248	19612542.32608	207.492057730571	492.955882486572	350.223970108572	203403	308899.484585388	9705196.64293884	16550258.9768367	173.307082909622	295.540338872083	235113.5	422750.09428312	10292984.4555951	16625894.0956677	183.803293849913	296.890965994067	266824	600945.578283528	10880772.2682514	20322276.437745	194.299504790203	362.897793531161
1170	not institution specific	wwtp	WWTP	WWTP		HSB	3/27/2022	3/28/2022	3/29/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.8	149459	83014	116236.5	4412956.026882	2451087.800772	3432021.913827	78.8027861943214	43.7694250137857	61.2861056040536	81805.4	97724.2890880109	2659735.55715412	2880399.41029111	47.4952778063236	51.4357037551984	76535.7	83270.1806560882	2427319.13188839	2220133.20285024	43.344984498007	39.6452357651829	71266	84565.1431802971	2194902.70662266	2195462.6231159	39.1946911896904	39.2046896984981
513	not institution specific	wwtp	WWTP	WWTP		HSB	1/6/2022	1/7/2022	1/8/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	20.07	1551764	1897051	1724407.5	117892443.672227	144124994.626014	131008719.14912	2105.22220843262	2573.66061832167	2339.44141337715	1354744.6	4033594.49177944	57060169.3005058	135243439.069886	1018.93159465189	2415.06141196225	1436933.6	4069026.31248383	63445431.8821393	136798984.055372	1132.95414075249	2442.83900098878	1519122.6	4110030.49030546	69830694.4637729	139901634.493896	1246.97668685309	2498.24347310529
1405	not institution specific	wwtp	WWTP	WWTP		HSB	4/25/2022	4/26/2022	4/27/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.65	268697	227954	248325.5	7781031.5773905	6601180.036221	7191105.80680575	138.946992453402	117.878214932518	128.41260369296	167634	357088.342414329	4667602.34429552	9681356.80511236	83.35004186242	172.881371519864	173879.3	386931.179667513	4856718.74025442	10391850.0593956	86.7271203616861	185.568751060636	180124.6	420407.834688061	5045835.13621332	11218249.9534951	90.1041988609521	200.325892026698
1113	not institution specific	wwtp	WWTP	WWTP		HSB	3/20/2022	3/21/2022	3/22/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.29	113940	122082	118011	3144247.096266	3368930.7881898	3256588.9422279	56.1472695761786	60.1594783605321	58.1533739683554	51811.2	64804.9666481276	2792216.94265148	956853.00310233	49.8610168330622	17.0866607696845	57160.9	65198.0062431606	3133839.68685332	1217867.4892231	55.9614229795236	21.7476337361267	62510.6	75302.4434996808	3475462.43105516	3096144.96853181	62.061829125985	55.2883030094967
881	not institution specific	wwtp	WWTP	WWTP		HSB	2/23/2022	2/24/2022	2/25/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	24.33	211422	42279	126850.5	19471760.1269766	3893854.6906587	11682807.4088176	347.710002267439	69.5331194760482	208.621560871744	292043.4	832323.008849502	19578579.3171564	47391798.6626261	349.617487806364	846.282118975467	276110.9	785351.127904527	18517444.3205262	43374611.4965198	330.668648580824	774.546633866425	260178.4	752781.764512402	17456309.3238959	41669134.4729604	311.719809355285	744.09168701715
1327	not institution specific	wwtp	WWTP	WWTP		HSB	4/16/2022	4/17/2022	4/18/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	6.73	146052	219130	182591	3720792.8998836	5582514.091909	4651653.4958963	66.4427303550643	99.6877516412322	83.0652409981482	48342.4	104459.904853314	1924486.34086586	2452679.15023147	34.3658275154618	43.7978419684191	62557.4	131362.697720618	2524610.03248848	3394754.16117343	45.0823220087229	60.6206100209541	76772.4	158757.979835278	3124733.7241111	4385118.59836823	55.7988165019839	78.3056892565755
