Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
1627	not institution specific	wwtp	WWTP	WWTP		HSB	active	5/22/2022	5/23/2022	5/24/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.18	1235349	1139347	1187348	33575851.6490862	30966589.8857986	32271220.7674424	599.568779447968	552.974819389261	576.271799418614	783717	1203619.77936896	22591700.1517093	32748022.2677902	403.423216994809	584.786111924826	778608.6	1266294.00588462	22420231.2766038	34497558.1271717	400.361272796497	616.027823699495	773500.2	1335702.36258466	22248762.4014984	36456566.22716	397.299328598185	651.010111199286
679	not institution specific	wwtp	WWTP	WWTP		HSB	active	1/31/2022	2/1/2022	2/2/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.86	1537518	1495921	1516719.5	45746269.0573068	44508620.0971146	45127444.5772107	816.897661737622	794.796787448475	805.847224593048	1081264	1117566.17320661	37993822.0193247	46146212.6005848	678.461107487941	824.039510724729	1140683.2	1058013.95287092	40124536.0888181	44255137.2386258	716.509573014608	790.270307832603	1200102.4	1073976.94462774	42255250.1583114	44566708.5037351	754.558038541275	795.834080423841
1461	not institution specific	wwtp	WWTP	WWTP		HSB	active	5/1/2022	5/2/2022	5/3/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	9.49	60130	90204	75167	2160082.514317	3240447.0833436	2700264.7988303	38.572902041375	57.8651264882786	48.2190142648268	220653.4	321523.03365367	6418740.21014534	7991187.62135348	114.620360895452	142.699778952741	231932.2	343770.380783799	6787268.23666925	8428798.77095727	121.201218511951	150.514263767094	243211	370637.012368826	7155796.26319316	9032643.28896613	127.782076128449	161.297201588681
738	not institution specific	wwtp	WWTP	WWTP		HSB	active	2/7/2022	2/8/2022	2/9/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	20.94	488510	399666	444088	38722470.782754	31680119.1538764	35201294.9683152	691.472692549179	565.716413462079	628.594553005629	841146	1651101.92074756	41301917.1957133	35455088.9303004	737.534235637738	633.126588041079	848199.3	1693241.5424222	40811951.9709895	37609705.8912404	728.784856624813	671.601890915006	855252.6	1740449.99262917	40321986.7462657	41568282.4536341	720.035477611888	742.290758100609
1170	not institution specific	wwtp	WWTP	WWTP		HSB	active	3/27/2022	3/28/2022	3/29/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.8	149459	83014	116236.5	4412956.026882	2451087.800772	3432021.913827	78.8027861943214	43.7694250137857	61.2861056040536	81805.4	97724.2890880109	2659735.55715412	2880399.41029111	47.4952778063236	51.4357037551984	76535.7	83270.1806560882	2427319.13188839	2220133.20285024	43.344984498007	39.6452357651829	71266	84565.1431802971	2194902.70662266	2195462.6231159	39.1946911896904	39.2046896984981
829	not institution specific	wwtp	WWTP	WWTP		HSB	active	2/19/2022	2/20/2022	2/21/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	25.81	283	139949	70116	27649.5052843	13673217.7209629	6850433.6131236	0.493741165791071	244.164602160052	122.329171662921	380069.6	757056.123247015	17664634.396788	46981577.1912553	315.439899942643	838.95673555813	408092.9	676401.833516904	19229117.9654803	42151239.2640515	343.377106526434	752.700701143776	436116.2	608798.489382257	20793601.5341726	37955890.3550383	371.314313110225	677.78375633997
1385	not institution specific	wwtp	WWTP	WWTP		HSB	active	4/23/2022	4/24/2022	4/25/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7	88998	72812	80905	2358257.43426	1929362.91044	2143810.17235	42.1117398975	34.452909115	38.28232450625	52694	115834.250162648	1440758.88886892	2869422.39908015	25.7278373012307	51.2396856978598	59705.1	138750.354821479	1638186.78086088	3415141.30818181	29.2533353725157	60.9846662175324	66716.2	164841.824789287	1835614.67285284	4068144.91515189	32.7788334438007	72.6454449134266
776	not institution specific	wwtp	WWTP	WWTP		HSB	active	2/12/2022	2/13/2022	2/14/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.98	322153	322153	322153	9731459.8780854	9731459.8780854	9731459.8780854	173.776069251525	173.776069251525	173.776069251525	522056	833818.63227902	29552121.5551656	27612596.5716266	527.716456342243	493.082081636189	521868.2	876503.692134163	29288833.6842503	29347754.1407491	523.014887218756	524.067038227663	521680.4	927735.706549088	29025545.813335	33457978.5253124	518.313318095268	597.463902237722
633	not institution specific	wwtp	WWTP	WWTP		HSB	active	1/23/2022	1/24/2022	1/25/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	9.45	816200	1399761	1107980.5	29197208.0169	50072424.7622445	39634816.3895722	521.3787145875	894.150442182937	707.764578385219	976640.6	966594.840364026	46088506.453672	48239179.8955875	823.009043815571	861.41392670692	1117478.7	1089554.15571144	52149570.5295483	53232174.4247238	931.242330884791	950.57454329864	1258316.8	1275942.5192903	58210634.6054246	60974570.0410084	1039.47561795401	1088.83160787515
1490	not institution specific	wwtp	WWTP	WWTP		HSB	active	5/4/2022	5/5/2022	5/6/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.62	395232	425677	410454.5	11400397.5582144	12278578.2309834	11839487.8945989	203.578527825257	219.260325553275	211.419426689266	154224.2	319043.768406029	4670149.53154288	8679724.40715127	83.39552734898	154.99507869913	162598.5	324325.229870776	4974364.34309437	8774057.96752527	88.8279346981138	156.679606562951	170972.8	329983.204026239	5278579.15464586	8888015.24101924	94.2603420472475	158.714557875344
