Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
M04-0062	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	active	06/02/2022	06/03/2022	06/08/2022	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.099	11633.001063019	9693.94370913506	10663.472386077	4359.53217684231	3632.8595941437	3996.19588549301	7.14677406039724	5.95550753138311	6.55114079589017	81344.5419631899	218644.282125943	33779.4672863607	92955.0823899636	55.3761758792799	152.385380967153	79214.9357814343	205526.937636778	32767.4182804202	87557.233138848	53.7170791482298	143.536447768603	77085.3295996786	192479.037273514	31755.3692744796	82178.767443436	52.0579824171796	134.719290890879
L01-0104	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	05/06/2022	05/07/2022	05/11/2022	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.451	25585.20712	25585.20712	25585.20712	43679.5749967378	43679.5749967378	43679.5749967378	77.4460549587549	77.4460549587549	77.4460549587549	110915.514362	259902.706039229	102626.872034341	198634.058293383	181.96253906798	352.188046619474	106236.331806	261287.59860837	97871.4059602152	200463.795073439	173.530861631587	355.432260768509	101557.14925	262845.063395548	93115.9398860899	202545.742923822	165.099184195195	359.123657666352
C01-0008	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	active	09/22/2021	09/23/2021	09/24/2021	24-hr flow-weighted composite	Wheeling	26003		-80.72757	40.05588	50000	Ohio	10	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	8.449	10435.36294	18786.79104	14611.07699	333753.472938434	600856.605660967	467305.039299701	6.67506945876868	12.0171321132193	9.34610078599401	46588.8233542	101240.534166949	600796.177364391	1216729.20751782	12.0159235472878	24.3345841503565	47236.4574029	86576.80172167	765020.002217395	1638872.1270172	15.3004000443479	32.777442540344	47884.0914516	77241.5378636513	929243.827070399	2253749.77595737	18.584876541408	45.0749955191474
M04-0048	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	active	04/13/2022	04/14/2022	04/20/2022	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.095	2019	56	1037.5	726.06056505	20.1383812	373.099473125	1.19026322139344	0.0330137396721311	0.611638480532787	2068.6806772	1915.46970308532	1396.49443735143	2233.68443986489	2.28933514319907	3.66177777027031	1444.6403386	1216.84395551857	1028.45118276272	1789.66464209409	1.68598554551265	2.93387646244932	820.6	1290.44763611992	660.407928174	1464.47144555115	1.08263594782623	2.40077286155927
S01-0046	not institution specific	wwtp	WWTP	WWTP	21939	FollansbeeWWTP-01	active	03/07/2022	03/08/2022	03/16/2022	24-hr time-weighted composite	Follansbee	26037		-80.59829	40.3258	6468	Brooke	1.6	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.944	1631	1482	1556.5	5828.25950224	5295.81887328	5562.03918776	0.901091450562771	0.818772243858998	0.859931847210884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O01-0114	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	active	07/27/2022	07/28/2022	08/03/2022	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1.95	15788.0993932486	11276.6070105135	13532.3532018811	116540.637182185	83238.8328401524	99889.7350111685	19.1962835088428	13.7108932367242	16.4535883727835	9494.89795708361	12996.6094815478	76522.214298861	105616.77768266	12.6045485585342	17.3969325782672	9507.37380475403	8910.18774573711	77982.423923276	76368.2009550127	12.8450706511738	12.5791798641101	9519.84965242445	7064.2702506367	79442.633547691	69890.6772662771	13.0855927438134	11.5122182945606
E01-0113	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	active	05/18/2022	05/19/2022	05/27/2022	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2.223	149319.357275963	10648.044180125	79983.700728044	1256517.3788264	89602.9343209088	673060.156573657	34.9032605229557	2.48897039780302	18.6961154603794	92293.0923253298	64889.0368711357	811935.517867873	561262.747992508	22.5537643852187	15.5906318886808	77087.8015737981	14395.4792808349	679398.489271641	169374.162862797	18.8721802575456	4.7048378572999	61882.5108222663	54604.5378608411	546861.460675409	474560.775754753	15.1905961298725	13.1822437709654
C01-0216	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	active	07/04/2022	07/05/2022	07/12/2022	24-hr flow-weighted composite	Wheeling	26003		-80.72757	40.05588	50000	Ohio	10	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5.321	79042.6035225392	60962.5786542894	70002.5910884143	1592089.28943916	1227918.41622993	1410003.85283454	31.8417857887831	24.5583683245985	28.2000770566908	177242.211252451	163429.613483568	3825908.73349146	3654499.14641822	76.5181746698293	73.0899829283643	179014.959096909	180385.10201587	3876064.34657191	4089246.98846585	77.5212869314382	81.7849397693171	180787.706941366	201411.689503747	3926219.95965236	4596292.42219874	78.5243991930472	91.9258484439747
A01-0092	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	11/17/2021	11/17/2021	11/29/2021	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	7.38	51043.44249	73522.26689	62282.85469	1425966.2393542	2053942.00139359	1739954.1203739	29.5060056148445	42.500041412713	36.0030235137787	50200.364174	48992.5782611951	1596100.67533678	1285489.20274765	33.026416887452	26.5992634238464	46118.6043066	55637.4747033981	1437417.12774593	1470604.69552795	29.7429466923093	30.4296618011908	42036.8444392	66320.9955529705	1278733.58015507	1817340.13005483	26.4594764971666	37.6042900607273
H01-0276	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	07/07/2022	07/08/2022	07/15/2022	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1.4	298400.008678436	353893.178701401	326146.593689919	1581392.92759201	1875483.0886233	1728438.00810766	131.782743966001	156.290257385275	144.036500675638	91257.5442194938	213923.748613244	507983.530994195	1110751.00255352	42.3319609161829	92.5625835461264	95763.0035541952	237753.972550776	533098.519312421	1237676.94506895	44.4248766093684	103.139745422413	100268.462888897	261834.048042581	558213.507630647	1366196.18367199	46.5177923025539	113.849681972666
