Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	flua	flub	flua.load	flub.load	flua.loadcap	flub.loadcap	flua.day5.mean	flua.day5.ci	flua.load.day5.mean	flua.load.day5.ci	flua.loadcap.day5.mean	flua.loadcap.day5.ci	flub.day5.mean	flub.day5.ci	flub.load.day5.mean	flub.load.day5.ci	flub.loadcap.day5.mean	flub.loadcap.day5.ci
T01-0081	not institution specific	wwtp	WWTP	WWTP	26700	PointPleasantWWTP-01	active	12/16/2022 07:00 AM	12/17/2022 07:00 AM	12/28/2022	24-hr time-weighted composite	Point Pleasant	25550		-82.1351148	38.8567084	5515	Mason	0.7	NA	NA	0.38	4007.24411476404	2003.574015107	5764.2435388982	2882.05266275995	1.0451937513868	0.522584345015404	27912.2590757623	55773.844842005	39624.3578334654	74897.1295436639	7.1848336960046	13.5806218574187	1118.5148030214	1768.73456835384	1821.65900615199	3108.75715209379	0.330309883255121	0.56369123338056
J01-0211	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	active	01/16/2023 07:30 AM	01/17/2023 07:30 AM	01/18/2023	24-hr time-weighted composite	Alpine Lake	26764		-79.50179	39.45709	700	Preston	0.15	NA	NA	0.146	877	2296	484.69146722	1268.92999856	0.692416381742857	1.8127571408	1430.4	1519.97591446416	843.33256685	780.551002126388	1.20476080978571	1.11507286018055	1646.87238026261	1391.2060988702	1002.86024197852	894.848137247301	1.43265748854074	1.27835448178186
L01-0371	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	02/21/2023 09:00 AM	02/22/2023 09:00 AM	03/01/2023	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	NA	NA	0.419	2687.09362484515	314	4261.96370186011	498.03125206	7.55667323024842	0.883034134858156	2128.61872496903	1377.17384770771	3015.20491384002	2382.20929587863	5.34610800326245	4.22377534730254	1468	2195.38533300477	2167.583304232	3569.82369500434	3.84323280892199	6.32947463653252
A02-1012	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	active	02/01/2023 09:00 AM	02/03/2023 09:00 AM	02/06/2023	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	NA	NA	NA	2620	1365	NA	NA	NA	NA	12289.2951458931	44700.5122755314	NA	NA	NA	NA	1008.8	1183.22936149338	NA	NA	NA	NA
J01-0236	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	active	02/27/2023 07:30 AM	02/28/2023 07:30 AM	03/01/2023	24-hr time-weighted composite	Alpine Lake	26764		-79.50179	39.45709	700	Preston	0.15	NA	NA	0.242	1283	503	1175.31680926	460.78281766	1.67902401322857	0.658261168085714	1584.2	1593.94464232122	1522.311716484	1962.89251104992	2.17473102354857	2.80413215864274	1053.2	1688.60129158113	993.705707854	1555.74721463684	1.41957958264857	2.22249602090977
G01-0288	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	12/13/2022 09:00 AM	12/14/2022 09:00 AM	12/19/2022	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	NA	NA	0.726	73832.2515785695	1381	202906.359343272	3795.27477846	24.8416208794407	0.46465166239716	58706.8845927715	38942.782103838	166370.510471004	106832.728275077	20.3685737599172	13.079423148271	1354.6	1927.52698365784	3878.378912518	5692.27180650034	0.474826017693193	0.696899094821295
C01-0350	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	active	02/05/2023 07:00 AM	02/06/2023 07:00 AM	02/27/2023	24-hr flow-weighted composite	Wheeling	26003		-80.72757	40.05588	50000	Ohio	10	NA	NA	9.023	1893	1811	64656.84313599	61856.07127273	1.2931368627198	1.2371214254546	2365.84196767211	546.602383405809	91738.9387213444	31025.5512898212	1.83477877442689	0.620511025796425	1423.2	1392.32231206951	55260.4372407	57005.1510269157	1.105208744814	1.14010302053831
G01-0282	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	12/06/2022 09:00 AM	12/07/2022 09:00 AM	12/09/2022	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	NA	NA	0.765	64520.2551037071	243	186840.248437175	703.68879195	22.8746631289391	0.0861519089067091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O01-0251	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	active	01/13/2023 07:00 AM	01/14/2023 07:00 AM	01/18/2023	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	NA	NA	2.02	819	368	6262.5065958	2813.9223776	1.03154448950749	0.463502285883709	6689.02134035825	6913.3563227438	45962.0575375763	44239.2769924482	7.57075564776418	7.28698352700515	1681.6	1938.37415319081	11359.59144408	12027.1525896119	1.87112361127986	1.98108262059165
M03-0151	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	active	12/07/2022 11:00 AM	12/08/2022 11:00 AM	12/14/2022	24-hr time-weighted composite	Mannington	26582		-80.32371	39.51814	1091	Marion	0.25	NA	NA	0.604	1833.3703209646	1028	4191.79524139629	2350.40649392	3.84215879138066	2.15435975611366	3009.27818891555	4747.95149906082	2379.22984307768	4665.07501805593	2.18077895790804	4.27596243634824	1569.03900287002	1546.7595793198	1136.55720361539	1608.15474636201	1.04175729020659	1.47401901591385
A02-0897	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	active	01/09/2023 09:00 AM	01/11/2023 09:00 AM	01/11/2023	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	NA	NA	NA	12021.1709663272	1926	NA	NA	NA	NA	3408.84200839922	8951.42467893702	NA	NA	NA	NA	1414	1384.48090380232	NA	NA	NA	NA
Q01-0214	not institution specific	wwtp	WWTP	WWTP	21809	MadisonWWTP-01	active	12/25/2022 08:00 AM	12/26/2022 08:00 AM	01/04/2023	24-hr time-weighted composite	Danville	25053		-81.8472888	38.102484	4555	Boone	0.5	NA	NA	0.382	1605	1014	2320.8727251	1466.27099268	0.509522003315038	0.32190362078595	1129.8	1157.94720643975	1658.903693842	1739.48835853622	0.364194005234248	0.381885479371288	1973.8	1068.73777656502	2955.033377416	1724.81145571858	0.648744978576509	0.37866332727082
E02-0230	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	active	12/22/2022 08:00 AM	12/23/2022 08:00 AM	01/04/2023	24-hr time-weighted composite	Athens	24740		-81.01598	37.42163	2391	Mercer	0.5	NA	NA	0.116	1176	1600	516.39049056	702.572096	0.215972601656211	0.293840274362192	1120	1405.26388975941	540.85180998	782.544903445464	0.226203182760351	0.3272877053306	1407	528.630630419388	652.727331284	299.891127326416	0.27299344679381	0.125424980061236
H01-0436	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	12/16/2022 08:00 AM	12/17/2022 08:00 AM	12/28/2022	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	2.5	1519	2670	14375.094475	25267.61175	1.19792453958333	2.1056343125	33323.9620118618	56927.6949287256	218419.585471156	381089.946883272	18.2016321225963	31.757495573606	1806.8	1683.54545495046	13671.2353396	14582.1467219795	1.13926961163333	1.21517889349829
E01-0219	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	active	01/11/2023 08:00 AM	01/12/2023 08:00 AM	01/25/2023	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	NA	NA	2.652	2156	169	21643.88418192	1696.57533708	0.601219005053333	0.0471270926966667	2701.39128065557	3667.14273810802	48791.4007993382	112523.232286977	1.3553166888705	3.12564534130491	809.8	1169.49966655032	12856.067737314	21628.5504857085	0.357112992703167	0.600793069047459
H01-0468	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	01/18/2023 08:00 AM	01/19/2023 08:00 AM	01/25/2023	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	2.11	303	1761	2420.1261753	14065.4857911	0.201677181275	1.172123815925	1073.06839058995	1827.66508756902	8855.82776423316	16284.687795609	0.737985647019429	1.35705731630075	2813.93756349981	1863.59055551127	20703.8016277917	7633.04808600089	1.72531680231598	0.636087340500074
A02-1089	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	active	02/27/2023 09:00 AM	03/01/2023 09:00 AM	03/01/2023	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	NA	NA	NA	1551	2853	NA	NA	NA	NA	2039.538622199	1788.86898306671	NA	NA	NA	NA	4600.3407572642	7259.30958702168	NA	NA	NA	NA
G01-0303	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	02/18/2023 09:00 AM	02/19/2023 09:00 AM	02/27/2023	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	NA	NA	0.803	603	1051	1832.92959069	3194.70812573	0.224403720701518	0.391124892964006	1663.6	1974.97394700357	8550.303922484	10902.0804179435	1.04680508355583	1.33473070738779	1815	1725.41262248273	8902.702123942	9502.87930301272	1.08994883985578	1.16342792642173
A02-1040	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	active	01/25/2023 09:00 AM	01/27/2023 09:00 AM	01/30/2023	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	NA	NA	NA	964	2944.14235744625	NA	NA	NA	NA	23198.8579761564	79629.0040853965	NA	NA	NA	NA	1414.67302824408	2294.52947115266	NA	NA	NA	NA
A02-0856	higher ed dorm	upstream	Sewer Network	Residential	105612	MtValley-01	active	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	48-hr time-weighted composite	Mountain Valley Apartments	26505	Captures all of Mountain Valley	-79.9657691	39.6727656	-1	Monongalia	-1	NA	NA	NA	2622.8459738195	2261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
