Sample ID	Sample Composite Start	Sample Composite End	Sample Received Date	Sample Flow (MGD)	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)
A02-0844	12/05/2022 09:00 AM	12/07/2022 09:00 AM	12/07/2022		Flu A	21962.6709446311	Flu B	0
B01-0292								
A02-0932								
A02-0840	11/30/2022 09:00 AM	12/02/2022 09:00 AM	12/07/2022		Flu A	8532.52569213509	Flu B	0
D01-0213								
A01-0434								
A02-0935								
A01-0430								
A02-0839	11/30/2022 09:00 AM	12/02/2022 09:00 AM	12/07/2022		Flu A	13492.3592023552	Flu B	0
A01-0382								
A01-0433								
A02-0922								
D01-0217	11/30/2022 07:25 AM	12/01/2022 07:25 AM	12/07/2022	1.17	Flu A	14665.8169850707	Flu B	0
C01-0322								
G01-0299								
B01-0276								
M04-0136								
N02-0216								
B01-0288								
A02-0925								
C01-0325								
Q01-0197								
N02-0203								
A04-0226	12/05/2022 08:00 AM	12/06/2022 08:00 AM	12/07/2022	0.6	Flu A	109182.693958283	Flu B	1913.03675528616
B01-0347								
A02-0930								
A01-0435								
C01-0323								
A02-0923								
A02-0937								
A02-0856								
A02-0845	12/05/2022 09:00 AM	12/07/2022 09:00 AM	12/07/2022		Flu A	13116.5550090372	Flu B	0
A01-0432								
A02-0924								
D01-0215	12/04/2022 07:10 AM	12/05/2022 07:10 AM	12/07/2022	1.14	Flu A	19807.0729896426	Flu B	0
N02-0225								
C01-0324								
A02-0933								
D01-0212								
N02-0204								
D01-0206	11/27/2022 07:25 AM	11/28/2022 07:25 AM	12/07/2022	1.18	Flu A	19965.9065902233	Flu B	0
A04-0227								
A02-0854								
A02-0850	12/05/2022 09:00 AM	12/07/2022 09:00 AM	12/07/2022		Flu A	12730.753775686	Flu B	0
J01-0191								
A02-0936								
A04-0223								
H01-0421								
A02-0853	12/05/2022 09:00 AM	12/07/2022 09:00 AM	12/07/2022		Flu A	24851.3292521238	Flu B	0
D01-0207								
M04-0135								
A04-0230								
A02-0926								
G01-0282								
A02-0846	12/01/2022 09:00 AM	12/03/2022 09:00 AM	12/07/2022		Flu A	4127.6109823957	Flu B	2063.75479465351
A02-0855								
N02-0210								
J01-0184	11/30/2022 07:30 AM	12/01/2022 07:30 AM	12/07/2022	0.221	Flu A	1907.6382368803	Flu B	0
D01-0216	11/29/2022 07:25 AM	11/30/2022 07:30 AM	12/07/2022	1.18	Flu A	26476.8080413341	Flu B	0
M04-0134								
Q01-0196								
J01-0187	12/05/2022 07:30 AM	12/06/2022 07:30 AM	12/07/2022	0.174	Flu A	0	Flu B	0
G01-0291								
H01-0426								
M04-0145								
A02-0921								
C01-0321								
B01-0285								
A02-0928								
A02-0865	12/01/2022 09:00 AM	12/03/2022 09:00 AM	12/07/2022		Flu A	2023.20791082457	Flu B	0
A04-0229								
A02-0931								
B01-0298								
A02-0938								
B01-0291								
D01-0218								
A01-0428	12/04/2022 12:00 AM	12/05/2022 12:00 AM	12/07/2022	10	Flu A	50805.8365434408	Flu B	4062.20155768098
N02-0221								
Q01-0198								
G01-0296								
A01-0431								
M04-0129								
A02-0841	12/01/2022 09:00 AM	12/03/2022 09:00 AM	12/07/2022		Flu A	227625.195086002	Flu B	0
B01-0283								
A02-0848								
H01-0425								
E01-0215								
B01-0278								
Q01-0199								
H01-0422								
A01-0429	12/05/2022 12:00 AM	12/06/2022 12:00 AM	12/07/2022	10.2	Flu A	26072.6392641664	Flu B	0
A02-0849	12/05/2022 09:00 AM	12/07/2022 09:00 AM	12/07/2022		Flu A	95999.1122782229	Flu B	0
J01-0192								
A02-0929								
E01-0214								
N02-0209								
H01-0424								
A02-0870	12/01/2022 09:00 AM	12/03/2022 09:00 AM	12/07/2022		Flu A	16692.6892474294	Flu B	0
A02-0939								
A02-0835	12/05/2022 09:00 AM	12/07/2022 09:00 AM	12/07/2022		Flu A	0	Flu B	0
E01-0213								
H01-0423								
A04-0228								
H01-0430								
A02-0851	12/05/2022 09:00 AM	12/07/2022 09:00 AM	12/07/2022		Flu A	287377.715706825	Flu B	0
A02-0855	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	NA	Flu A	6147.0722593367	Flu B	2048.92393201589
L01-0277	12/08/2022 09:00 AM	12/09/2022 09:00 AM	12/14/2022	0.348	SARS-CoV-2 N1	67811.82088	SARS-CoV-2 N2	84102.99137
R02-0225	12/07/2022 06:00 AM	12/08/2022 06:00 AM	12/14/2022	6.9409	SARS-CoV-2 N1	7193.300296	SARS-CoV-2 N2	11989.5204
G01-0282	12/06/2022 09:00 AM	12/07/2022 09:00 AM	12/09/2022	0.765	Flu A	64520.2551037071	Flu B	0
L01-0289	12/07/2022 09:00 AM	12/08/2022 09:00 AM	12/14/2022	0.348	SARS-CoV-2 N1	12985.83012	SARS-CoV-2 N2	15583.47858
O01-0178	12/07/2022 06:00 AM	12/08/2022 06:00 AM	12/14/2022	2.06	SARS-CoV-2 N1	2291.575111	SARS-CoV-2 N2	6875.10171
Q01-0196	12/03/2022 08:00 AM	12/04/2022 08:00 AM	12/08/2022	0.388	Flu A	16351.8226705491	Flu B	0
G01-0291	12/04/2022 09:00 AM	12/05/2022 09:00 AM	12/09/2022	0.777	Flu A	63593.6857759954	Flu B	0
R01-0209	12/08/2022 09:00 AM	12/09/2022 09:00 AM	12/14/2022	0.17	SARS-CoV-2 N1	1561656.225	SARS-CoV-2 N2	1528839.977
N02-0210	12/07/2022 07:00 AM	12/08/2022 07:00 AM	12/09/2022	8.56	Flu A	15255.4353140294	Flu B	0
M04-0134	11/15/2022 12:00 AM	11/16/2022 12:00 AM	12/14/2022	0.173	Flu A	17454.1449733078	Flu B	0
J01-0191	12/09/2022 07:30 AM	12/10/2022 07:30 AM	12/14/2022	0.151	Flu A	2071.19975471869	Flu B	0
R02-0220	12/12/2022 06:00 AM	12/13/2022 06:00 AM	12/14/2022	2.129	SARS-CoV-2 N1	31461.91444	SARS-CoV-2 N2	40455.37524
A02-0936	12/10/2022 09:00 AM	12/12/2022 09:00 AM	12/12/2022	NA	Flu A	2288.44705503434	Flu B	0
A04-0227	12/08/2022 08:00 AM	12/09/2022 08:00 AM	12/09/2022	0.83	Flu A	18085.879124701	Flu B	0
A02-0854	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	NA	Flu A	0	Flu B	0
M04-0135	11/18/2022 12:00 AM	11/19/2022 12:00 AM	12/14/2022	0.081	Flu A	0	Flu B	0
D01-0207	12/11/2022 07:30 AM	12/12/2022 07:30 AM	12/13/2022	1.16	Flu A	16368.585973978	Flu B	0
R01-0218	12/11/2022 09:00 AM	12/12/2022 09:00 AM	12/14/2022	0.151	SARS-CoV-2 N1	1184019.32	SARS-CoV-2 N2	1235790.839
A02-0926	12/12/2022 09:00 AM	12/14/2022 09:00 AM	12/14/2022	NA	Flu A	0	Flu B	0
A04-0230	12/13/2022 08:00 AM	12/14/2022 08:00 AM	12/14/2022	0.56	Flu A	44398.060888052	Flu B	0
A04-0223	12/07/2022 08:00 AM	12/08/2022 08:00 AM	12/09/2022	1.367	Flu A	32282.0348292589	Flu B	0
