Sample ID	Replicate (Bio.Tech)	Description	Category	Department	Site	Location	Sample QC Check	Status: NWSS	Status: WaTCH	Sample Collection Method	Sample Composite Start	Sample Composite End	Sample Collection Date/Time	Sample Collection By	Sample Flow (MGD)	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Spike-In (CN/L)	Assay Control, Process Result (CN/L)	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Control, Internal Concentration (CN/Rxn)	Concentration Input Volume (mL)	Concentration Method	Concentration Output Volume (mL)	Extraction Input Volume (mL)	Extraction Method	Extraction Output Volume (mL)	Assay Type	Assay Name	Assay Volume (mL)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Sample Received By	Sample Received Date	Sample pH (Lab)	Concentration Date	Concentration Lot ID	Concentration Machine	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Extraction Date	Extraction Lot ID	Extraction Machine	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Assay Date	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Comments
A02-0276	1.1	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Processing	Complete	Composite	12/18/2021 09:00 AM	12/20/2021 09:00 AM	12/20/2021 09:00 AM	GZ		16937	SARS-CoV-2 N1	0	0	337.9396439	0	SARS-CoV-2 N2	0	0	381.3004303	0	None				Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	12/20/2021	7.61	12/21/21	NT04474	Halcyon		CP0052	A03	AJ	12/21/21	2110258	Halcyon	F3	EP0052	A03	AJ	12/28/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	F3	AP0030	A03	JL	
H01-0257	1.1	H01-0257	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Processing	Complete	Composite	06/20/2022 08:00 AM	06/21/2022 08:00 AM	06/21/2022 08:00 AM		1.6	19958	SARS-CoV-2 N1	4.716258347	0	138.630743	8400.835181	SARS-CoV-2 N2	5.895470381	0	177.2080612	10501.30662					Human RNase P	2100.050733	1.17897585	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/24/2022	7.2	6/24/22	NT04473	Kookaburra		CP000175	B05	AJ	6/24/22	2108255	Halcyon	C3	EP000175	E03	AJ	6/28/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	C3	AP0094	C05	JL	
Q01-0095	1.1	Sample	Sample	WWTP	Boone	MadisonWWTP-01	Pass	Processing	Complete	Composite	08/07/2022 08:00 AM	08/08/2022 08:00 AM	08/08/2022 08:00 AM		0.4315	17234	SARS-CoV-2 N1	43.72989655	7.02517271	247.9498291	77893.87822	SARS-CoV-2 N2	45.09776592	1.404866725	295.411396	80330.39555					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	08/16/2022		8/15/22	NT04473	Kookaburra		CP0211	A01	JL	8/15/22	2108255	Kookaburra	J1	EP0211	D01	JL	8/17/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	J1	AP0108	A04	JL	
M03-0080	1.1	M03-0080	Sample	WWTP	Marion	ManningtonWWTP-01	Pass	Processing	Complete	Composite	06/16/2022 11:00 AM	06/17/2022 11:00 AM	06/17/2022 11:00 AM		0.464	19087	SARS-CoV-2 N1	74.08122063	0	151.5503216	131957.1742	SARS-CoV-2 N2	66.66259766	0	193.5296631	118742.7521					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/22/2022	7.44	6/22/22	NT04473	Halcyon		CP000172	D06	AJ	6/22/22	2108255	Halcyon	E8	EP000173	C08	AJ	6/23/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	E8	AP0093	H03	JL	
E02-0187	1.1	Sample	Sample	WWTP	Mercer	AthensWWTP-01	Pass	Processing	Complete	Composite	08/24/2022 08:00 AM	08/25/2022 08:00 AM	08/25/2022 08:00 AM		0.061	17958	SARS-CoV-2 N1	55.09481907	2.722208798	116.9771194	109500.9529	SARS-CoV-2 N2	64.28984165	0	127.9736042	127776.0603					Human RNase P	18232.36194	9.173515439	10	Ceres Nanotrap	0.53	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	08/26/2022		8/26/22	NT04473	Kookaburra	75 uL	CP000222	A06	AJ	8/26/22	2108255	Kookaburra	F1 (75 uL)	EP000222	F01	AJ	8/30/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	F1 (75 uL)	AP0112	A06	JL	
G01-0257	1.1	Sample	Sample	WWTP	Mineral	KeyserWWTP-01	Pass	Processing	Complete	Composite	08/29/2022 09:00 AM	08/30/2022 08:00 AM	08/30/2022 09:00 AM		0.519	20560	SARS-CoV-2 N1	189.5921898	1.147524342	341.9677734	337711.0881	SARS-CoV-2 N2	198.8234711	1.147524342	387.5304031	354154.3078					Human RNase P	4077.218086	2.28896454	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	09/02/2022		9/2/22	NT04473	Halcyon		CP000227	A03	AJ	9/2/22	2108255	Kookaburra	G3	EP000227	D03	AJ	9/7/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	G3	AP0114	C04	JL	
C01-0247	1.1	Sample	Sample	WWTP	Ohio	WheelingWWTP-01	Pass	Processing	Complete	Composite	08/23/2022 07:00 AM	08/24/2022 07:00 AM	08/24/2022 07:00 AM		6.944	18929	SARS-CoV-2 N1	68.46644878	1.118770018	200.2174377	121955.8619	SARS-CoV-2 N2	73.45360279	2.237593234	232.4109268	130839.23					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	08/31/2022		8/31/22	NT04473	Halcyon		CP000224	D03	AJ	8/31/22	2108255	Kookaburra	L5	EP000225	F05	AJ	9/1/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	L5	AP0113	E06	JL	
P01-0022	1.1	G	Sample	WWTP	Pleasants	StMarysWWTP-01	Pass	Processing	Complete	Composite	01/24/2022 10:00 AM	01/25/2022 10:00 AM	01/25/2022 10:05 AM		0.241	13589	SARS-CoV-2 N1	1352.340393	0	288.2053566	2408856.325	SARS-CoV-2 N2	905.4624176	0	352.25811	1612854.931					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	02/02/2022	7.13	2/2/22	NT04474	Kookaburra		CP000070	B06	AJ	2/2/22	2108255	Kookaburra	B4	EP000070	B04	AJ	2/7/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	B4	AP0041	F04	JL	
O01-0086	1.1	O01-0086	Sample	WWTP	Taylor	GraftonWWTP-01	Pass	Processing	Complete	Composite	06/16/2022 06:15 AM	06/17/2022 06:15 AM	06/17/2022 07:00 AM		1.47	17789	SARS-CoV-2 N1	25.14462471	0	151.5503216	44788.86276	SARS-CoV-2 N2	29.11728859	0	193.5296631	51865.1703					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/22/2022	7.5	6/22/22	NT04473	Halcyon		CP000173	A04	AJ	6/22/22	2108255	Halcyon	I4	EP000173	G04	AJ	6/23/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	I4	AP0093	D07	JL	
K01-0173	1.1	Sample	Sample	WWTP	Wood	ParkersburgWWTP-01	Pass	Processing	Complete	Composite	10/13/2022 06:30 AM	10/14/2022 06:30 AM	10/14/2022 06:30 AM		6.311	19084	SARS-CoV-2 N1	87.701931	1.163296252	2.334614396	156219.0646	SARS-CoV-2 N2	95.12835503	2.326650023	2.334614396	169447.3824					Human RNase P	8785.612397	4.932273626	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	10/19/2022		10/19/22	NT04455	Halcyon		CP000265	B06	AJ	10/19/22	NT04455	Halcyon	A4	EP000265	E04	AJ	10/20/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	A4	AP0128	D05	JL	
