run_id	sample_id	assay_id	extract_id	plate_id	plate_cell	assay_input_ml	assay_type	accepted_droplets	target	target_category	target_genetic_locus	target_macromolecule	target_fluorophore	target_calculated_copies_per_reaction	target_copies_per_reaction	target_result	notes
A0020.a1	A0020	1	A0020.e1	MA2		0.005	Direct Quantification	12727	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		3996	
A0020.a2	A0020	2	A0020.e1	MA2		0.005	Direct Quantification	12727	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
A0020.a3	A0020	3	A0020.e1	MA2		0.005	Direct Quantification	12727	Human	Internal Control	RNase P	RNA	HEX	0		35942.4	
A0021.a1	A0021	1	A0021.e1	MA2		0.005	Direct Quantification	14612	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		19320	
A0021.a2	A0021	2	A0021.e1	MA2		0.005	Direct Quantification	14612	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		19320	
A0021.a3	A0021	3	A0021.e1	MA2		0.005	Direct Quantification	14612	Human	Internal Control	RNase P	RNA	HEX	0		88968	
A0022.a1	A0022	1	A0022.e1	MA3		0.005	Direct Quantification	12254	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		49795.2	
A0022.a2	A0022	2	A0022.e1	MA3		0.005	Direct Quantification	12254	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		49795.2	
A0022.a3	A0022	3	A0022.e1	MA3		0.005	Direct Quantification	12254	Human	Internal Control	RNase P	RNA	HEX	0		27648	
A0023.a1	A0023	1	A0023.e1	MA3		0.005	Direct Quantification	12579	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		49394.4	
A0023.a2	A0023	2	A0023.e1	MA3		0.005	Direct Quantification	12579	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		29647.2	
A0023.a3	A0023	3	A0023.e1	MA3		0.005	Direct Quantification	12579	Human	Internal Control	RNase P	RNA	HEX	0		24684	
A0024.a1	A0024	1	A0024.e1	MA3		0.005	Direct Quantification	13430	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		23962.8	
A0024.a2	A0024	2	A0024.e1	MA3		0.005	Direct Quantification	13430	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		7980	
A0024.a3	A0024	3	A0024.e1	MA3		0.005	Direct Quantification	13430	Human	Internal Control	RNase P	RNA	HEX	0		39968.4	
A0025.a1	A0025	1	A0025.e1	MA3		0.005	Direct Quantification	12472	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		103305.6	
A0025.a2	A0025	2	A0025.e1	MA3		0.005	Direct Quantification	12472	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		70675.2	
A0025.a3	A0025	3	A0025.e1	MA3		0.005	Direct Quantification	12472	Human	Internal Control	RNase P	RNA	HEX	0		27158.4	
A0027.a1	A0027	1	A0027.e1	MA3		0.005	Direct Quantification	10133	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		15891.6	
A0027.a2	A0027	2	A0027.e1	MA3		0.005	Direct Quantification	10133	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		15891.6	
A0027.a3	A0027	3	A0027.e1	MA3		0.005	Direct Quantification	10133	Human	Internal Control	RNase P	RNA	HEX	0		42362.4	
A0028.a1	A0028	1	A0028.e1	MA3		0.005	Direct Quantification	10501	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		9676.8	
A0028.a2	A0028	2	A0028.e1	MA3		0.005	Direct Quantification	10501	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		9676.8	
A0028.a3	A0028	3	A0028.e1	MA3		0.005	Direct Quantification	10501	Human	Internal Control	RNase P	RNA	HEX	0		9676.8	
A0029.a1	A0029	1	A0029.e1	MA3		0.005	Direct Quantification	10527	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		28170	
A0029.a2	A0029	2	A0029.e1	MA3		0.005	Direct Quantification	10527	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		32202	
A0029.a3	A0029	3	A0029.e1	MA3		0.005	Direct Quantification	10527	Human	Internal Control	RNase P	RNA	HEX	0		24138	
A0030.a1	A0030	1	A0030.e1	MA3		0.005	Direct Quantification	10315	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		57250.8	
A0030.a2	A0030	2	A0030.e1	MA3		0.005	Direct Quantification	10315	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		52029.6	
A0030.a3	A0030	3	A0030.e1	MA3		0.005	Direct Quantification	10315	Human	Internal Control	RNase P	RNA	HEX	0		26014.8	
A0031.a1	A0031	1	A0031.e1	MA3		0.005	Direct Quantification	9322	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		82456.8	
A0031.a2	A0031	2	A0031.e1	MA3		0.005	Direct Quantification	9322	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		82456.8	
A0031.a3	A0031	3	A0031.e1	MA3		0.005	Direct Quantification	9322	Human	Internal Control	RNase P	RNA	HEX	0		51510	
A0032.a1	A0032	1	A0032.e1	MA3		0.005	Direct Quantification	10476	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		443142	
A0032.a2	A0032	2	A0032.e1	MA3		0.005	Direct Quantification	10476	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		408920.4	
A0032.a3	A0032	3	A0032.e1	MA3		0.005	Direct Quantification	10476	Human	Internal Control	RNase P	RNA	HEX	0		28299.6	
A0033.a1	A0033	1	A0033.e1	MA3		0.005	Direct Quantification	9338	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		53241.6	
A0033.a2	A0033	2	A0033.e1	MA3		0.005	Direct Quantification	9338	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		29030.4	
A0033.a3	A0033	3	A0033.e1	MA3		0.005	Direct Quantification	9338	Human	Internal Control	RNase P	RNA	HEX	0		24192	
A0034.a1	A0034	1	A0034.e1	MA3		0.005	Direct Quantification	15971	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		106176	
A0034.a2	A0034	2	A0034.e1	MA3		0.005	Direct Quantification	15971	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		99096	
A0034.a3	A0034	3	A0034.e1	MA3		0.005	Direct Quantification	15971	Human	Internal Control	RNase P	RNA	HEX	0		84912	
A0035.a1	A0035	1	A0035.e1	MA3		0.005	Direct Quantification	16284	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		112130.4	
A0035.a2	A0035	2	A0035.e1	MA3		0.005	Direct Quantification	16284	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		75832.8	
A0035.a3	A0035	3	A0035.e1	MA3		0.005	Direct Quantification	16284	Human	Internal Control	RNase P	RNA	HEX	0		49430.4	
A0036.a1	A0036	1	A0036.e1	MA3		0.005	Direct Quantification	14442	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		14670	
A0036.a2	A0036	2	A0036.e1	MA3		0.005	Direct Quantification	14442	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		19560	
A0036.a3	A0036	3	A0036.e1	MA3		0.005	Direct Quantification	14442	Human	Internal Control	RNase P	RNA	HEX	0		44010	
A0037.a1	A0037	1	A0037.e1	MA3		0.005	Direct Quantification	13832	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		85800	
A0037.a2	A0037	2	A0037.e1	MA3		0.005	Direct Quantification	13832	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		85800	
A0037.a3	A0037	3	A0037.e1	MA3		0.005	Direct Quantification	13832	Human	Internal Control	RNase P	RNA	HEX	0		98064	
A0038.a1	A0038	1	A0038.e1	MA4		0.005	Direct Quantification	13631	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		100764	
A0038.a2	A0038	2	A0038.e1	MA4		0.005	Direct Quantification	13631	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0		74628	
A0038.a3	A0038	3	A0038.e1	MA4		0.005	Direct Quantification	13631	Human	Internal Control	RNase P	RNA	HEX	0		59680.8	
A0039.a1	A0039	1	A0039.e1	MA4		0.005	Direct Quantification	13018	SARS-CoV-2	Pathogen	N1	RNA	FAM	0		108552	
