extraction_plate_id	extraction_date	extraction_input_ml	extraction_output_ml	extraction_method	extraction_method_lot_id	extraction_machine	extraction_plate_comment	extraction_run_by
ME1	11/10/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME2	11/10/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME3	11/10/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME4	11/10/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME5	11/10/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME6	11/17/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME7	11/17/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME8	11/17/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME9	11/17/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME10	11/17/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME11	11/17/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME12	11/17/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME13	11/20/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME14	11/20/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME15	12/7/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME16	12/7/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME17	12/7/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME18	12/7/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME19	12/7/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME20	12/7/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME21	12/7/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME22	12/7/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME23	12/7/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME24	12/7/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME25	12/8/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME26	12/8/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME27	12/14/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME28	12/14/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME29	12/14/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME30	12/15/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME31	12/15/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME32	12/21/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME33	12/21/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME34	12/21/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME35	12/21/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME36	12/21/20	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME37	2/13/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME38	2/13/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME39	2/13/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME40	2/13/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME41	2/13/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME42	2/13/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME43	2/13/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME44	2/13/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME45	2/13/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME46	2/13/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME47	2/13/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME48	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME49	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME50	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME51	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME52	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME53	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME54	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME55	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME56	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME57	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME58	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME59	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME60	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME61	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME62	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME63	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME64	2/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME65	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME66	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME67	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME68	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME69	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME70	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME71	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME72	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME73	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME74	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME75	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME76	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME77	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME78	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME79	2/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MS
ME80	2/24/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME81	2/24/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME82	2/24/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME83	2/24/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME84	2/24/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME85	2/24/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME86	2/24/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME87	2/24/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME88	2/24/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME89	2/24/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AT
ME90	3/15/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AHT
ME91	3/15/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AHT
ME92	3/15/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AHT
ME93	3/15/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AHT
ME94	3/15/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		AHT
ME95	3/21/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME96	3/21/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME97	3/21/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME98	3/21/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME99	3/21/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		TD
ME100	3/29/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME101	3/29/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME102	3/29/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME103	3/29/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME104	3/29/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME105	4/12/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME106	4/12/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME107	4/12/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME108	4/12/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME109	4/12/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME110	4/12/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME111	4/12/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME112	4/12/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME113	4/12/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME114	4/12/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME115	4/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		JL
ME116	4/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		JL
ME117	4/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		JL
ME118	4/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		JL
ME119	4/19/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		JL
ME120	4/26/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME121	4/26/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME122	4/26/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME123	4/26/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME124	4/26/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
ME125	5/3/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		KED
ME126	5/3/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		KED
ME127	5/3/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		KED
ME128	5/3/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		KED
ME129	5/3/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		KED
ME130	5/7/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		
ME131	5/7/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		
ME132	5/7/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		
ME133	5/7/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		
ME134	5/7/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		
ME135	5/17/21	0.2	0.06	Qiagen QiaAMP Viral Mini-RNA Kit		Sorvall Micro		MVS
