Sample ID	Description	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Composite Start	Sample Composite End	Sample Received By	Concentration Date	Concentration Output Volume (mL)	Sample Received Date	Extraction Date	Extraction Run by	Extraction Method	Extraction Output Volume (mL)	Extraction Input Volume (mL)	Concentration Input Volume (mL)	Assay Control, Process	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Accepted Droplets	Assay Run By	Assay Date	Comments	Sample pH (Lab)	Assay Type	Site	Location	Department	Date Created	Date Added to Database	Created by	Status	Assay Volume (mL)	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Concentration Run by	QC Check, Sample
A0020	A0020	Composite	GG	11/17/20 0:00	11/17/20 0:00	11/17/20 23:59	TD	11/19/20 17:00	3.6	11/19/20	11/20/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	35942.4	12727	TD	11/20/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	11/19/20 19:22	11/19/20 19:22	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			3996	SARS-CoV-2 N2			0																													MS	Pass
A0021	A0021	Composite	GG	11/18/20 0:00	11/18/20 0:00	11/18/20 23:59	TD	11/19/20 17:00	4	11/19/20	11/20/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	88968	14612	TD	11/20/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	11/19/20 19:24	11/19/20 19:24	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			19320	SARS-CoV-2 N2			19320																													MS	Pass
A0022	A0022	Composite	GG	11/19/20 0:00	11/19/20 0:00	11/19/20 23:59	TD	12/4/20 17:00	4.8	11/30/20	12/7/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	27648	12254	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/7/20 15:07	12/7/20 15:07	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			49795.2	SARS-CoV-2 N2			49795.2																													MS	Pass
A0023	A0023	Composite	GG	11/22/20 0:00	11/22/20 0:00	11/22/20 23:59	TD	12/4/20 17:00	4.4	11/30/20	12/7/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	24684	12579	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/7/20 15:15	12/7/20 15:15	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			49394.4	SARS-CoV-2 N2			29647.2																													MS	Pass
A0024	A0024	Composite	GG	11/23/20 0:00	11/23/20 0:00	11/23/20 23:59	TD	12/4/20 17:00	3.8	11/30/20	12/7/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	39968.4	13430	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/7/20 15:15	12/7/20 15:15	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			23962.8	SARS-CoV-2 N2			7980																													MS	Pass
A0025	A0025	Composite	GG	11/24/20 0:00	11/24/20 0:00	11/24/20 23:59	TD	12/4/20 17:00	4.8	11/30/20	12/7/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	27158.4	12472	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/7/20 15:15	12/7/20 15:15	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			103305.6	SARS-CoV-2 N2			70675.2																													MS	Pass
A0027	A0027	Composite	GG	11/25/20 0:00	11/25/20 0:00	11/25/20 23:59	TD	12/4/20 17:00	3.8	11/30/20	12/7/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	42362.4	10133	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/7/20 15:15	12/7/20 15:15	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			15891.6	SARS-CoV-2 N2			15891.6																													MS	Pass
A0028	A0028	Composite	GG	11/26/20 0:00	11/26/20 0:00	11/26/20 23:59	TD	12/4/20 17:00	3.6	11/30/20	12/7/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	9676.8	10501	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/7/20 15:15	12/7/20 15:15	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			9676.8	SARS-CoV-2 N2			9676.8																													MS	Pass
A0029	A0029	Composite	GG	11/29/20 0:00	11/29/20 0:00	11/29/20 23:59	TD	12/4/20 17:00	3	12/4/20	12/7/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	24138	10527	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/7/20 15:15	12/7/20 15:15	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			28170	SARS-CoV-2 N2			32202																													MS	Pass
A0030	A0030	Composite	GG	11/30/20 0:00	11/30/20 0:00	11/30/20 23:59	TD	12/4/20 17:00	3.8	12/4/20	12/7/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	26014.8	10315	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/7/20 15:15	12/7/20 15:15	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			57250.8	SARS-CoV-2 N2			52029.6																													MS	Pass
