Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Date Added to Database
A02-0004	14984	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B08	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	0																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C04	JL		Eric Lundstrum		08/12/2021 10:05 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C04	JL	NaN	Pass	Pass	Pass	Pass	EL	08/12/2021 10:05 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021	NaN	NorthHighSt-02 (MUB)		2021-08-25.16-05-35
A1106	18310	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A02	JL	SARS-CoV-2 N1	0	99.9626001999652	1185.20703872258	SARS-CoV-2 N2	0	99.9632629606967	1630.48281760561																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A02	JL							2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL		Pass	Pass	Pass												2021-08-25.16-05-35
A02-0006				08/16/2021										SARS-CoV-2 N1			24727.27346	SARS-CoV-2 N2			18906.8917																															NaN												Eric Lundstrum		08/13/2021 09:23 AM	WVU Morgantown	G											NaN	Pass			Pass	Eric Lundstrom	08/13/2021 09:22 AM	Composite	08/13/2021 09:22 AM	08/11/2021 09:45 AM	Josh Lambert	08/13/2021	7.34	OaklandE-02		2021-08-25.16-05-35
A1104	15713	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A01	JL	SARS-CoV-2 N1	0	99.9626001999652	1285.2418233985	SARS-CoV-2 N2	0	99.9632629606967	1519.47427819927																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A01	JL							2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A01	JL		Pass	Pass	Pass												2021-08-25.16-05-35
A02-0001 10K	17989	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	10k	AP000000	B03	JL	SARS-CoV-2 N1	0	99.9626001999652	106109.700738251	SARS-CoV-2 N2	0	99.9632629606967	106116.339777753																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 10K HI-SARS	CP000000	B05	JL							2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 10K HI-SARS	EP000000	B05	JL		Pass	Pass	Pass												2021-08-25.16-05-35
A04-0009	18412	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A05	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	0																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A05	JL		Eric Lundstrum		08/10/2021 10:00 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	Pass	Pass	Pass	EL	08/10/2021 10:00 AM	Composite	08/10/2021 09:00 AM	08/09/2021 09:00 AM	JL	08/10/2021	7.29	NorthHighSt-02 (MUB)		2021-08-25.16-05-35
A02-0003 0	16649	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	0k	AP000000	B06	JL	SARS-CoV-2 N1	0	99.9626001999652	104905.313036199	SARS-CoV-2 N2	0	99.9632629606967	105150.199234209																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425	Labeled 0	CP000000	C02	JL							2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Labeled 0	EP000000	C02	JL		Pass	Pass	Pass												2021-08-25.16-05-35
A05-0004	17870	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A06	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	0																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A06	JL		Eric Lundstrum		08/11/2021 09:07 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A06	JL	NaN	Pass	Pass	Pass	Pass	EL	08/11/2021 09:07 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.19	Evansdale-01		2021-08-25.16-05-35
A02-0008				08/16/2021										SARS-CoV-2 N1			6589.87239	SARS-CoV-2 N2			1317.83566																															NaN												Eric Lundstrum		08/13/2021 10:02 AM	WVU Morgantown	G											NaN	Pass			Pass	Eric Lundstrom	08/13/2021 10:02 AM	Composite	08/13/2021 09:45 AM	08/11/2021 09:45 AM	Josh Lambert	08/13/2021	7.5	NorthHighSt-02 (MUB)		2021-08-25.16-05-35
A02-0013	11125	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A04	JL	SARS-CoV-2 N1	0	99.9626001999652	1456.3643367051	SARS-CoV-2 N2	0	99.9632629606967	1132.41971932352																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A04	JL		Eric Lundstrum		08/11/2021 09:48 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A04	JL		Pass	Pass	Pass	Pass	EL	08/11/2021 09:48 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.87	CollegePark-02		2021-08-25.16-05-35
