Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Date Added to Database
A01-0008	17162	OneStep RT-ddPCR	None	8/18/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G8	AP000000	A08	JL	SARS-CoV-2 N1	0	99.84027292	39854.96852	SARS-CoV-2 N2	31.54926549	99.85634831	49204.94934																													Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B02	JL			Josh Lambert	2021-08-25.16-46-49	8/18/21 13:16		Star City	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A08	JL	NaN	Pass	Pass	Pass	Pass	JL	8/17/21 23:55	Composite	8/17/21 23:55	8/17/21 0:00	JL	8/18/21	6.97	StarCityWWTP-01		2021-08-25.16-47-07
A02-0003	16102	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	C02	JL	SARS-CoV-2 N1	0	99.9626002	74636.199	SARS-CoV-2 N2	0	99.96326296	79308.37154																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C06	JL			Eric Lundstrum	2021-08-25.16-46-49	8/12/21 9:59	WVU Morgantown	Building/Complex	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C06	JL		Pass	Pass	Pass	Pass	EL	8/12/21 9:59	Composite	8/12/21 9:00	8/11/21 9:00	JL	8/12/21	NaN	CollegePark-02		2021-08-25.16-47-07
A02-0027	18604	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I3	AP000002	A03	JL	SARS-CoV-2 N1	0	99.93699063	1324.602061	SARS-CoV-2 N2	0	99.94261999	784.0565908																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A03	JL							G	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A03	JL		Pass	Pass	Pass			8/23/21 9:35	Grab						OaklandE-02		2021-08-25.16-47-07
A02-0001	16799	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B07	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	0																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C03	JL			Eric Lundstrum	2021-08-25.16-46-49	8/12/21 9:35	WVU Morgantown	Building/Complex	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C03	JL	NaN	Pass	Pass	Pass	Pass	EL	8/12/21 9:35	Composite	8/12/21 9:00	8/11/21 9:00	JL	8/12/21	NaN	Evansdale-01		2021-08-25.16-47-07
A01-0011																																																																					Star City																	8/21/21 23:59	Composite	8/21/21 23:59	8/21/21 0:00				StarCityWWTP-01		2021-08-25.16-47-07
A02-0022	2159	OneStep RT-ddPCR	None	8/23/21	CHECK	DQ	58477037	QX 200	CDC nCov-2 Triplex	H2	AP000002	B03	JL	SARS-CoV-2 N1	0	99.93699063	0	SARS-CoV-2 N2	0	99.94261999	0																													Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	7.39	CP000000	A02	JL				2021-08-25.16-46-49			G	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H2	EP000000	A02	JL		Fail: Droplet Counts Below Threshold	Pass	Pass			8/20/21 9:42	Composite	8/20/21 9:42	8/18/21 9:42				HonorsSummit-01 (MUB)		2021-08-25.16-47-07
A02-0023	10652	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	H3	AP000002	B04	JL	SARS-CoV-2 N1	0	99.93699063	25091.04119	SARS-CoV-2 N2	0	99.94261999	25091.04119																													Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	7.16	CP000000	A03	JL				2021-08-25.16-46-49			G	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H3	EP000000	A03	JL		Pass	Pass	Pass			8/20/21 9:56	Composite	8/20/21 9:56	8/18/21 9:56				NorthHighSt-02 (MUB)		2021-08-25.16-47-07
A06-0017	17517	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A08	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	1427.22571																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B02	JL			Eric Lundstrum	2021-08-25.16-46-49	8/11/21 9:35	WVU Morgantown	Building/Complex	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B02	JL	NaN	Pass	Pass	Pass	Pass	EL	8/11/21 9:35	Composite	8/11/21 9:00	8/10/21 9:00	JL	8/11/21	7.55	NorthHighSt-02 (MUB)		2021-08-25.16-47-07
A01-0003	19784	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A02	JL	SARS-CoV-2 N1	0	99.94874319	25285.73	SARS-CoV-2 N2	0	99.95073014	32876.44184	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A02	JL			Josh Lambert	2021-08-25.16-46-49	8/16/21 13:05	Monongalia County	Star City	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL	NaN	Pass	Pass	Pass	Pass	GG	8/11/21 23:55	Composite	8/11/21 23:55	8/11/21 0:00	Josh Lambert	8/13/21	6.87	StarCityWWTP-01		2021-08-25.16-47-07
A02-0018	18936	OneStep RT-ddPCR	None	8/18/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G3	AP000000	A03	JL	SARS-CoV-2 N1	0	99.84027292	41756.86463	SARS-CoV-2 N2	31.54926549	99.85634831	50849.03944																													Multiplex	0.005		8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A03	JL			Eric Lundstrum	2021-08-25.16-46-49	8/18/21 10:07	WVU Morgantown	G	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL		Pass	Pass	Pass	Pass	EL	8/18/21 10:06	Composite	8/18/21 10:05	8/16/21 10:05	JL	8/18/21	7.02	NorthHighSt-02 (MUB)		2021-08-25.16-47-07
