Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status
A1037	10058	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			4212	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005		04/30/2021 11:30 AM	100				3				KED	Human RNase P	42138	Mathilda Santee	04/30/2021 11:07 AM	04/30/2021 11:07 AM	Monongalia County	A1037	05/03/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				KED		Pass	Not Assessed	Not Assessed	Pass	EL	04/30/2021 11:07 AM	Composite	04/26/2021 11:59 AM	04/26/2021 12:00 PM	MVS	04/30/2021		StarCityWWTP-01	Available
A0237	11622	OneStep RT-ddPCR		03/11/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			497808	SARS-CoV-2 N2			390048																													CDC N1/N2/RP Triplex	0.005		02/22/2021 12:00 AM	100				4				AT	Human RNase P	24288	Timothy Driscoll	02/24/2021 10:40 AM	02/24/2021 10:40 AM	Monongalia County	A0237	02/24/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	02/08/2021 08:00 AM	Composite	02/08/2021 11:55 AM	02/08/2021 12:00 PM	TD	02/11/2021		StarCityWWTP-01	Available
A0239	10568	OneStep RT-ddPCR		03/11/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			86880	SARS-CoV-2 N2			106950																													CDC N1/N2/RP Triplex	0.005		02/22/2021 12:00 AM	100				5				AT	Human RNase P	13350	Timothy Driscoll	02/24/2021 10:41 AM	02/24/2021 10:41 AM	Monongalia County	A0239	02/24/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	02/10/2021 08:00 AM	Composite	02/10/2021 11:55 AM	02/10/2021 12:00 PM	TD	02/11/2021		StarCityWWTP-01	Available
A0044	13954	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			55059.6	SARS-CoV-2 N2			79172.4																													CDC N1/N2/RP Triplex	0.005		12/21/2020 01:00 PM	100				3.4				AT	Human RNase P	34414.8	Timothy Driscoll	12/21/2020 04:22 PM	12/21/2020 04:22 PM	Monongalia County	A0044	12/21/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	12/20/2020 12:00 AM	Composite	12/20/2020 11:59 AM	12/20/2020 12:00 PM	TD	12/21/2020		StarCityWWTP-01	Available
A1034	12606	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			23520	SARS-CoV-2 N2			15666																													CDC N1/N2/RP Triplex	0.005		04/23/2021 11:00 AM	100				7				MVS	Human RNase P	47040	Mathilda Santee	04/23/2021 10:58 AM	04/23/2021 10:58 AM	Monongalia County	A1034	04/26/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	04/23/2021 10:57 AM	Composite	04/21/2021 11:59 AM	04/21/2021 12:00 PM	MVS	04/23/2021		StarCityWWTP-01	Available
A1044	14661	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			4800	SARS-CoV-2 N2			4800																													CDC N1/N2/RP Triplex	0.005	Reconc vol estimated	05/07/2021 02:30 PM	100				5					Human RNase P	19260	Josh Lambert	05/07/2021 03:24 PM	05/07/2021 03:24 PM	Monongalia County	A1044		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	GG	05/05/2021 11:55 PM	Composite	05/05/2021 11:55 PM	05/05/2021 12:00 AM	Josh Lambert	05/07/2021		StarCityWWTP-01	Available
A0247	15880	OneStep RT-ddPCR		03/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			1542888	SARS-CoV-2 N2			961152																													CDC N1/N2/RP Triplex	0.005		11/13/2020 04:30 PM	100				4				MS	Human RNase P	71160	Timothy Driscoll	11/13/2020 10:10 PM	11/13/2020 10:10 PM	Monongalia County	A0247	11/17/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	11/09/2020 12:00 AM	Composite	11/09/2020 11:59 PM	11/09/2020 12:00 AM	TD	11/13/2020		StarCityWWTP-01	Available
A0229	13863	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			61140	SARS-CoV-2 N2			50940																													CDC N1/N2/RP Triplex	0.005		02/05/2021 01:00 PM	100				5				MS	Human RNase P	0	Timothy Driscoll	02/12/2021 04:27 PM	02/12/2021 04:27 PM	Monongalia County	A0229	02/19/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	01/27/2021 12:00 AM	Composite	01/27/2021 11:59 PM	01/27/2021 12:00 AM	TD	01/29/2021		StarCityWWTP-01	Available
A01-0006	15992	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	G6	AP000002	B06	JL	SARS-CoV-2 N1	0	99.93699063	57639.53911	SARS-CoV-2 N2	0	99.94261999	16071.31485																													Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A06	JL			Josh Lambert		8/18/21 13:15	Monongalia County	Primary	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A06	JL		Pass	Pass	Pass	Pass	GG	8/15/21 23:55	Composite	8/15/21 23:55	8/15/21 0:00	JL	8/18/21	6.82	StarCityWWTP-01	
A0226	12328	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			107151	SARS-CoV-2 N2			69300																													CDC N1/N2/RP Triplex	0.005		02/05/2021 01:00 PM	100				5.5				MS	Human RNase P	6303	Timothy Driscoll	02/12/2021 04:27 PM	02/12/2021 04:27 PM	Monongalia County	A0226	02/19/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	01/24/2021 12:00 AM	Composite	01/24/2021 11:59 PM	01/24/2021 12:00 AM	TD	01/29/2021		StarCityWWTP-01	Available
