Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status
A0030	10315	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				57250.8	SARS-CoV-2 N2				52029.6																																				CDC N1/N2/RP Triplex	0.005		12/4/20 17:00	100				3.8				MS	Human RNase P	26014.8	Timothy Driscoll	12/7/20 15:15	12/7/20 15:15	Monongalia County	A0030	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/30/20 0:00	Composite	11/30/20 23:59	11/30/20 0:00	TD	12/4/20		StarCityWWTP-01	Available
A02-0025	5001	OneStep RT-ddPCR	None			2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	I1	AP0004	A01	JL	SARS-CoV-2 N1	100020	5920	239240	106271250	SARS-CoV-2 N2	100020	5920	235960	106271250																																				Multiplex	0.005		2021-08-23	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A01	JL						WVU Morgantown	Secondary	2021-08-23	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000002	A01	JL		Fail: Droplet Counts Below Threshold	Fail: Droplet Counts Below Threshold	Pass	Pass	EL	08/23/2021 09:13 AM	Composite	08/23/2021 09:16 AM	08/21/2021 09:16 AM	JL	08/23/2021	7.15	Evansdale-01	
A02-0040	14933	OneStep RT-ddPCR	None			2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	L6	AP0004	F02	JL	SARS-CoV-2 N1	298420	5920	239240	317071250	SARS-CoV-2 N2	298380	5920	235960	317028750																																				Multiplex	0.005	Very Dense Fecal Sample	2021-08-25	10	NT04155	Kookaburra	Nanotrap	0.425		CP0004	A06	JL						WVU Morgantown		2021-08-25	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	L6	EP0004	A06	JL		Pass	Fail: Droplet Counts Below Threshold	Pass	Pass	EL	08/25/2021 09:39 AM	Grab			JL	08/25/2021	7.02	HonorsSummit-01 (MUB)	
A01-0017																																																																															Monongalia County																Pass	JT	08/29/2021 11:55 PM	Composite	08/29/2021 11:55 PM	08/29/2021 12:00 AM	JL	09/01/2021	6.91	StarCityWWTP-01	
A02-0074																																																																															WVU Morgantown																Pass	EL	09/03/2021 09:30 AM	Composite	09/03/2021 09:08 AM	09/01/2021 09:08 AM	JL	09/03/2021	6.81	Evansdale-01	
A1088		OneStep RT-ddPCR	BRSV	209926.25												SARS-CoV-2 N1				9310	SARS-CoV-2 N2				4655																																				N1/N2/BRSV Triplex	0.005		07/09/2021	10				0.95	pH - 6.54						Josh Lambert		07/09/2021 12:23 PM		A1088	07/09/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	07/08/2021 11:55 PM	Composite	07/08/2021 11:55 PM	07/08/2021 12:00 AM	JL	07/09/2021	6.54	StarCityWWTP-01	Available
A1034	12606	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				23520	SARS-CoV-2 N2				15666																																				CDC N1/N2/RP Triplex	0.005		4/23/21 11:00	100				7				MVS	Human RNase P	47040	Mathilda Santee	4/23/21 10:58	4/23/21 10:58	Monongalia County	A1034	4/26/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	4/23/21 10:57	Composite	4/21/21 11:59	4/21/21 12:00	MVS	4/23/21		StarCityWWTP-01	Available
A02-0034	14372	OneStep RT-ddPCR	None			2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	J1	AP0004	C04	JL	SARS-CoV-2 N1	287200	5920	239240	305150000	SARS-CoV-2 N2	287200	5920	235960	305150000																																				Multiplex	0.005		2021-08-23	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	B03	JL						WVU Morgantown	Tertiary	2021-08-23	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000002	A09	JL		Pass	Fail: Droplet Counts Below Threshold	Pass	Pass	EL	08/23/2021 10:12 AM	Composite	08/23/2021 09:00 AM	08/21/2021 09:00 AM	JL	08/23/2021	8.07	CollegePark-02	
A0450	12328	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				13752	SARS-CoV-2 N2				9168																																				CDC N1/N2/RP Triplex	0.005		2/19/21 13:00	100				4				AT	Human RNase P	13752	Timothy Driscoll	3/12/21 17:32	3/12/21 17:32	Monongalia County	A0450	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/17/21 8:00	Composite	2/17/21 11:55	2/17/21 12:00	TD	2/18/21		StarCityWWTP-01	Available
A02-0032	407	OneStep RT-ddPCR	None			2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	I8	AP0004	H01	JL	SARS-CoV-2 N1	8140	5920	239240	8648750	SARS-CoV-2 N2	8140	5920	235960	8648750																																				Multiplex	0.005		2021-08-23	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	B02	JL						WVU Morgantown	Tertiary	2021-08-23	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000002	A08	JL		Fail: Droplet Counts Below Threshold	Fail: Droplet Counts Below Threshold	Pass	Pass	EL	08/23/2021 10:11 AM	Grab			JL	08/23/2021	7.78	CollegePark-02	
