Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Volume Tested (mL)
A02-0014	19433	OneStep RT-ddPCR	Human RNase P	18.1689620018005	19304.5221269131	None				08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	B03	JL	SARS-CoV-2 N1	31.5017914772034	0	1714.01901245117	33470.65294	SARS-CoV-2 N2	30.2894043922424	0	1783.14178466797	32182.49166	None																																				0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B05	JL	Eric Lundstrum		08/16/2021 10:05 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A11	JL	NaN	Pass	Eric Lundstrom	08/16/2021 10:05 AM	Composite	08/16/2021 09:00 AM	08/14/2021 09:00 AM	Josh Lambert	08/16/2021	7.83	NorthHighSt-02 (MUB)		10
A02-0001 10K	17989	OneStep RT-ddPCR				BRSV	0	0		2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	10k	AP000000	B03	JL	SARS-CoV-2 N1	678.05908203125	0	2236.36169433594	720437.774658203	SARS-CoV-2 N2	711.738967895508	0	2276.70715332032	756222.653388977																																					0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 10K HI-SARS	CP000000	B05	JL						2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 10K HI-SARS	EP000000	B05	JL													
A1106	18310	OneStep RT-ddPCR				BRSV	492.148246765136	522907.512187957		2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A02	JL	SARS-CoV-2 N1	8.99712562561036	0	2236.36169433594	9559.44597721101	SARS-CoV-2 N2	11.5683662891388	0	2276.70715332032	12291.38918221																																					0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A02	JL						2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL													
A02-0028	14645	OneStep RT-ddPCR	Human RNase P	6.42748355865478	6829.2012810707	None				2021-08-23	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I4	AP000002	A04	JL	SARS-CoV-2 N1	0	0	1206.43348693848	0	SARS-CoV-2 N2	0	0	1324.79263305664	0																																					0.005		2021-08-23	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A04	JL					G	2021-08-23	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A04	JL				08/23/2021 09:45 AM	Composite	08/23/2021 09:00 AM	08/21/2021 09:00 AM				HonorsSummit-01 (MUB)		
A02-0027	18604	OneStep RT-ddPCR	Human RNase P	598.177871704102	635563.988685608	None				2021-08-23	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I3	AP000002	A03	JL	SARS-CoV-2 N1	11.3855051994324	0	1206.43348693848	12097.0992743969	SARS-CoV-2 N2	7.58972465991974	0	1324.79263305664	8064.08245116472																																					0.005		2021-08-23	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A03	JL					G	2021-08-23	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A03	JL				08/23/2021 09:35 AM	Grab						OaklandE-02		
A02-0004	14984	OneStep RT-ddPCR				BRSV	0	0		08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B08	JL	SARS-CoV-2 N1	0	0	2236.36169433594	0	SARS-CoV-2 N2	0	0	2276.70715332032	0																																					0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C04	JL	Eric Lundstrum		08/12/2021 10:05 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C04	JL	NaN	Pass	EL	08/12/2021 10:05 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021	NaN	NorthHighSt-02 (MUB)		10
A04-0009	18412	OneStep RT-ddPCR				BRSV	493.307991027832	524139.740467071		08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A05	JL	SARS-CoV-2 N1	0	0	2236.36169433594	0	SARS-CoV-2 N2	1.27797365188599	0	2276.70715332032	1357.84701																																					0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A05	JL	Eric Lundstrum		08/10/2021 10:00 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	EL	08/10/2021 10:00 AM	Composite	08/10/2021 09:00 AM	08/09/2021 09:00 AM	JL	08/10/2021	7.29	NorthHighSt-02 (MUB)		10
A02-0005	16325	OneStep RT-ddPCR	Human RNase P	11.5333187580109	12254.1511803865	None				08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A04	JL	SARS-CoV-2 N1	0	0	1714.01901245117	0	SARS-CoV-2 N2	2.88279980421066	0	1783.14178466797	3062.97486	None																																				0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A04	JL	Eric Lundstrum		08/13/2021 09:12 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A04	JL	NaN	Pass	Eric Lundstrom	08/13/2021 09:12 AM	Composite	08/13/2021 09:00 AM	08/12/2021 09:00 AM	Josh Lambert	08/13/2021	7.34	Evansdale-01		10
A01-0010	18269	OneStep RT-ddPCR	Human RNase P	42.5405168533326	45199.2991566659	None				2021-08-20	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H6	AP000000	A06	JL	SARS-CoV-2 N1	45.121202468872	0	1047.21549987793	47941.2776231765	SARS-CoV-2 N2	52.864966392517	0	1082.35214233398	56169.0267920493																																					0.005		2021-08-20	10	NT04155	Kookaburra	Nanotrap	0.425	6.99	CP000000	A06	JL					Star City	2021-08-20	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H6	EP000000	A06	JL				08/19/2021 11:59 PM	Composite	08/19/2021 11:59 PM	08/19/2021 12:01 AM				StarCityWWTP-01		
A02-0017	2409	OneStep RT-ddPCR	Human RNase P	-20	0	None				2021-08-23	CHECK	DQ	58477037	QX 200	CDC nCov-2 Triplex	G2	AP000002	B05	JL	SARS-CoV-2 N1	-20	0	1206.43348693848	0	SARS-CoV-2 N2	-20	0	1324.79263305664	0																																					0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A02	JL	Eric Lundstrum		08/18/2021 09:38 AM	WVU Morgantown	G	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL		Pass	EL	08/18/2021 09:38 AM	Composite	08/18/2021 09:38 AM	08/16/2021 09:41 AM	JL	08/18/2021	7.15	OaklandE-02		
