Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Category	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Flow (MGD)	Sample ID	Sample QC Check	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status: NWSS	Status: WaTCH
A02-0002 100K	11472	OneStep RT-ddPCR				BRSV	0	0		8/13/21	Manual	DQ		QX 200	BRSV Triplex	100k	AP000000	B05	JL	SARS-CoV-2 N1	1951.31073	0	2236.361694	2073267.651	SARS-CoV-2 N2	1940.171509	0	2276.707153	2061432.228																																				CDC N1/N2/RP Triplex	0.005	Sample		8/13/21	10	NT04155	Kookaburra	Ceres Nanotrap	0.425	Spike with 100K HI-SARS	CP000000	C01	JL		Sample	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 100K HI-SARS	EP000000	C01	JL														Rejected	Test
H01-0094																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
H01-0052																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
A02-0153 c	13221	OneStep RT-ddPCR	Human RNase P		21360					3/11/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				34176	SARS-CoV-2 N2				29904																																				CDC N1/N2/RP Triplex	0.005	Sample	Was A06-0005		100			PEG Precipitation	4					WWTP	Sample		0.2			Qiagen QIAamp Viral RNA Mini	0.06					StarCityWWTP-01	EL	2/22/21 12:00	Composite	2/22/21 12:00	2/22/21 12:00	11.470 		Pass				Monongalia	Rejected	Test
E02-0010																																																																																											AthensWWTP-01	-	11/17/2021 08:00 AM	Composite	11/17/2021 08:00 AM	11/16/2021 08:00 AM			Pass	AJ	11/19/2021	7.13	Mercer		
A1016	13088	OneStep RT-ddPCR	Human RNase P		5400					4/12/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				10800	SARS-CoV-2 N2				16170																																				CDC N1/N2/RP Triplex	0.005	Sample		4/9/21	100			PEG Precipitation	5				MVS	WWTP	Sample	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS	StarCityWWTP-01	GG	3/28/21 11:55	Composite	3/28/21 11:55	3/28/21 12:00	10.979		Pass	Josh Lambert	4/9/21		Monongalia	Processing	Complete
A02-0115	10993	OneStep RT-ddPCR	Human RNase P	4.281188548	4548.762832					9/24/21	Manual	DQ		QX 200	CDC nCov-2 Triplex	H3	AP0009	A03	JL	SARS-CoV-2 N1	2.14049682	0	878.4640503	2274.277871	SARS-CoV-2 N2	4.281188548	0	968.4371185	4548.762832																																				CDC N1/N2/RP Triplex	0.005	Sample		9/24/21	10		Halcyon	Ceres Nanotrap	0.425		CP0016	A03	JL	WVU Morgantown	Sample	9/24/21	0.4	XXXXXX	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	H3	EP0016	A03	JL	Evansdale-01	EL	9/20/21 9:15	Composite	9/20/21 9:00	9/18/21 9:00							Monongalia	Processing	Complete
A03-0063																																																																			Sample												K-12	Sample											SuncrestES-01	BL	11/4/21 10:35	Composite	11/3/21 14:00	11/3/21 6:00			Pass	JL	11/5/21		Monongalia	Processing	Processing
A1074	10295	OneStep RT-ddPCR		87.01		BRSV		206648.75		7/7/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	4.57			10853.75																																				N1/N2/BRSV Triplex	0.005	Sample		7/7/21	10			Ceres Nanotrap	0.95	pH - 6.47				WWTP	Sample	7/7/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	6/20/21 23:55	Composite	6/20/21 23:55	6/20/21 0:00	7.122 		Pass	JL	6/25/21	6.47	Monongalia	Processing	Complete
A02-0033																																																																			Sample													Sample																									Unknown
G01-0066																																																																			Sample												WWTP	Sample											KeyserWWTP-01	-	11/2/21 12:45	Composite	11/2/21 12:00	11/1/21 12:00			Pass	JL	11/5/21	6.55	Mineral	Processing	Processing
J01-0040																																																																															WWTP												AlpineLakeWWTP-01												Preston		
A1015	8511	OneStep RT-ddPCR	Human RNase P		119568					3/30/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				33192	SARS-CoV-2 N2				19920																																				CDC N1/N2/RP Triplex	0.005	Sample		3/26/21	100			PEG Precipitation	4				MVS	WWTP	Sample	3/29/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS	StarCityWWTP-01	EL	3/26/21 10:55	Composite	3/25/21 12:00	3/25/21 12:00	8.288		Pass	MVS	3/26/21		Monongalia	Processing	Complete
A0213	15295	OneStep RT-ddPCR	Human RNase P		11088					2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				59112	SARS-CoV-2 N2				36936																																				CDC N1/N2/RP Triplex	0.005	Sample		2/5/21	100			PEG Precipitation	4				MS	WWTP	Sample	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS	StarCityWWTP-01	GS	1/5/21 0:00	Composite	1/5/21 23:59	1/5/21 0:00	11.421 		Pass	TD	1/8/21		Monongalia	Processing	Complete
A02-0054	14197	OneStep RT-ddPCR	Human RNase P	45.63396931	48486.09239					8/27/21	Manual	DQ	58477036	QX One	CDC nCov-2 Triplex	C6	AP0005	F02	JL	SARS-CoV-2 N1	382.9641342	0	2615.09491	406899.3926	SARS-CoV-2 N2	188.1644058	0	2786.116028	199924.6812																																				CDC N1/N2/RP Triplex	0.005	Sample		8/27/21	10	NT04155	Kookaburra	Ceres Nanotrap	0.425		CP0005	C02	JL	WVU Morgantown	Sample	8/27/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	C6	EP0005	B02	JL	HonorsSummit-01 (MUB)	EL	8/27/21 10:17	Composite	8/27/21 9:38	8/25/21 9:38			Pass	JL	8/27/21	6.9	Monongalia	Processing	Complete
B01-0056	8316	OneStep RT-ddPCR	Human RNase P	0	0	None				2021-11-04	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	K7	AP0016	F07	JL	SARS-CoV-2 N1	0	0	1040.98007202148	0	SARS-CoV-2 N2	0	0	1205.93536376953	0																																					0.005	Sample		2021-11-03	10	NT04474	Halcyon	Nanotrap	0.425		CP0032	D05	JL	WWTP	Sample	2021-11-03	0.4	21108255	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	K7	EP0032	B11	JL	CharlestonWWTP-01	-	10/29/21 7:00	Composite	10/29/21 7:00	10/28/21 7:00			Pass	JL	11/3/21	7.12	Kanawha	Processing	Processing
A0022	12254	OneStep RT-ddPCR	Human RNase P		27648					12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				49795.2	SARS-CoV-2 N2				49795.2																																				CDC N1/N2/RP Triplex	0.005	Sample		12/4/20	100			PEG Precipitation	4.8				MS	WWTP	Sample	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS	StarCityWWTP-01	GG	11/19/20 0:00	Composite	11/19/20 23:59	11/19/20 0:00			Pass	TD	11/30/20		Monongalia	Processing	Complete
A03-0036																																																																			Sample		10/7/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0021	D05	JL	K-12	Sample	10/7/21	0.4	2108052	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	J1	EP0021	B09	JL	MountainviewES-01	BL	9/30/21 9:55	Composite	9/29/21 14:00	9/29/21 6:00			Pass	JL	10/6/21	7.44	Monongalia	Processing	Confirming
A1022	10709	OneStep RT-ddPCR	Human RNase P		26370					4/12/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				105540	SARS-CoV-2 N2				112140																																				CDC N1/N2/RP Triplex	0.005	Sample		4/9/21	100			PEG Precipitation	5				MVS	WWTP	Sample	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS	StarCityWWTP-01	GG	4/5/21 11:55	Composite	4/5/21 11:55	4/5/21 12:00	8.768		Pass	Josh Lambert	4/9/21		Monongalia	Processing	Complete
B01-0007	16078	OneStep RT-ddPCR	Human RNase P	6.161722541	6546.8302					10/11/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	H2	AP0012	B02	JL	SARS-CoV-2 N1	65.78440189	0	1593.187866	69895.92701	SARS-CoV-2 N2	49.32600498	0	2077.493896	52408.88029																																				CDC N1/N2/RP Triplex	0.005	Sample		10/7/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0021	A02	JL	WWTP	Sample	10/7/21	0.4	2108052	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	H2	EP0021	A02	JL	CharlestonWWTP-01	KM	10/1/21 7:20	Composite	10/1/21 7:00	9/30/21 7:00			Pass	JL	10/6/21	6.48	Kanawha	Processing	Complete
A01-0061	11182	OneStep RT-ddPCR	Human RNase P	44.2302083969116	46994.5964217186	None				2021-10-20	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	I7	AP0014	G05	JL	SARS-CoV-2 N1	107.560796737671	0	2152.00729370118	114283.346533775	SARS-CoV-2 N2	141.406946182251	0	2493.55224609376	150244.880318642																																				CDC N1/N2/RP Triplex	0.005	Sample		2021-10-18	10	NT04474	Halcyon	Nanotrap	0.425		CP0026	D03	JL	WWTP	Sample	2021-10-18	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	I7	EP0026	B07	JL	StarCityWWTP-01	GG	10/11/21 23:55	Composite	10/11/21 23:55	10/11/21 0:00	7.399 		Pass	JL	10/13/21	6.96	Monongalia	Processing	Complete
G01-0057	51.4	OneStep RT-ddPCR	Human RNase P			None				2021-11-01	OK	ABS	58477038	QX 200	CDC nCov-2 Triplex	B8	AP0015	B08	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		2021-10-25	10	NT04474	Halcyon	Nanotrap	0.425		CP0028	C04	JL	WWTP	Sample	2021-10-25	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	B8	EP0028	B08	JL	KeyserWWTP-01	--	10/21/21 9:00	Composite	10/21/21 8:00	10/20/21 9:00			Pass	JL	10/25/21	7.11	Mineral	Processing	Processing
G02-0012																																																																			Sample												WVU Keyser	Sample											PotomacState-01	Z	10/27/21 11:30	Composite	10/27/21 11:30	10/26/21 10:30			Pass	JL	11/2/21	7	Mineral	Processing	Processing
H01-0017		OneStep RT-ddPCR	Human RNase P			None				2021-11-01	CHECK	ABS	58477038	QX 200	CDC nCov-2 Triplex	C2	AP0015	C02	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		2021-10-25	10	NT04474	Halcyon	Nanotrap	0.425		CP0028	C06	JL	WWTP	Sample	2021-10-25	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	C2	EP0028	C02	JL	MoundsvilleWWTP-01	DRC	10/15/21 8:15	Composite	10/15/21 8:00	10/14/21 8:00			Pass	JL	10/25/21	7.1	Marshall	Processing	Processing
H01-0083																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
C01-0033																																																																			Sample												WWTP	Sample											WheelingWWTP-01	GZ	11/4/21 7:00	Composite	11/4/21 7:00	11/3/21 7:00			Pass	JL	11/5/21	6.51	Ohio	Processing	Processing
A03-0017	20164	OneStep RT-ddPCR	Human RNase P	0	0					10/11/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	H7	AP0012	G02	JL	SARS-CoV-2 N1	0	0	1593.187866	0	SARS-CoV-2 N2	3.177180886	0	2077.493896	3375.754692																																				CDC N1/N2/RP Triplex	0.005	Sample		10/7/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0021	B03	JL	K-12	Sample	10/7/21	0.4	2108052	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	H7	EP0021	A07	JL	UniversityHS-01	BL	9/30/21 11:45	Composite	9/29/21 14:00	9/29/21 6:00			Pass	JL	10/6/21	8.29	Monongalia	Processing	Complete
A02-0211																																																																			Sample												WVU Morgantown	Sample											CollegePark-02	EL	11/5/21 11:48	Composite	11/5/21 11:30	11/3/21 11:30			Pass	JL	11/5/21	7.36	Monongalia	Processing	Processing
A1048	15163	OneStep RT-ddPCR	Human RNase P		39102					5/17/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				6510	SARS-CoV-2 N2				6510																																				CDC N1/N2/RP Triplex	0.005	Sample		5/14/21	100			PEG Precipitation	7				MVS	WWTP	Sample	5/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS	StarCityWWTP-01	EL	5/14/21 10:54	Composite	5/13/21 11:59	5/13/21 12:00	9.878 		Pass	MVS	5/14/21		Monongalia	Processing	Complete
