Sample ID	Description	Category	Department	Site	Location	Sample QC Check	Status: NWSS	Status: WaTCH	Sample Collection Method	Sample Composite Start	Sample Composite End	Sample Collection Date/Time	Sample Collection By	Sample Flow (MGD)	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Spike-In (CN/L)	Assay Control, Process Result (CN/L)	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Control, Internal Concentration (CN/Rxn)	Concentration Input Volume (mL)	Concentration Method	Concentration Output Volume (mL)	Extraction Input Volume (mL)	Extraction Method	Extraction Output Volume (mL)	Assay Type	Assay Name	Assay Volume (mL)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Sample Received By	Sample Received Date	Sample pH (Lab)	Concentration Date	Concentration Lot ID	Concentration Machine	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Extraction Date	Extraction Lot ID	Extraction Machine	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Assay Date	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Comments
A03-0134	Sample	Sample	K-12	Monongalia	MountainviewES-01		Processing	Processing																																																																																																
A01-0041	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Submitted 12-09-2021	Complete	Composite	9/18/21 0:00	9/18/21 23:55	9/18/21 23:55	GG	7.348	13981	SARS-CoV-2 N1	104.5753288	0	1097.667847	111111.2869	SARS-CoV-2 N2	55.60320377	0	1200.682373	59078.40401					Human RNase P	23256.64699	21.88860893	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	9/24/21	6.54	9/27/21	NT04474	Halcyon		CP0017	A02	JL	9/27/21	2105049	Halcyon	K2	EP0017	A02	JL	9/29/21	OneStep RT-ddPCR	Manual	DQ	58477037	QX 200	K2	AP0010	A02	JL	
K01-0018	Sample	Sample	WWTP	Wood	ParkersburgWWTP-01		Processing	Processing																																																																																																
D01-0022	G	Sample	WWTP	Jefferson	CharlesTownWWTP-01	Pass	Processing	Complete	Composite	12/12/21 7:30	12/13/21 7:30	12/13/21 7:40	RS	1.35	14561	SARS-CoV-2 N1	253.443584442138	0	368.726463317872	451446.384787558	SARS-CoV-2 N2	139.381132125854	0	319.80276107788	248272.641599178	None				Human RNase P	5757.11072422564	3.23206216096878	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	12/14/21		2021-12-15	NT04474	Halcyon		CP0049	A04	AJ	2021-12-15	2108255	Halcyon	K4	EP0049	A04	AJ	2021-12-21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	K4	AP0028	A04	JL	
L01-0015	Sample	Sample	WWTP	Doddridge	WestUnionWWTP-01		Processing	Processing																																																																																																
H01-0038	Sample	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Processing	Complete	Composite	11/13/21 8:00	11/14/21 8:00	11/14/21 8:15	-	1.4	15794	SARS-CoV-2 N1	1.489816159	0	1030.216827	2653.735033	SARS-CoV-2 N2	5.95983088	0	1109.431686	10615.94876	None				Human RNase P	26544.91659	14.90240932	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	11/19/21	6.95	11/22/21	NT04474	Halcyon		CP0039	A03	AJ	11/22/21	2108255	Halcyon	C3	EP0039	A03	AJ	12/3/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	C3	AP0023	H05	JL	
F01-0024	Sample	Sample	WWTP	Lewis	WestonWWTP-01	Pass	Processing	Confirming	Composite	11/2/21 10:00	11/3/21 10:00	11/3/21 14:00	BP		6375	SARS-CoV-2 N1	14.76818562	0	560.2787018	15691.19722	SARS-CoV-2 N2	11.07527018	0	653.7683868	11767.47456	None				Human RNase P	35319.05413	33.24146271	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	11/5/21	6.81	11/5/21	NT04474	Kookaburra		CP00033	B01	JL	11/5/21	21108255	Kookaburra	A7	EP0033	A07	JL	11/8/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	A7	AP0017	A07	AJ	
I01-0048	Sample	Sample	WWTP	Morgan	WarmSpringsWWTP-01	Pass	Submitted 12-09-2021	Complete	Composite	11/15/21 7:00	11/16/21 7:00	11/16/21 9:00	-	0.638	12514	SARS-CoV-2 N1	0	0	1030.216827	0	SARS-CoV-2 N2	0	0	1109.431686	0	None				Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	11/19/21	6.77	11/29/21	NT04474	Halcyon		CP0040	A02	AJ	11/29/21	2108255	Halcyon	E2	EP0040	A02	AJ	12/3/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	E2	AP0023	A02	JL	
A02-0333	Sample	Sample	WVU Morgantown	Monongalia			Processing	Processing																																																																																																
L01-0046	Sample	Sample	WWTP	Doddridge	WestUnionWWTP-01		Processing	Processing																																																																																																
A1030	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Processing	Complete	Composite	4/15/21 12:00	4/16/21 12:00	4/15/21 12:00	EL	10.003	11104	SARS-CoV-2 N1				7632	SARS-CoV-2 N2				0					Human RNase P	68688		100	PEG Precipitation	6	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				MVS	4/16/21		4/16/21						JL	4/19/21						JL	4/19/21	OneStep RT-ddPCR	Manual	DQ		QX 200					
