Sample ID	Replicate (Bio.Tech)	Description	Category	Department	Site	Location	Sample QC Check	Status: NWSS	Status: WaTCH	Sample Collection Method	Sample Composite Start	Sample Composite End	Sample Collection Date/Time	Sample Collection By	Sample Flow (MGD)	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Spike-In (CN/L)	Assay Control, Process Result (CN/L)	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Control, Internal Concentration (CN/Rxn)	Concentration Input Volume (mL)	Concentration Method	Concentration Output Volume (mL)	Extraction Input Volume (mL)	Extraction Method	Extraction Output Volume (mL)	Assay Type	Assay Name	Assay Volume (mL)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Sample Received By	Sample Received Date	Sample pH (Lab)	Concentration Date	Concentration Lot ID	Concentration Machine	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Extraction Date	Extraction Lot ID	Extraction Machine	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Assay Date	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Comments
G01-0200	1.1	G01-0200	Sample	WWTP	Mineral	KeyserWWTP-01	Pass	Processing	Complete	Composite	06/07/2022 08:00 AM	06/08/2022 08:00 AM	06/08/2022 08:00 AM		0.71	19387	SARS-CoV-2 N1	143.65062713623	2.33334109187126	128.281364440918	255877.67958641	SARS-CoV-2 N2	152.19988822937	2.33334109187126	156.31685256958	271106.050908566					Human RNase P	10810.639411211	6.06913089752198	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	06/09/2022	6.97	2022-06-10	NT04473	Kookaburra		CP000165	D02	AJ	2022-06-10	2108255	Halcyon	K4	EP000166	C04	AJ	2022-06-13	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	K4	AP0090	D06	JL	
E02-0093	1.1	G	Sample	WWTP	Mercer	AthensWWTP-01	Pass	Processing	Complete	Composite	01/21/2022 08:00 AM	01/22/2022 08:00 AM	01/22/2022 08:00 AM		0.173	16998	SARS-CoV-2 N1	1127.041855	0	335.9238052	2007543.304	SARS-CoV-2 N2	1205.589676	0	415.0937271	2147456.61					Human RNase P	12330.2532	6.92224741	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	01/28/2022	7	1/31/22	NT04474	Kookaburra		CP000068	A03	AJ	1/31/22	2108255	Kookaburra	F3	EP000067	A03	AJ	2/2/22	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	F3	AP0040	D03	JL	
A02-0156 b	1.1	Ignore	Sample	WVU Morgantown	Monongalia	TowersBB-01	Pass	Rejected: No Flow	Complete	Composite	08/10/2021 09:00 AM	08/11/2021 09:00 AM	03/04/2021 12:00 PM	EL	11.448	12429	SARS-CoV-2 N1				5670	SARS-CoV-2 N2				0					Human RNase P	45450		100	PEG Precipitation	5	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	08/11/2021																3/15/21	OneStep RT-ddPCR	Manual	DQ		QX 200					Was A07-0018
T01-0004	1.1	Sample	Sample	WWTP	Mason	PointPleasantWWTP-01	Pass	Processing	Complete	Composite	07/27/2022 08:00 AM	07/28/2022 08:00 AM	07/28/2022 08:00 AM		0.2	19465	SARS-CoV-2 N1	348.28353881836	1.21238760650158	102.893466949463	620380.053520204	SARS-CoV-2 N2	339.697265625	0	133.849449157715	605085.754394531					Human RNase P	2153.24122924358	1.20883718132973	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	08/02/2022		2022-08-03	NT04473	Halcyon		CP000201	C01	AJ	2022-08-03	2108255	Kookaburra	I1	EP000203	B01	AJ	2022-08-04	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	I1	AP0105	A06	JL	
A02-0097	1.1	Sample	Sample	WVU Morgantown	Monongalia	Evansdale-01	Pass	Rejected: No Flow	Complete	Grab	09/13/2021 09:20 AM	09/13/2021 09:20 AM	09/13/2021 09:20 AM	EL		14905	SARS-CoV-2 N1	0	0	1320.22522	0	SARS-CoV-2 N2	0	0	1524.019623	0					Human RNase P	166605.5763	156.8052483	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	09/13/2021	7.79	9/13/21	NT04155	Halcyon		CP0011	C01	JL	9/13/21	2105033	Halcyon	B5	EP0011	B01	JL	9/20/21	OneStep RT-ddPCR	Manual	DQ	58477037	QX 200	B5	AP0008	B05	JL	
B01-0006	1.1	Sample	Sample	WWTP	Kanawha	CharlestonWWTP-01	Pass	Processing	Complete	Composite	09/19/2021 07:00 AM	09/20/2021 07:00 AM	09/20/2021 07:25 AM	KM		10015	SARS-CoV-2 N1	58.80885601	0	878.4640503	62484.40951	SARS-CoV-2 N2	32.91484833	0	968.4371185	34972.02635					Human RNase P	0	0	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	09/21/2021	6.65	9/24/21		Halcyon		CP0016	B03	JL	9/24/21	XXXXXX	Halcyon	I1	EP0016	A09	JL	9/24/21	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	I1	AP0009	B01	JL	
S01-0039	1.1	S01-0039	Sample	WWTP	Brooke	FollansbeeWWTP-01	Pass	Processing	Complete	Composite	03/31/2022 06:00 AM	04/01/2022 06:00 AM	04/01/2022 06:00 AM		0.745	15602	SARS-CoV-2 N1	1.508150548	0	60.10069847	2686.393163	SARS-CoV-2 N2	1.508150548	0	36.04199409	2686.393163					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	04/14/2022	7.21	4/18/22	NT04473	Halcyon		CP000120	C06	AJ	4/18/22	2108255	Halcyon	F2	EP000121	C02	AJ	4/19/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	F2	AP0066	C02	JL	
B01-0160	1.1	B01-0160	Sample	WWTP	Kanawha	CharlestonWWTP-01	Pass	Processing	Complete	Composite	05/09/2022 07:00 AM	05/10/2022 07:00 AM	05/10/2022 08:10 AM		17.2	11930	SARS-CoV-2 N1	15.78360677	0	14.88143802	28114.54955	SARS-CoV-2 N2	13.81007671	0	11.16019487	24599.19915					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	05/13/2022	6.95	5/13/22	NT04473	Kookaburra		CP000143	A02	AJ	5/13/22	2108255	Halcyon	J2	EP000143	D02	AJ	5/16/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	J2	AP0080	D02	JL	
J01-0046	1.1	J01-0046	Sample	WWTP	Preston	AlpineLakeWWTP-01	Pass	Processing	Complete	Composite	05/10/2022 07:30 AM	05/11/2022 07:30 AM	05/11/2022 07:30 AM		0.236	17949	SARS-CoV-2 N1	1.3109402358532	0	10.0329482555389	2335.11229511351	SARS-CoV-2 N2	1.3109402358532	0	15.7679808139801	2335.11229511351					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	05/18/2022	7.08	2022-05-18	NT04473	Halcyon		CP000145	D02	AJ	2022-05-18	2108255	Halcyon	F4	EP000146	C04	AJ	2022-05-19	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	F4	AP0082	D03	JL	
Q01-0090	1.1	Sample	Sample	WWTP	Boone	MadisonWWTP-01	Pass	Processing	Complete	Composite	08/01/2022 08:00 AM	08/03/2022 08:00 AM	08/03/2022 08:00 AM		0.647	17074	SARS-CoV-2 N1	12.40602850914	0	103.761005401611	22098.2382819057	SARS-CoV-2 N2	17.9219198226929	1.65252044796944	120.879535675049	31923.4196841717					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	08/05/2022		2022-08-08	NT04473	Kookaburra		CP000206	A04	AJ	2022-08-08	2108255	Kookaburra	I4	EP000206	A04	AJ	2022-08-10	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	I4	AP00106	D06	JL	
