"assay_id"	"location_id"	"target"	"abundance"	"abundance_per_person"	"epi_week"
"J01-0156.a2"	"AlpineLakeWWTP-01"	"SARS-CoV-2"	599128.185646261	855.897408066087	42
"Q01-0001.a1"	"MadisonWWTP-01"	"SARS-CoV-2"	42792.2126967315	9.39455822101679	18
"Q01-0441.a2"	"MadisonWWTP-01"	"SARS-CoV-2"	402501.98993244	88.3648715548716	34
"D01-0606.a1"	"CharlesTownWWTP-01"	"SARS-CoV-2"	769845.587923433	45.2850345837313	28
"M04-0075.a1"	"FarmingtonWWTP-01"	"SARS-CoV-2"	122917.390951643	201.503919592857	22
"A01-0431.a1"	"StarCityWWTP-01"	"SARS-CoV-2"	26886402.9144122	556.3317934616	49
"H01-0247.a1"	"MoundsvilleWWTP-01"	"SARS-CoV-2"	1251520.85255312	104.293404379427	24
"A04-0440.a2"	"CheatLakeWWTP-01"	"SARS-CoV-2"	184995.142895679	92.4975714478395	24
"J01-0036.a2"	"AlpineLakeWWTP-01"	"SARS-CoV-2"	1099.1316476	1.570188068	17
"O01-0234.a2"	"GraftonWWTP-01"	"SARS-CoV-2"	361245.862019568	59.5035186986605	1
"K01-0451.a3"	"ParkersburgWWTP-01"	"Influenza Virus B (FluB)"	174396.800450322	3.62948596150513	33
"R02-0307.a2"	"ElkinsWWTP-01"	"SARS-CoV-2"	8664.39088031	0.658588543653846	22
"G01-0139.a2"	"KeyserWWTP-01"	"SARS-CoV-2"	7277.04190072	0.890920898716944	12
"M03-0494.a1"	"ManningtonWWTP-01"	"SARS-CoV-2"	2428.47300435	2.22591476109074	46
"D01-0309.a1"	"CharlesTownWWTP-01"	"SARS-CoV-2"	436394.511209437	25.670265365261	22
"H01-0559.a2"	"MoundsvilleWWTP-01"	"SARS-CoV-2"	2960941.63849477	246.745136541231	16
"Q01-0388.a1"	"MadisonWWTP-01"	"SARS-CoV-2"	1134519.38788463	249.071215781477	24
"T01-0230.a2"	"PointPleasantWWTP-01"	"SARS-CoV-2"	1192379.72355627	216.206658849732	38
"A01-0445.a1"	"StarCityWWTP-01"	"SARS-CoV-2"	78811308.03816	1630.75873278762	52
"Q01-0435.a2"	"MadisonWWTP-01"	"SARS-CoV-2"	18447.2342097119	4.04988676393235	33
"C01-0468.a1"	"WheelingWWTP-01"	"SARS-CoV-2"	1338313.34904411	26.7662669808823	29
"J01-0518.a2"	"AlpineLakeWWTP-01"	"Respiratory Syncitial Virus, Human (RSV)"	901.1168505	1.28730978642857	5
"C01-0222.a2"	"WheelingWWTP-01"	"SARS-CoV-2"	12706008.9634215	254.12017926843	28
"A01-0846.a3"	"StarCityWWTP-01"	"SARS-CoV-2"	1625728.78277567	33.6394798621021	14
"A0246.a1"	"StarCityWWTP-01"	"SARS-CoV-2"	9482.73595575	0.196216188457002	46
"M03-0142.a1"	"ManningtonWWTP-01"	"SARS-CoV-2"	49579.1289912584	45.4437479296594	41
"A01-1193.a1"	"StarCityWWTP-01"	"Influenza Virus B (FluB)"	140080.910686368	2.89854557785069	11
"G01-0319.a2"	"KeyserWWTP-01"	"SARS-CoV-2"	1562434.95762016	191.28733565379	9
"G01-0619.a3"	"KeyserWWTP-01"	"Respiratory Syncitial Virus, Human (RSV)"	1606.47500826	0.196679114625367	14
"K01-0454.a2"	"ParkersburgWWTP-01"	"Respiratory Syncitial Virus, Human (RSV)"	597655.83862062	12.4382068391388	17
"C01-0379.a1"	"WheelingWWTP-01"	"SARS-CoV-2"	2347154.65194264	46.9430930388528	12
"L01-0058.a2"	"WestUnionWWTP-01"	"SARS-CoV-2"	2947.32779682	5.225758505	14
"C01-0711.a5"	"WheelingWWTP-01"	"SARS-CoV-2"	901058.900755372	18.0211780151074	33
"A01-0758.a2"	"StarCityWWTP-01"	"SARS-CoV-2"	25458919.5175789	526.794394917624	52
"H01-0360.a2"	"MoundsvilleWWTP-01"	"SARS-CoV-2"	12179680.9050302	1014.97340875251	40
"Q01-0161.a2"	"MadisonWWTP-01"	"SARS-CoV-2"	838371.870534489	184.055295397253	44
"C01-0676.a1"	"WheelingWWTP-01"	"Influenza Virus A (FluA)"	59103.877576	1.18207755152	26
"M03-0228.a2"	"ManningtonWWTP-01"	"SARS-CoV-2"	10609.8183570509	9.72485642259482	14
"D01-0568.a3"	"WheelingWWTP-01"	"Influenza Virus A (FluA)"	88583.2831439053	1.77166566287811	52
"M03-0296.a2"	"ManningtonWWTP-01"	"SARS-CoV-2"	7444.2358896	6.82331428927589	30
"M03-0071.a2"	"ManningtonWWTP-01"	"SARS-CoV-2"	274403.694560038	251.515760366671	19
"L01-0138.a2"	"WestUnionWWTP-01"	"SARS-CoV-2"	879939.211529688	1560.17590696753	23
"O01-0370.a1"	"GraftonWWTP-01"	"SARS-CoV-2"	1224.8451137	0.201753436616702	20
"A04-0160.a2"	"CheatLakeWWTP-01"	"SARS-CoV-2"	1316999.32597921	658.499662989603	42
"A04-0678.a4"	"CheatLakeWWTP-01"	"Influenza Virus B (FluB)"	2525.55741462	1.26277870731	35
"C01-0148.a1"	"WheelingWWTP-01"	"SARS-CoV-2"	19384389.0811593	387.687781623185	50
"O01-0436.a1"	"GraftonWWTP-01"	"SARS-CoV-2"	2125758.64905999	350.149670410145	36
"A01-0165.a1"	"StarCityWWTP-01"	"SARS-CoV-2"	12915298.6344266	267.242564029686	5
"N02-0561.a4"	"ClarksburgWWTP-01"	"Influenza Virus B (FluB)"	43788.2601324	1.65251189268624	29
"O01-0498.a5"	"GraftonWWTP-01"	"Respiratory Syncitial Virus, Human (RSV)"	5357.6421894	0.882497478076099	36
"A01-1056.a4"	"StarCityWWTP-01"	"Influenza Virus A (FluA)"	1831.381358	0.0378948302847211	40
"A01-0595.a2"	"StarCityWWTP-01"	"SARS-CoV-2"	12294904.8879318	254.405414830571	25
"T01-0407.a5"	"PointPleasantWWTP-01"	"Influenza Virus B (FluB)"	7832.9596425	1.42030093245694	29
"A1049.a2"	"StarCityWWTP-01"	"SARS-CoV-2"	12945.73880064	0.267872430074491	20
"D01-0382.a2"	"CharlesTownWWTP-01"	"SARS-CoV-2"	7033626.1123055	413.742712488559	34
"M04-0132.a2"	"FarmingtonWWTP-01"	"SARS-CoV-2"	109.11822866	0.178882342065574	42
"D01-0059.a5"	"CharlesTownWWTP-01"	"SARS-CoV-2"	316529.299035722	18.6193705315131	9
"A01-1316.a4"	"StarCityWWTP-01"	"Respiratory Syncitial Virus, Human (RSV)"	17134.279824	0.354541463002814	32
"M04-0052.a2"	"FarmingtonWWTP-01"	"SARS-CoV-2"	9089.06673394961	14.9001093999174	21
"L01-0318.a2"	"WestUnionWWTP-01"	"SARS-CoV-2"	40181.5165746404	71.2438237139015	2
"R02-0127.a2"	"ElkinsWWTP-01"	"SARS-CoV-2"	1716983.51887124	130.50954080809	40
"L01-0618.a3"	"WestUnionWWTP-01"	"Influenza Virus B (FluB)"	13774.7672090957	24.423346115418	51
"K01-0077.a2"	"ParkersburgWWTP-01"	"SARS-CoV-2"	1542777.2173109	32.1077464580833	18
"A01-0239.a2"	"StarCityWWTP-01"	"SARS-CoV-2"	4648096.90051531	96.1781348393335	17
"J01-0087.a1"	"AlpineLakeWWTP-01"	"SARS-CoV-2"	24681.3293645891	35.259041949413	27
"A01-1207.a5"	"StarCityWWTP-01"	"Influenza Virus A (FluA)"	2962.461866	0.0612990785052144	13
"D01-0025.a2"	"CharlesTownWWTP-01"	"SARS-CoV-2"	35808.6971409804	2.10639394946944	13
"G01-0209.a1"	"KeyserWWTP-01"	"SARS-CoV-2"	1323412.60783553	162.024070498962	43
"Q01-0297.a1"	"MadisonWWTP-01"	"SARS-CoV-2"	471157.148695657	103.43735426908	10
"M03-0118.a1"	"ManningtonWWTP-01"	"SARS-CoV-2"	394105.455650302	361.233231576812	30
"L01-0273.a2"	"WestUnionWWTP-01"	"SARS-CoV-2"	3507836.07530739	6219.56750941026	46
"O01-0104.a1"	"GraftonWWTP-01"	"SARS-CoV-2"	975854.386650859	160.74030417573	30
"A01-1186.a5"	"StarCityWWTP-01"	"Influenza Virus A (FluA)"	799694.022094485	16.547219460654	10
"A01-1307.a2"	"StarCityWWTP-01"	"Respiratory Syncitial Virus, Human (RSV)"	66361.265628	1.37314322190035	30
"A01-1332.a3"	"StarCityWWTP-01"	"Influenza Virus B (FluB)"	43923.626394	0.90886497256249	34
"J01-0542.a2"	"AlpineLakeWWTP-01"	"Respiratory Syncitial Virus, Human (RSV)"	771.87159687	1.10267370981429	30
"T01-0100.a1"	"PointPleasantWWTP-01"	"SARS-CoV-2"	1700637.56922586	308.365833041861	4
"A01-0255.a1"	"StarCityWWTP-01"	"SARS-CoV-2"	5158242.31743244	106.734032391832	20
"A01-0182.a2"	"StarCityWWTP-01"	"SARS-CoV-2"	8496577.8850089	175.810666384061	8
"Q01-0113.a1"	"MadisonWWTP-01"	"SARS-CoV-2"	2068007.43640474	454.008218749669	34
"C01-0617.a5"	"WheelingWWTP-01"	"Influenza Virus A (FluA)"	167474.017831458	3.34948035662916	10
"A01-0698.a1"	"StarCityWWTP-01"	"SARS-CoV-2"	24790633.3027666	512.966257713263	42
"H01-0491.a2"	"MoundsvilleWWTP-01"	"SARS-CoV-2"	5537340.71374259	461.445059478549	6
"H01-0683.a2"	"MoundsvilleWWTP-01"	"SARS-CoV-2"	186946.836787523	15.5789030656269	34
"M03-0338.a1"	"ManningtonWWTP-01"	"SARS-CoV-2"	55696.1045921178	51.0505083337468	45
"C01-0580.a1"	"WheelingWWTP-01"	"SARS-CoV-2"	7469960.7709488	149.399215418976	3
"C01-0990.a2"	"WheelingWWTP-01"	"SARS-CoV-2"	375428.363511722	7.50856727023445	38
"A01-0069.a2"	"StarCityWWTP-01"	"SARS-CoV-2"	66525.52213872	1.37654200750538	42
"R02-0217.a1"	"ElkinsWWTP-01"	"SARS-CoV-2"	4107127.76622463	312.186665112848	52
"A01-0925.a4"	"StarCityWWTP-01"	"Respiratory Syncitial Virus, Human (RSV)"	42759.99136	0.884787108094686	26
"D01-0365.a1"	"CharlesTownWWTP-01"	"SARS-CoV-2"	4918064.99007149	289.297940592441	35
"R02-0193.a1"	"ElkinsWWTP-01"	"SARS-CoV-2"	6307715.84799082	479.455446031531	52
"A01-0343.a2"	"StarCityWWTP-01"	"SARS-CoV-2"	79028140.7865167	1635.24542266423	35
"M04-0212.a5"	"FarmingtonWWTP-01"	"Respiratory Syncitial Virus, Human (RSV)"	685.29169935	1.12342901532787	11
"Q01-0333.a1"	"MadisonWWTP-01"	"SARS-CoV-2"	38161.0743059603	8.377842877269	16
"K01-0244.a2"	"ParkersburgWWTP-01"	"SARS-CoV-2"	18601592.3690826	387.129914028774	13
"C01-0514.a2"	"WheelingWWTP-01"	"SARS-CoV-2"	2111919.82604415	42.2383965208831	41
"K01-0166.a1"	"ParkersburgWWTP-01"	"SARS-CoV-2"	7134296.85646569	148.476521466508	38
"O01-0092.a2"	"GraftonWWTP-01"	"SARS-CoV-2"	573383.710138177	94.4463367053496	24
"L01-0208.a1"	"WestUnionWWTP-01"	"SARS-CoV-2"	1145295.64217306	2030.66603222173	35
"J01-0144.a1"	"AlpineLakeWWTP-01"	"SARS-CoV-2"	89289.0090463805	127.555727209115	39
"G01-0607.a4"	"KeyserWWTP-01"	"SARS-CoV-2"	366044.26439276	44.8144300187022	50
"C01-0873.a1"	"WheelingWWTP-01"	"Influenza Virus B (FluB)"	48646.30391	0.9729260782	10
"A01-0510.a2"	"StarCityWWTP-01"	"SARS-CoV-2"	24139634.0616118	499.495821503307	10
"T01-0060.a2"	"PointPleasantWWTP-01"	"SARS-CoV-2"	150642.70590471	27.3150871994034	44
"A04-0515.a1"	"CheatLakeWWTP-01"	"SARS-CoV-2"	2344901.39577157	1172.45069788579	43
"G01-0574.a1"	"KeyserWWTP-01"	"Influenza Virus A (FluA)"	605.23784867	0.074098659239716	34
"M04-0410.a3"	"FarmingtonWWTP-01"	"Influenza Virus B (FluB)"	3951.19320159955	6.47736590426156	24
"A01-0851.a1"	"StarCityWWTP-01"	"Respiratory Syncitial Virus, Human (RSV)"	51384.669504	1.06324841714948	15
"J01-0266.a2"	"AlpineLakeWWTP-01"	"SARS-CoV-2"	30890.2303645815	44.1289005208307	16
"O01-0064.a2"	"GraftonWWTP-01"	"SARS-CoV-2"	94882.9483013627	15.6288829354905	19
"N02-0098.a2"	"ClarksburgWWTP-01"	"SARS-CoV-2"	2292112.88175857	86.5013541308239	22
"C01-0332.a1"	"WheelingWWTP-01"	"SARS-CoV-2"	42999407.7932465	859.988155864931	2
"N02-0026.a2"	"ClarksburgWWTP-01"	"SARS-CoV-2"	5186567.18071619	195.734288652585	4
"A04-0552.a4"	"CheatLakeWWTP-01"	"SARS-CoV-2"	869162.479920837	434.581239960418	32
"R02-0468.a3"	"ElkinsWWTP-01"	"Respiratory Syncitial Virus, Human (RSV)"	5972.13915093	0.453947943974612	24
