"county"	"target"	"epi_year"	"epi_week"	"abundance_per_person"	"abundance_alert_level"	"trend_alert_level"	"county_fips"
"Kanawha"	"SARS-CoV-2"	2022	11	34.0503280792847	"UNKNOWN"	NA	54039
"Kanawha"	"SARS-CoV-2"	2022	12	10.334712136206	"UNKNOWN"	"UNKNOWN"	54039
"Kanawha"	"SARS-CoV-2"	2022	13	37.400216575546	"UNKNOWN"	"UNKNOWN"	54039
"Kanawha"	"SARS-CoV-2"	2022	14	28.2480252252319	"UNKNOWN"	"DECREASING"	54039
"Kanawha"	"SARS-CoV-2"	2022	15	28.1840439399078	"UNKNOWN"	"INCREASING"	54039
"Kanawha"	"SARS-CoV-2"	2022	16	11.3344494087643	"UNKNOWN"	"STABLE"	54039
"Kanawha"	"SARS-CoV-2"	2022	17	78.7082440086864	"UNKNOWN"	"STABLE"	54039
"Kanawha"	"SARS-CoV-2"	2022	18	61.0869598643427	"UNKNOWN"	"DECREASING"	54039
"Kanawha"	"SARS-CoV-2"	2022	19	66.752201985221	"UNKNOWN"	"INCR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	20	283.121767867097	"UNKNOWN"	"DECREASING"	54039
"Kanawha"	"SARS-CoV-2"	2022	21	239.099558795867	"UNKNOWN"	"STABLE"	54039
"Kanawha"	"SARS-CoV-2"	2022	22	90.6287945093697	"MODERATE"	"INCR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	23	13.3390420079656	"LOW"	"DECREASING"	54039
"Kanawha"	"SARS-CoV-2"	2022	24	86.002582361242	"MODERATE"	"DECR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	25	386.908959163195	"VERY HIGH"	"DECR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	26	188.155733154241	"MODERATE"	"INCR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	27	200.154030484535	"MODERATE"	"INCR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	28	34.5155945281325	"LOW"	"DECR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	29	684.70729145801	"VERY HIGH"	"SURGING"	54039
"Kanawha"	"SARS-CoV-2"	2022	30	723.427236945384	"VERY HIGH"	"DECR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	31	55.4011943490965	"LOW"	"INCR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	32	307.438179154287	"MODERATE"	"INCREASING"	54039
"Kanawha"	"SARS-CoV-2"	2022	33	179.488175804964	"MODERATE"	"DECR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	34	390.013994168018	"MODERATE"	"INCR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	35	96.2395183750027	"LOW"	"DECR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	36	628.743047531289	"HIGH"	"SURGING"	54039
"Kanawha"	"SARS-CoV-2"	2022	37	843.065560516164	"HIGH"	"DECR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	38	22.1342327208776	"LOW"	"INCR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	39	153.317426951335	"LOW"	"INCR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	40	1521.93791607492	"VERY HIGH"	"SURGING"	54039
"Kanawha"	"SARS-CoV-2"	2022	41	371.580733048843	"MODERATE"	"INCR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	42	139.947319355058	"LOW"	"INCR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	43	348.599319412187	"MODERATE"	"DECR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	44	227.056580874171	"MODERATE"	"DECR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	45	351.233180431145	"MODERATE"	"INCR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	46	274.619778457721	"MODERATE"	"DECR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	47	241.545967010095	"MODERATE"	"INCR. RAPIDLY"	54039
"Kanawha"	"SARS-CoV-2"	2022	48	703.623971827758	"HIGH"	"DECR. RAPIDLY"	54039
