,geo_value,time_value,value,location_name
0,54001,2021-01-07,0.0,Barbour County
1,54003,2021-01-07,5.857142857142858,Berkeley County
2,54005,2021-01-07,1.2857142857142858,Boone County
3,54007,2021-01-07,0.0,Braxton County
4,54009,2021-01-07,,Brooke County
5,54011,2021-01-07,7.142857142857142,Cabell County
6,54013,2021-01-07,0.0,Calhoun County
7,54015,2021-01-07,,Clay County
8,54017,2021-01-07,,Doddridge County
9,54019,2021-01-07,0.5714285714285714,Fayette County
10,54021,2021-01-07,,Gilmer County
11,54023,2021-01-07,1.0,Grant County
12,54025,2021-01-07,0.4285714285714285,Greenbrier County
13,54027,2021-01-07,0.1428571428571428,Hampshire County
14,54029,2021-01-07,6.0,Hancock County
15,54031,2021-01-07,,Hardy County
16,54033,2021-01-07,6.571428571428571,Harrison County
17,54035,2021-01-07,0.0,Jackson County
18,54037,2021-01-07,1.0,Jefferson County
19,54039,2021-01-07,13.0,Kanawha County
20,54041,2021-01-07,1.7142857142857142,Lewis County
21,54043,2021-01-07,,Lincoln County
22,54045,2021-01-07,2.4285714285714284,Logan County
23,54047,2021-01-07,0.7142857142857143,McDowell County
24,54049,2021-01-07,,Marion County
25,54051,2021-01-07,2.4285714285714284,Marshall County
26,54053,2021-01-07,0.7142857142857143,Mason County
27,54055,2021-01-07,5.142857142857143,Mercer County
28,54057,2021-01-07,0.4285714285714285,Mineral County
29,54059,2021-01-07,,Mingo County
30,54061,2021-01-07,9.285714285714286,Monongalia County
31,54063,2021-01-07,,Monroe County
32,54065,2021-01-07,0.1428571428571428,Morgan County
33,54067,2021-01-07,0.7142857142857143,Nicholas County
34,54069,2021-01-07,8.285714285714286,Ohio County
35,54071,2021-01-07,,Pendleton County
36,54073,2021-01-07,,Pleasants County
37,54075,2021-01-07,0.2857142857142857,Pocahontas County
38,54077,2021-01-07,1.1428571428571428,Preston County
39,54079,2021-01-07,,Putnam County
40,54081,2021-01-07,3.0,Raleigh County
41,54083,2021-01-07,2.0,Randolph County
42,54085,2021-01-07,,Ritchie County
43,54087,2021-01-07,0.0,Roane County
44,54089,2021-01-07,0.1428571428571428,Summers County
45,54091,2021-01-07,0.7142857142857143,Taylor County
46,54093,2021-01-07,,Tucker County
47,54095,2021-01-07,0.0,Tyler County
48,54097,2021-01-07,1.2857142857142858,Upshur County
49,54099,2021-01-07,,Wayne County
50,54101,2021-01-07,0.0,Webster County
51,54103,2021-01-07,0.7142857142857143,Wetzel County
52,54105,2021-01-07,,Wirt County
53,54107,2021-01-07,5.428571428571429,Wood County
54,54109,2021-01-07,,Wyoming County
55,54001,2021-01-08,0.0,Barbour County
56,54003,2021-01-08,5.571428571428571,Berkeley County
57,54005,2021-01-08,1.5714285714285714,Boone County
58,54007,2021-01-08,0.0,Braxton County
59,54009,2021-01-08,,Brooke County
60,54011,2021-01-08,7.857142857142858,Cabell County
61,54013,2021-01-08,0.0,Calhoun County
62,54015,2021-01-08,,Clay County
63,54017,2021-01-08,,Doddridge County
64,54019,2021-01-08,0.8571428571428571,Fayette County
65,54021,2021-01-08,,Gilmer County
66,54023,2021-01-08,0.8571428571428571,Grant County
67,54025,2021-01-08,0.4285714285714285,Greenbrier County
68,54027,2021-01-08,0.1428571428571428,Hampshire County
69,54029,2021-01-08,5.857142857142858,Hancock County
70,54031,2021-01-08,,Hardy County
71,54033,2021-01-08,7.0,Harrison County
72,54035,2021-01-08,0.0,Jackson County
73,54037,2021-01-08,1.1428571428571428,Jefferson County
74,54039,2021-01-08,13.714285714285715,Kanawha County
75,54041,2021-01-08,1.2857142857142858,Lewis County
76,54043,2021-01-08,,Lincoln County
77,54045,2021-01-08,2.142857142857143,Logan County
78,54047,2021-01-08,0.5714285714285714,McDowell County
79,54049,2021-01-08,,Marion County
80,54051,2021-01-08,2.2857142857142856,Marshall County
81,54053,2021-01-08,0.8571428571428571,Mason County
82,54055,2021-01-08,4.714285714285714,Mercer County
83,54057,2021-01-08,0.5714285714285714,Mineral County
84,54059,2021-01-08,,Mingo County
85,54061,2021-01-08,9.0,Monongalia County
86,54063,2021-01-08,,Monroe County
87,54065,2021-01-08,0.1428571428571428,Morgan County
