location_id	location_primary_lab	location_status	location_common_name	location_category	location_group	location_lng	location_lat	location_primary_wwtp_id	location_counties_served	location_population_served	location_sampler_type	location_collection_window_hrs	location_collection_pull_ml	location_collection_step_min	location_collection_basis	location_collection_type	location_zipcode	location_comment
3HG	MUIDSL	inactive	MU 3rd Ave Hal Greer	higher ed dorm	non-sentinel				Cabell							raw wastewater		
AlpineLakeWWTP-01	ZooWVU	active	Alpine Lake	wwtp	non-sentinel	-79.50179	39.45709	AlpineLakeWWTP	Preston	700	WVU ISCO	24	25	20	time	raw wastewater	26764	
AthensWWTP-01	ZooWVU	inactive	Athens	wwtp	non-sentinel	-81.01598	37.42163	AthensWWTP	Mercer	2,391	WVU HACH	24	25	20	time	raw wastewater	24740	
BelingtonWWTP-01	ZooWVU	withdrawn	Belington	wwtp	non-sentinel	-79.93694	39.02201	BelingtonWWTP	Barbour	1,974	Facility hardware	24			flow	raw wastewater	26250	
BlacksvilleWWTP-01	ZooWVU	withdrawn	Blacksville	wwtp	non-sentinel	-80.21201	39.72007	BlacksvilleWWTP	Monongalia	400	Facility hardware	24			flow	raw wastewater	26521	
BridgeportWWTP-01	ZooWVU	withdrawn	Bridgeport	wwtp	non-sentinel	-80.25899	39.28048	BridgeportWWTP	Harrison	6,984	Facility hardware	24			flow	raw wastewater	26330	
BrookhavenES-01	ZooWVU	inactive	Brookhaven Elementary	k12	non-sentinel	-79.90501	39.61021	StarCityWWTP	Monongalia	579	WVU ISCO	8			time	raw wastewater	26508	
BV	MUIDSL	inactive	Barboursville	wwtp	non-sentinel	-82.28569877	38.41494682	BarboursvilleLagoon	Cabell	4000	Facility hardware	0.08333333	250	5	grab	raw wastewater	25504	lagoon - plan to pump into PeaRidge some day when new pearidge plant comes to be
CameronWWTP-01	ZooWVU	withdrawn	Cameron	wwtp	non-sentinel	-80.56744	39.82661	CameronWWTP	Marshall	1,340	WVU ISCO	24	25	30	time	raw wastewater	26033	
CharlestonWWTP-01	ZooWVU	active	Charleston	wwtp	non-sentinel	-81.67768	38.37287	CharlestonWWTP	Kanawha	50,000	Facility hardware	24			flow	raw wastewater	25312	
CharlesTownWWTP-01	ZooWVU	active	Charles Town	wwtp	sentinel	-77.85589	39.27924	CharlesTownWWTP	Jefferson	17,000	Facility hardware	24			flow	raw wastewater	25414	
CheatLakeES-01	ZooWVU	inactive	Cheat Lake Elementary	k12	non-sentinel	-79.86761	39.65267	StarCityWWTP	Monongalia	830	WVU ISCO	8			time	raw wastewater	26508	
CheatLakeWWTP-01	ZooWVU	active	Cheat Lake	wwtp	non-sentinel	-79.857	39.67712	CheatLakeWWTP	Monongalia	2,000	WVU ISCO	24	25	20	time	raw wastewater	26508	
