assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated
4856	4856	11/01/2023 8:30	11/02/2023 8:30	Routine Surveillance	0.468	Pass	SRCM	SARS-CoV-2	N1	MUIDSL	980677.4139	980677.4139	13620.5196375	1737340.52981636	24129.7295807828	100	0	NA	yes
4336	4336	07/16/2023 7:0	07/17/2023 7:0	Routine Surveillance	9.487	Pass	CSB	SARS-CoV-2	N1	MUIDSL	39138.168	39138.168	79.0670060606061	1405537.11686148	2839.46892295249	100	0	NA	yes
6814	6814	01/22/2025 12:15	01/23/2025 12:15	Routine Surveillance	0.848	Pass	PRPSD	Influenza Virus B (FluB)	NEP/NS1	MUIDSL	0	0	0	0	0	100	0	NA	yes
2080	2080	07/20/2022 8:0	07/23/2022 8:0	Routine Surveillance	2.02	Pass	HRSB	SARS-CoV-2	N1	MUIDSL	541820.6	180606.866666667	628.001205419753	4143046.49724092	14406.0867806284	100	0	NA	yes
2229	2229	08/10/2022 8:0	08/13/2022 8:0	Routine Surveillance	2.1	Pass	HRSB	SARS-CoV-2	del69/70	MUIDSL	82122.68353	27374.2278433333	95.1849085271857	652822.857668724	2269.97759890373	100	0	NA	yes
5097_98_5114_15	5097_98_5114_15	12/26/2023 7:0	12/27/2023 7:0	Routine Surveillance	9.047	Pass	CSB	Influenza Virus A (FluA)	M	MUIDSL	295554.3464	295554.3464	597.079487676768	10121732.7414393	20447.9449322006	100	0	NA	yes
6665	6665	12/05/2024 0:0	12/06/2024 0:0	Routine Surveillance	5.84	Pass	HSB	Respiratory Syncitial Virus, Human (RSV)	G	MUIDSL	4423.327371	4423.327371	7.89879887678571	97785.5887545895	174.617122776053	100	0	NA	yes
5778	5778	05/26/2024 0:0	05/27/2024 0:0	Routine Surveillance	9.68	Pass	HSB	SARS-CoV-2	N2	MUIDSL	28268.67029	28268.67029	50.479768375	1035842.3497199	1849.71848164268	100	0	NA	yes
7389	7389	06/23/2025 7:0	06/24/2025 7:0	Routine Surveillance	7.186	Pass	CSB	Influenza Virus A (FluA)	M	MUIDSL	49760.77317	49760.77317	100.526814484848	1353590.37523412	2734.52601057398	100	0	NA	yes
1134	1134	03/23/2022 9:0	03/26/2022 9:0	Routine Surveillance	2.18	Pass	HRSB	SARS-CoV-2	N2	MUIDSL	39406.1476	13135.3825333333	45.6739891280411	325187.166906605	1130.73182971106	100	0	NA	yes
5069_70_85_86	5069_70_85_86	12/19/2023 7:0	12/20/2023 7:0	Routine Surveillance	7.1305	Pass	CSB	Influenza Virus B (FluB)	NEP/NS1	MUIDSL	38667.74142	38667.74142	78.1166493333333	1043714.49512463	2108.51413156491	100	0	NA	yes
7603	7603	08/25/2025 7:0	08/26/2025 7:0	Routine Surveillance	5.253	Pass	CSB	SARS-CoV-2	N1	MUIDSL	30160.93075	30160.93075	60.9311732323232	599742.831035988	1211.60167886058	100	0	NA	yes
3232	3232	01/04/2023 23:40	01/05/2023 23:40	Routine Surveillance	16.97	Pass	HSB	SARS-CoV-2	N1	MUIDSL	490000	490000	875	31476819.773	56208.6067375	100	0	NA	yes
7488	7488	07/21/2025 8:30	07/22/2025 8:30	Routine Surveillance	0.614	Pass	SRCM	SARS-CoV-2	N1	MUIDSL	0	0	0	0	0	100	0	NA	yes
4646	4646	09/20/2023 7:0	09/21/2023 7:0	Routine Surveillance	6.355	Pass	CSB	SARS-CoV-2	N1	MUIDSL	194477.1171	194477.1171	392.883064848485	4678396.0895128	9451.305231339	100	0	NA	yes
2980_86_87_3000	2980_86_87_3000	11/23/2022 5:30	11/24/2022 5:30	Routine Surveillance	0.72075	Pass	PRPSD	Influenza Virus B (FluB)	NEP/NS1	MUIDSL	0	0	0	0	0	100	0	NA	yes
2867	2867	11/08/2022 8:45	11/09/2022 8:45	Routine Surveillance	0.572	Pass	PRPSD	SARS-CoV-2	N2	MUIDSL	2242077.065	2242077.065	32029.6723571429	4854667.49917958	69352.3928454226	100	0	NA	yes
6083_84	6083_84	08/05/2024 7:0	08/06/2024 7:0	Routine Surveillance	5.504	Pass	CSB	Respiratory Syncitial Virus, Human (RSV)	G	MUIDSL	3704.932332	3704.932332	7.48471178181818	77191.8821954142	155.943196354372	100	0	NA	yes
6082	6082	08/04/2024 0:0	08/05/2024 0:0	Routine Surveillance	5.21	Pass	HSB	SARS-CoV-2	N1	MUIDSL	265006.1846	265006.1846	473.225329642857	5226448.28909523	9332.94337338435	100	0	NA	yes
1600	1600	05/18/2022 0:1	05/19/2022 0:1	Routine Surveillance	8.89	Pass	HSB	SARS-CoV-2	N1	MUIDSL	186326.8	186326.8	332.726428571429	6270324.42137332	11197.0078953095	100	0	NA	yes
3614_32_46	3614_32_46	03/08/2023 10:35	03/09/2023 10:35	Routine Surveillance	0.62	Pass	PRPSD	Respiratory Syncitial Virus, Human (RSV)	G	MUIDSL	0	0	0	0	0	100	0	NA	yes
6805	6805	01/22/2025 7:0	01/23/2025 7:0	Routine Surveillance	9.611	Pass	CSB	Respiratory Syncitial Virus, Human (RSV)	G	MUIDSL	6364.08627	6364.08627	12.8567399393939	231535.485184159	467.748454917493	100	0	NA	yes
4133	4133	06/06/2023 8:30	06/07/2023 8:30	Routine Surveillance	0.069	Pass	SRO	SARS-CoV-2	N2	MUIDSL	14108.7055	14108.7055	348.363098765432	3685.0992071861	90.9901038811382	100	0	NA	yes
5073	5073	12/20/2023 8:40	12/21/2023 8:40	Routine Surveillance	0.477	Pass	SRCM	SARS-CoV-2	N2	MUIDSL	2216087.008	2216087.008	30778.9862222222	4001456.60829471	55575.7862263155	100	0	NA	yes
4052	4052	05/22/2023 23:40	05/23/2023 23:40	Routine Surveillance	7.55	Pass	HSB	SARS-CoV-2	N1	MUIDSL	42551.389	42551.389	75.9846232142857	1216112.1234304	2171.62879184	100	0	NA	yes
5140	5140	01/04/2024 7:45	01/05/2024 7:45	Routine Surveillance	0.616	Pass	PRPSD	SARS-CoV-2	N1	MUIDSL	1712482.309	1712482.309	24464.0329857143	3993187.756904	57045.5393843429	100	0	NA	yes
6903	6903	02/18/2025 0:0	02/19/2025 0:0	Routine Surveillance	19.92	Pass	HSB	SARS-CoV-2	del69/70	MUIDSL	20253.78942	20253.78942	36.1674811071429	1527244.42840658	2727.22219358317	100	0	NA	yes
3270	3270	01/11/2023 9:0	01/14/2023 9:0	Routine Surveillance	2.29	Pass	HRSB	SARS-CoV-2	N1	MUIDSL	2208000	736000	2559.19885948747	19140244.2912	66553.9284787371	100	0	NA	yes
4917	4917	11/15/2023 7:0	11/16/2023 7:0	Routine Surveillance	5.519	Pass	CSB	SARS-CoV-2	N2	MUIDSL	747163.868	747163.868	1509.42195555556	15609506.7865861	31534.3571446184	100	0	NA	yes
1235	1235	04/03/2022 8:0	04/06/2022 8:0	Routine Surveillance	1.96	Pass	HRSB	SARS-CoV-2	N1	MUIDSL	89763.75	29921.25	104.041343579401	665993.4898995	2315.77415730554	100	0	NA	yes
5275	5275	02/03/2024 8:30	02/04/2024 8:30	Routine Surveillance	1	Pass	DUN	SARS-CoV-2	N2	MUIDSL	198678.9331	198678.9331	2207.54370111111	752081.220146071	8356.45800162301	100	0	NA	yes
