assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated	z	is.outlier	is.extreme
mu250	1830	06/18/2022 0:1	06/19/2022 0:1	Routine Surveillance	8.71	Pass	HSB	SARS-CoV-2	N2	MUIDSL	1016586.59	1016586.59	1815.33319642857	33517796.2502081	59853.2075896572	100	0	NA	yes	0.650436849626717	FALSE	FALSE
mu2114	4287	07/10/2023 8:30	07/11/2023 8:30	Routine Surveillance	0.461	Pass	SRCM	SARS-CoV-2	N2	MUIDSL	31370.1	31370.1	435.695833333333	54743.146201101	760.321475015292	100	0	NA	yes	-0.548153718661402	FALSE	FALSE
mu4193	3981_82_4003_04	05/09/2023 7:0	05/10/2023 7:0	Routine Surveillance	7.9155	Pass	CSB	Respiratory Syncitial Virus, Human (RSV)	G	MUIDSL	5310.793966	5310.793966	10.7288766989899	159129.512191101	321.473762002224	100	0	NA	yes	-0.286130056701312	FALSE	FALSE
mu9131	7991	12/22/2025 7:0	12/23/2025 7:0	Routine Surveillance	8.1	Pass	CSB	Respiratory Syncitial Virus, Human (RSV)	G	MUIDSL	0	0	0	0	0	100	0	NA	yes	-0.470186134442597	FALSE	FALSE
mu1886	4104	05/31/2023 23:40	06/01/2023 23:40	Routine Surveillance	6.93	Pass	HSB	SARS-CoV-2	N2	MUIDSL	246385.34	246385.34	439.973821428571	6463399.84213354	11541.7854323813	100	0	NA	yes	-0.123859016794226	FALSE	FALSE
mu6031	6519	10/28/2024 8:30	10/29/2024 8:30	Routine Surveillance	0.589	Pass	PRPSD	Respiratory Syncitial Virus, Human (RSV)	G	MUIDSL	7924.536616	7924.536616	113.207665942857	17668.5982692762	252.408546703946	100	0	NA	yes	-0.372786677066502	FALSE	FALSE
mu1014	3241	01/09/2023 9:0	01/10/2023 9:0	Routine Surveillance	0.641	Pass	PRPSD	SARS-CoV-2	N1	MUIDSL	6000	6000	85.7142857142857	14558.68686	207.981240857143	100	0	NA	yes	NA	NA	NA
mu1558	3769	04/05/2023 7:0	04/06/2023 7:0	Routine Surveillance	9.59	Pass	CSB	SARS-CoV-2	N2	MUIDSL	243306.923	243306.923	491.529137373737	8832547.84558299	17843.5310011778	100	0	NA	yes	-0.0029999089263743	FALSE	FALSE
mu2671	4766	10/09/2023 9:0	10/10/2023 9:0	Routine Surveillance	0.779	Pass	DUN	SARS-CoV-2	N2	MUIDSL	327595.7286	327595.7286	3639.95254	966025.550512786	10733.6172279198	100	0	NA	yes	-0.251804144586341	FALSE	FALSE
mu8806	7832	10/30/2025 0:0	10/31/2025 0:0	Routine Surveillance	21.19	Pass	HSB	Influenza Virus A (FluA)	M	MUIDSL	150362.3435	150362.3435	268.504184821429	12060990.2854296	21537.4826525529	100	0	NA	yes	2.33839215257699	FALSE	FALSE
mu4696	3702_05_19_20	03/22/2023 23:40	03/23/2023 23:40	Routine Surveillance	11.605	Pass	HSB	Influenza Virus B (FluB)	NEP/NS1	MUIDSL	0	0	0	0	0	100	0	NA	yes	-0.37828853439893	FALSE	FALSE
mu1395	3618	03/08/2023 8:30	03/09/2023 8:30	Routine Surveillance	0.644	Pass	SRCM	SARS-CoV-2	N2	MUIDSL	0	0	0	0	0	100	0	NA	yes	-0.57708233228894	FALSE	FALSE
mu2797	4869	11/04/2023 23:40	11/05/2023 22:40	Routine Surveillance	5.88	Pass	HSB	SARS-CoV-2	N2	MUIDSL	16845.60925	16845.60925	30.0814450892857	374953.12174093	669.559145965946	100	0	NA	yes	-0.298110146163986	FALSE	FALSE
mu8359	7628	09/01/2025 7:0	09/02/2025 7:0	Routine Surveillance	4.794	Pass	CSB	SARS-CoV-2	N1	MUIDSL	7274.450362	7274.450362	14.6958593171717	132011.30963226	266.689514408605	100	0	NA	yes	NA	NA	NA
mu3416	5375	02/27/2024 7:0	02/28/2024 7:0	Routine Surveillance	13.187	Pass	CSB	SARS-CoV-2	N1	MUIDSL	93146.19005	93146.19005	188.174121313131	4649690.29970805	9393.31373678394	100	0	NA	yes	NA	NA	NA
mu8607	7745	10/06/2025 7:0	10/07/2025 7:0	Routine Surveillance	4.95	Pass	CSB	Influenza Virus A (FluA)	M	MUIDSL	59898.17065	59898.17065	121.006405353535	1122358.71409307	2267.39134160217	100	0	NA	yes	-0.282744733090855	FALSE	FALSE
mu4897	5862	06/12/2024 8:30	06/13/2024 8:30	Routine Surveillance	0.063	Pass	SRO	SARS-CoV-2	N2	MUIDSL	0	0	0	0	0	100	0	NA	yes	-0.481677019452615	FALSE	FALSE
mu5101	5956	07/07/2024 0:0	07/08/2024 0:0	Routine Surveillance	5.64	Pass	HSB	SARS-CoV-2	N2	MUIDSL	95066.20169	95066.20169	169.761074446429	2029636.06504189	3624.35011614624	100	0	NA	yes	-0.250753178966861	FALSE	FALSE
mu3899	5780	05/27/2024 7:0	05/28/2024 7:0	Routine Surveillance	15.404	Pass	CSB	SARS-CoV-2	N2	MUIDSL	56903.08213	56903.08213	114.955721474747	3318044.64632064	6703.12049761746	100	0	NA	yes	-0.454188568409699	FALSE	FALSE
