county_fips	county_name	county_population	county_lab_code
54061	Monongalia	105612	A
54039	Kanawha	183279	B
54069	Ohio	41411	C
54037	Jefferson	57146	D
54055	Mercer	58758	E
54041	Lewis	16166	F
54057	Mineral	26868	G
54051	Marshall	30531	H
54065	Morgan	17884	I
54077	Preston	33432	J
54107	Wood	83518	K
54017	Doddridge	8448	L
54049	Marion	56072	M
54033	Harrison	67256	N
54091	Taylor	16695	O
54073	Pleasants	7482	P
54005	Boone	21809	Q
54083	Randolph	28695	R
54009	Brooke	21939	S
54053	Mason	26700	T
54001	Barbour	16633	
54003	Berkeley	126069	
54007	Braxton	12247	
54011	Cabell	96319	
54013	Calhoun	6176	
54015	Clay	7892	
54019	Fayette	39927	
54021	Gilmer	7377	
54023	Grant	11616	
54025	Greenbrier	32608	
54027	Hampshire	23302	
54029	Hancock	28656	
54031	Hardy	14160	
54035	Jackson	27738	
54043	Lincoln	20126	
54045	Logan	31909	
54047	McDowell	18363	
54059	Mingo	23005	
54063	Monroe	12332	
54067	Nicholas	24300	
54071	Pendleton	6142	
54075	Pocahontas	7841	
54079	Putnam	55486	
54081	Raleigh	73771	
54085	Ritchie	8383	
54087	Roane	13898	
54089	Summers	11908	
54093	Tucker	6672	
54095	Tyler	8811	
54097	Upshur	23791	
54099	Wayne	42481	
54101	Webster	8249	
54103	Wetzel	14170	
54105	Wirt	5063	
54109	Wyoming	21051	
