wwtp_id	wwtp_common_name	wwtp_authority_name	wwtp_counties_served	wwtp_cwns_id	wwtp_capacity_mgd	wwtp_population_served
AlpineLakeWWTP	Alpine Lake	Preston County Sewer PSD	Preston	54003906001	0.15	700
AthensWWTP	Athens WWTP	Town of Athens	Mercer	54002701001	0.5	2,391
BelingtonWWTP	Belington WWTP	City of Belington	Barbour	54000101001	0.365	1,974
BlacksvilleWWTP	Blacksville WWTP	Town of Blacksville	Monongalia	54003031001	0.05	400
BridgeportWWTP	Bridgeport WWTP	City of Bridgeport	Harrison	54001702001	3	6,984
BarboursvilleLagoon	Barboursville Lagoon		Cabell		1.8	4000
CameronWWTP	Cameron WWTP		Marshall		0.21	1,340
CharlestonWWTP	Charleston WWTP		Kanawha		14	50,000
CharlesTownWWTP	CharlesTown WWTP		Jefferson		2.25	17,000
CheatLakeWWTP	Cheat Lake WWTP	City of Morgantown	Monongalia	54003045001	0.75	2,000
ClarksburgWWTP	Clarksburg WWTP		Harrison		8	26,498
CharlestonSanitaryBoardWWTP	Charleston Sanitary Board WWTP		Kanawha		14	49500
DunbarWWTP	Dunbar WWTP		Kanawha		2.25	9000
ElkinsWWTP	Elkins WWTP		Randolph		4.99	13,156
FairmontWWTP	Fairmont WWTP		Marion		9	25,525
FarmingtonWWTP	Farmington WWTP		Marion		0.125	610
FollansbeeWWTP	Follansbee WWTP		Brooke		1.6	6,468
GraftonWWTP	Grafton WWTP		Taylor		2.3	6,071
HazeltonWWTP	Hazelton WWTP	Preston County Sewer PSD	Preston	54003906001	0.5	1,948
HuntingtonSanitaryBoardWWTP	Huntington Sanitary Board WWTP	Huntington Sanitary Board	Cabell,Wayne		17	56000
HuttonsvilleWWTP	Huttonsville WWTP		Randolph		0.41	2,101
KeyserWWTP	Keyser WWTP		Mineral		2.4	8,168
MadisonWWTP	Madison WWTP		Boone		0.5	4,555
ManningtonWWTP	Mannington WWTP		Marion		0.25	1,091
MoundsvilleWWTP	Moundsville WWTP		Marshall		2.34	12,000
ParkersburgWWTP	Parkersburg WWTP		Wood		15.5	48,050
PetersburgWWTP	Petersburg WWTP		Grant		1.35	2,700
PointPleasantWWTP	Point Pleasant WWTP		Mason		0.7	5,515
PrincetonWWTP	Princeton WWTP		Mercer		4.9	36,000
PeaRidgeWWTP-A	Pea Ridge WWTP A		Cabell		2.16	7000
SalemWWTP	Salem WWTP		Harrison		0.4	1,853
SistervilleWWTP	Sisterville WWTP		Tyler		0.3	1,800
SaltRockWWTP	Salt Rock WWTP		Cabell		2.5	11250
StarCityWWTP	Star City WWTP	City of Morgantown	Monongalia	54003011001	20.8	48,328
StMarysWWTP	St Marys WWTP		Pleasants		0.525	2,892
WarmSpringsWWTP	WarmSprings WWTP		Morgan		1.8	3,255
WeirtonWWTP	Weirton WWTP		Brooke		4	20,411
WestonWWTP	Weston WWTP		Lewis		2.5	10,364
WestUnionWWTP	West Union WWTP		Doddridge		0.2	564
WheelingWWTP	Wheeling WWTP		Ohio		10	50,000
WorthingtonWWTP	Worthington WWTP		Marion		0.1	2,742
PeaRidgeWWTP-C	Pea Ridge WWTP C		Cabell		0.125	1000
