location_id	sample_code_prefix	location_primary_lab	location_status	location_common_name	location_category	location_group	location_lng	location_lat	location_primary_wwtp_id	location_counties_served	location_population_served	location_sampler_type	location_collection_window_hrs	location_collection_pull_ml	location_collection_step_min	location_collection_basis	location_collection_type	location_zipcode	location_comment
CharlesTownWWTP-01	D01	ZooWVU	active	Charles Town	wwtp	sentinel	-77.85589	39.27924	CharlesTownWWTP	Jefferson	17000	Facility hardware	24			flow	raw wastewater	25414	
MadisonWWTP-01	Q01	ZooWVU	active	Danville	wwtp	non-sentinel	-81.8472888	38.102484	MadisonWWTP	Boone	4555	WVU ISCO	24	25	20	time	raw wastewater	25053	
PrincetonWWTP-01	E01	ZooWVU	active	Princeton	wwtp	sentinel	-81.07993	37.38036	PrincetonWWTP	Mercer	36000	WVU HACH	24	25	20	time	raw wastewater	24740	
WarmSpringsWWTP-01	I01	ZooWVU	withdrawn	Warm Springs	wwtp	non-sentinel	-78.22662	39.62802	WarmSpringsWWTP	Morgan	3255	Facility hardware	24			flow	raw wastewater	25411	
ClarksburgWWTP-01	N02	ZooWVU	active	Clarksburg	wwtp	sentinel	-80.33857	39.27931	ClarksburgWWTP	Harrison	26498	Facility hardware	24			flow	raw wastewater	26301	
Domain-01	A02	ZooWVU	inactive	The Domain	higher ed dorm	non-sentinel	-80.0004209	39.6535571	StarCityWWTP	Monongalia	912	WVU ISCO	48	25	30	time	raw wastewater	26505	Isolates The Domain (apartments).
MountainviewES-01	A03	ZooWVU	inactive	Mountainview Elementary	k12	non-sentinel	-79.94331	39.61036	StarCityWWTP	Monongalia	726	WVU ISCO	8			time	raw wastewater	26501	
SistervilleWWTP-01		ZooWVU	withdrawn	Sisterville	wwtp	non-sentinel			SistervilleWWTP	Tyler	1800	Facility hardware	24			flow	raw wastewater		
SalemWWTP-01	N03	ZooWVU	active	Salem	wwtp	non-sentinel	-80.54515	39.28597	SalemWWTP	Harrison	1853	WVU ISCO	24	25	20	time	raw wastewater	26426	
Lofts-02	A02	ZooWVU	inactive	The Lofts 2	higher ed dorm	non-sentinel	-79.9552454	39.6692795	StarCityWWTP	Monongalia		WVU ISCO	48	25	30	time	raw wastewater	26505	Captures the upper section of Station Road. Not clear exactly which buildings drop here vs. Lofts-01
WestRun-01	A02	ZooWVU	inactive	West Run Apartments	higher ed dorm	non-sentinel	-79.925397	39.6565887	StarCityWWTP	Monongalia		WVU ISCO	48	25	30	time	raw wastewater	26505	Captures all of West Run Apartments
WeirtonWWTP-01		ZooWVU	withdrawn	Weirton	wwtp	non-sentinel			WeirtonWWTP	Brooke	20411	Facility hardware	24			flow	raw wastewater		
NorthES-01	A02	ZooWVU	inactive	North Elementary	k12	non-sentinel	-79.95674	39.66064	StarCityWWTP	Monongalia	688	WVU ISCO	8			time	raw wastewater	26505	
Dadisman-02	A02	ZooWVU	inactive	WVU Dadisman Hall	higher ed dorm	non-sentinel	-79.9530932	39.6364231	StarCityWWTP	Monongalia	639	WVU ISCO	48	25	30	time	raw wastewater	26505	Isolates WVU Dadisman Hall.
PRPSD		MUIDSL	inactive	Pea Ridge	wwtp	non-sentinel	-82.2982092548578	38.4196619081391	PeaRidgeWWTP-A	Cabell	7000	Facility hardware	24	25	20	time	raw wastewater	25705	
Evolution-02	A02	ZooWVU	inactive	Evolution (bottom)	higher ed dorm	non-sentinel	-79.9562046	39.6681122	StarCityWWTP	Monongalia		WVU ISCO	48	25	30	time	raw wastewater	26505	Three-way junction. Sample from the outflow closer to the yard to catch all of this portion of the CEV complex. This flow can also be captured in the access for Evolution-01
CSB		MUIDSL	inactive	Charleston	wwtp	non-sentinel	-81.6795542342985	38.3737355334849	CharlestonSanitaryBoardWWTP	Kanawha	49500	Facility hardware	24			flow	raw wastewater	25387	
ElkinsWWTP-01	R02	ZooWVU	active	Elkins	wwtp	sentinel	-79.86543	38.92026	ElkinsWWTP	Randolph	13156	WVU ISCO	24	25	20	time	raw wastewater	26241	
TowersBB-01	A02	ZooWVU	inactive	WVU Brooke & Braxton Towers	higher ed dorm	sentinel	-79.9663361	39.6495489	StarCityWWTP	Monongalia	904	WVU ISCO	48	25	30	time	raw wastewater	26505	Captures Brooke and Braxton Towers. Taken from the University Ave. side of the bottom flow, which compiles both towers
SuncrestES-01	A03	ZooWVU	inactive	Suncrest Elementary	k12	non-sentinel	-79.97825	39.67137	StarCityWWTP	Monongalia	515	WVU ISCO	8			time	raw wastewater	26505	
HSB		MUIDSL	inactive	Huntington	wwtp	non-sentinel	-82.5288640349052	38.4007449310171	HuntingtonSanitaryBoardWWTP	Cabell,Wayne	56000	Facility hardware	24	25	20	time	raw wastewater	25704	
Northern Wayne Co PSD		MUIDSL	inactive	North Wayne	wwtp	non-sentinel	-82.4513038405833	38.3433361645866	HuntingtonSanitaryBoardWWTP	Wayne	1600	Facility hardware	24	25	20	time	raw wastewater	25701	upstream from Huntington Sanitary board
MtValley-01	A02	ZooWVU	inactive	Mountain Valley Apartments	higher ed dorm	sentinel	-79.9657691	39.6727656	StarCityWWTP	Monongalia		WVU ISCO	48	25	30	time	raw wastewater	26505	Captures all of Mountain Valley
FairmontWWTP-01		ZooWVU	withdrawn	Fairmont	wwtp	non-sentinel	-80.12445	39.49395	FairmontWWTP	Marion	25525	WVU ISCO	24	25	30	time	raw wastewater	26554	
BrookhavenES-01	A03	ZooWVU	inactive	Brookhaven Elementary	k12	non-sentinel	-79.90501	39.61021	StarCityWWTP	Monongalia	579	WVU ISCO	8			time	raw wastewater	26508	
DUN		MUIDSL	inactive	Dunbar	wwtp	non-sentinel	-81.758709180509	38.368519014597	DunbarWWTP	Kanawha	9000	Facility hardware	24	25	20	time	raw wastewater	25064	
WheelingWWTP-01	C01	ZooWVU	active	Wheeling	wwtp	sentinel	-80.72757	40.05588	WheelingWWTP	Ohio	50000	Facility hardware	24			flow	raw wastewater	26003	
PointPleasantWWTP-01	T01	ZooWVU	active	Point Pleasant	wwtp	non-sentinel	-82.1351148	38.8567084	PointPleasantWWTP	Mason	5515	WVU ISCO	24	25	20	time	raw wastewater	25550	
