target_id	target_abbreviation	target_category	target_class	target_host	target_disease
Mpox Virus Clade II	MPXV II	Viral	Pox	Homo sapiens	Mpox
Human RNAse P	RP	Eukaryotic	Control	Homo sapiens	NA
Pepper Mild Mottle Virus	PMMoV	Viral	Plant-associated	Capsicum	Pepper Mottle
Mpox Virus Clade I	MPXV I	Viral	Pox	Homo sapiens	Mpox
Influenza Virus B (FluB)	Flu B	Viral	Respiratory	Homo sapiens	FluB
Adenovirus	Adenovirus	Viral	Respiratory	Homo sapiens	Adenovirus
Enterovirus	Ev	Viral	Respiratory	Homo sapiens	Rhinovirus
Cross-assembly phage	CrAssphage	Viral	Bacteriophage	Bacteria	NA
Respiratory Syncitial Virus, Human	RSV	Viral	Respiratory	Homo sapiens	RSV
Human Immunodeficiency Virus 1	HIV-1	Viral	STD	Homo sapiens	AIDS
Escherichia coli, Shiga toxin-producing	STEC	Bacterial	Gastrointestinal	Homo sapiens	STEC
Human Norovirus GII	huNovGII	Viral	Gastrointestinal	Homo sapiens	Norovirus
Rhinovirus	Rv	Viral	Respiratory	Homo sapiens	Rhinovirus
Respiratory Syncitial Virus, Bovine	BRSV	Viral	Respiratory	Bos taurus	BRSV
Influenza Virus A (FluA)	Flu A	Viral	Respiratory	Homo sapiens	FluA
SARS-CoV-2	SARS-CoV-2	Viral	Respiratory	Homo sapiens	COVID
