region_name	target	abundance_pct_change	trend
SRO	SARS-CoV-2	-29.9411942647715	DECREASING
Kanawha	Influenza Virus A (FluA)	-9.77509904466395	DECREASING
Kanawha	SARS-CoV-2	-93.8581887840368	DECREASING
Kanawha	Respiratory Syncitial Virus, Human (RSV)	-100	DECREASING
Kanawha	Influenza Virus B (FluB)	-100	DECREASING
AlpineLakeWWTP-01	Human Norovirus GII (HuNoV-GII)	-95.6877869510756	SPIKING
AlpineLakeWWTP-01	Influenza Virus A (FluA)	-82.1319533271716	VARIABLE
AlpineLakeWWTP-01	SARS-CoV-2	-98.2806204112208	DECREASING
AlpineLakeWWTP-01	Respiratory Syncitial Virus, Human (RSV)	4.89678348535776	STABLE
AlpineLakeWWTP-01	Influenza Virus B (FluB)	-60.3944672822267	INCREASING
StadiumSE-01	Influenza Virus A (FluA)	-0.170884403561731	SPIKING
StadiumSE-01	Human Norovirus GII (HuNoV-GII)	395.212930618027	SPIKING
StadiumSE-01	Influenza Virus B (FluB)	-55.6179703325218	DECREASING
StadiumSE-01	Respiratory Syncitial Virus, Human (RSV)	-73.6338884315836	DECREASING
StadiumSE-01	SARS-CoV-2	-55.3005257756798	INCREASING
FarmingtonWWTP-01	Human Norovirus GII (HuNoV-GII)	-99.9618195431827	INCREASING
FarmingtonWWTP-01	Influenza Virus A (FluA)	-78.4860733506591	VARIABLE
FarmingtonWWTP-01	SARS-CoV-2	-90.5287790121751	VARIABLE
FarmingtonWWTP-01	Respiratory Syncitial Virus, Human (RSV)	-10.7759518976203	STABLE
FarmingtonWWTP-01	Influenza Virus B (FluB)	-49.9088268689818	INCREASING
MadisonWWTP-01	Human Norovirus GII (HuNoV-GII)	-99.9999098342271	DECREASING
MadisonWWTP-01	Influenza Virus A (FluA)	-47.6508597021544	STABLE
MadisonWWTP-01	SARS-CoV-2	404.511917923146	SPIKING
MadisonWWTP-01	Respiratory Syncitial Virus, Human (RSV)	-77.3352224946062	INCREASING
MadisonWWTP-01	Influenza Virus B (FluB)	-23.4396948073047	VARIABLE
StarCityWWTP-01	Human Norovirus GII (HuNoV-GII)	292.278664894301	INCREASING
StarCityWWTP-01	Influenza Virus A (FluA)	-76.6033622778765	VARIABLE
