epi_date	mean_abundance	location_id	target	cal_year	cal_month	cal_week	epi_year	epi_week	rolling_mean	rolling_mean_basis	abundance_fold_change	abundance_level	trend_slope	trend_level	spike_slope
2022.18	20.6314678920733	MadisonWWTP-01	SARS-CoV-2	2022	5	18	2022	18	NA	NA	NA	1	NA	NA	NA
2022.19	94.5985221722106	MadisonWWTP-01	SARS-CoV-2	2022	5	19	2022	19	NA	NA	NA	1	NA	1	73.96705
2022.2	40.1700202009385	MadisonWWTP-01	SARS-CoV-2	2022	5	20	2022	20	NA	NA	NA	1	NA	1	-54.4285
2022.21	77.3775638607683	MadisonWWTP-01	SARS-CoV-2	2022	5	21	2022	21	58.1943935314977	NA	NA	1	73.96705	7	37.20754
2022.22	68.8886980397229	MadisonWWTP-01	SARS-CoV-2	2022	5	22	2022	22	70.2587010684101	NA	NA	1	-54.4285	3	-8.48886
2022.23	257.654698187053	MadisonWWTP-01	SARS-CoV-2	2022	6	23	2022	23	111.022745072121	NA	NA	1	37.20754	6	188.766
2022.24	71.1178793185814	MadisonWWTP-01	SARS-CoV-2	2022	6	24	2022	24	118.759709851531	NA	NA	1	-8.48886000000001	5	-186.53682
2022.25	49.9422439611102	MadisonWWTP-01	SARS-CoV-2	2022	6	25	2022	25	111.900879876617	NA	NA	1	188.766	7	-21.17564
2022.26	107.8650744457	MadisonWWTP-01	SARS-CoV-2	2022	6	26	2022	26	121.644973978111	NA	NA	1	-186.53682	3	57.92286
2022.27	22.4612184797331	MadisonWWTP-01	SARS-CoV-2	2022	7	27	2022	27	62.8466040512813	NA	NA	1	-21.17564	4	-85.40388
2022.28	281.47656372574	MadisonWWTP-01	SARS-CoV-2	2022	7	28	2022	28	115.436275153071	NA	NA	1	57.92286	7	259.01538
2022.29	252.033555460996	MadisonWWTP-01	SARS-CoV-2	2022	7	30	2022	29	165.959103028043	112.018125478719	0.481537941460832	4	-85.40388	3	-29.443
2022.3	175.449448619015	MadisonWWTP-01	SARS-CoV-2	2022	7	31	2022	30	182.855196571371	124.919623872631	0.463782798111944	4	259.01538	7	-76.5842
2022.31	145.744088983008	MadisonWWTP-01	SARS-CoV-2	2022	8	31	2022	31	213.67591419719	129.181754440197	0.654071932395901	5	-29.443	4	-29.7053
2022.32	261.501344127273	MadisonWWTP-01	SARS-CoV-2	2022	8	32	2022	32	208.682109297573	147.626031434059	0.413586122111445	4	-76.5842	3	115.7572
2022.33	151.192012778491	MadisonWWTP-01	SARS-CoV-2	2022	8	33	2022	33	183.471723626947	153.777235510535	0.193100675908411	4	-29.7053	4	-110.3093
2022.34	674.913332518102	MadisonWWTP-01	SARS-CoV-2	2022	8	34	2022	34	308.337694601719	204.279288383734	0.509392836842635	5	115.7572	2	523.7213
2022.35	281.297534401746	MadisonWWTP-01	SARS-CoV-2	2022	8	35	2022	35	342.226055956403	206.249524734958	0.659281670569579	5	-110.3093	3	-393.6158
2022.37	128.707815681315	MadisonWWTP-01	SARS-CoV-2	2022	9	38	2022	37	309.027673844913	211.048686098519	0.464248271608082	4	523.7213	7	-152.5897
2022.38	354.164223254198	MadisonWWTP-01	SARS-CoV-2	2022	9	38	2022	38	359.77072646384	236.400517706276	0.521869452548531	5	-393.6158	3	225.4564
2022.39	64.6143852237799	MadisonWWTP-01	SARS-CoV-2	2022	10	40	2022	39	207.19598964026	232.79629360445	-0.109968692232224	4	-152.5897	3	-289.54981
2022.4	92.488144089452	MadisonWWTP-01	SARS-CoV-2	2022	10	40	2022	40	159.993642062186	238.631870738593	-0.329537829264014	4	225.4564	7	27.87375
2022.41	30.937766451492	MadisonWWTP-01	SARS-CoV-2	2022	10	41	2022	41	135.55112975473	217.753637632406	-0.377502340587499	4	-289.54981	3	-61.55037
2022.42	200.497262008217	MadisonWWTP-01	SARS-CoV-2	2022	10	42	2022	42	97.1343894432351	213.458946511341	-0.544950487994306	3	27.87375	6	169.55953
2022.43	239.682567858608	MadisonWWTP-01	SARS-CoV-2	2022	10	43	2022	43	140.901435101942	218.811706447973	-0.356060800451533	4	-61.55037	3	39.1853000000001
2022.44	226.377277398576	MadisonWWTP-01	SARS-CoV-2	2022	10	44	2022	44	174.373718429223	225.531138815937	-0.226830852073449	4	169.55953	7	-13.3053
2022.45	311.215237846066	MadisonWWTP-01	SARS-CoV-2	2022	11	45	2022	45	244.443086277867	229.673963292503	0.064304733430118	4	39.1853	6	84.8379000000001
