assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated	z	is.outlier	is.extreme
A04-0214.a1	A04-0214	11/17/2022 8:00	11/18/2022 8:00	Routine Surveillance	0.695	Pass	CheatLakeWWTP-01	SARS-CoV-2	N1	ZooWVU	1487605.8987	1487605.8987	74380.294935	3913682.78027359	195684.139013679	100	0	762.8016664	yes	NA	NA	NA
B01-0090.a2	B01-0090	02/08/2022 7:00	02/09/2022 7:00	Routine Surveillance	11.102	Pass	CharlestonWWTP-01	SARS-CoV-2	N2	ZooWVU	360695.3787	360695.3787	721.3907574	15158447.5774679	30316.8951549358	100	0	9439.04953	yes	-0.0832555626077437	FALSE	FALSE
H01-0428.a3	H01-0428	12/09/2022 8:00	12/10/2022 8:00	Routine Surveillance	1.8	Pass	MoundsvilleWWTP-01	Human	RNase P	ZooWVU	2397	2397	19.975	16332.529986	136.10441655	100	NA	NA	Missing controls: HEX	NA	NA	NA
A02-1010.a3	A02-1010	02/01/2023 9:00	02/03/2023 9:00	Routine Surveillance	NA	Pass	Seneca-01	Human	RNase P	ZooWVU	74276.572035	37138.2860175	7835.08143829114	NA	NA	100	NA	NA	Missing controls: HEX	NA	NA	NA
A1098.a4	A1098	07/22/2021 0:00	07/22/2021 23:55	Routine Surveillance	6.513	Pass	StarCityWWTP-01	Human	RNase P	ZooWVU	502288.75	502288.75	1039.33278844562	12383615.3665365	25624.1006591138	100	NA	NA	Missing controls: HEX	NA	NA	NA
A02-0243.a2	A02-0243	12/04/2021 9:00	12/06/2021 9:00	Routine Surveillance	NA	Pass	OaklandE-02	SARS-CoV-2	N2	ZooWVU	2232	1116	129.466357308585	NA	NA	100	0	12911.079406	yes	-0.275436347414064	FALSE	FALSE
A02-0909.a3	A02-0909	12/17/2022 9:00	12/19/2022 9:00	Routine Surveillance	NA	Pass	OaklandE-02	Human	RNase P	ZooWVU	48421.419345	24210.7096725	2808.66701537123	NA	NA	100	NA	NA	Missing controls: HEX	NA	NA	NA
A02-0644.a1	A02-0644	09/24/2022 9:00	09/26/2022 9:00	Routine Surveillance	NA	Pass	NorthHighSt-02	SARS-CoV-2	N1	ZooWVU	10004.896678125	5002.4483390625	NA	NA	NA	100	6.43561482	1083.9502716	yes	NA	NA	NA
A01-1191.a5	A01-1191	03/07/2025 12:00 AM	03/08/2025 12:00 AM	Routine Surveillance	7.8	Pass	StarCityWWTP-01	SARS-CoV-2	SC2	ZooWVU	102192.342281342	102192.342281342	211.455765356194	3017351.33228266	6243.48479614853	100	0	NA	yes	-0.0374083293632694	FALSE	FALSE
A01-1094.a1	A01-1094	11/12/2024 12:00 AM	11/13/2024 12:00 AM	Routine Surveillance	7.5	Pass	StarCityWWTP-01	Human Norovirus GII	ORF1_2	ZooWVU	5983006.09588624	5983006.09588624	12379.9993707297	169860983.290715	351475.300634654	100	NA	NA	Missing controls: all	NA	NA	NA
M04-0433.a3	M04-0433	02/08/2026 09:00 AM	02/09/2026 08:00 AM	Routine Surveillance	0.063	Pass	FarmingtonWWTP-01	Respiratory Syncitial Virus, Human	G	ZooWVU	568	568	93.1147540983607	135.45711144	22.206083842623	100	0	NA	yes	-0.58398512477629	FALSE	FALSE
A02-0091.a1	A02-0091	09/08/2021 9:09	09/10/2021 9:09	Routine Surveillance	NA	Pass	Evansdale-01	SARS-CoV-2	N1	ZooWVU	9018.75905875	4509.379529375	NA	NA	NA	100	0	26404.5044	yes	NA	NA	NA
B01-0143.a2	B01-0143	04/28/2022 7:00	04/29/2022 7:00	Routine Surveillance	8.7	Pass	CharlestonWWTP-01	SARS-CoV-2	N2	ZooWVU	55545.563169375	55545.563169375	111.09112633875	1829285.75340976	3658.57150681952	100	0	77.95713544	yes	-0.620698066038967	FALSE	FALSE
H01-0554.a1	H01-0554	04/13/2023 8:00	04/14/2023 8:00	Routine Surveillance	1.4	Pass	MoundsvilleWWTP-01	SARS-CoV-2	N1	ZooWVU	2052853.38868125	2052853.38868125	17107.1115723438	10879248.444467	90660.4037038921	100	4.93412078	822.1567536	yes	NA	NA	NA
