Sample ID	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Collection Method	Department	Location	Sample Composite Start	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	population_served
A02-0195	8465.249725	8465.249725		WVU Morgantown	OaklandE-02	10/27/21 11:38					
H01-0074	1544955.647	1667913.294		WWTP	MoundsvilleWWTP-01	1/14/22 8:00					
A03-0129	0	0		K-12	NorthES-01	12/3/21 6:00					
A02-0122	34541.23586	29828.25756		WVU Morgantown	NorthHighSt-02 (MUB)	9/20/21 10:03					
K01-0045	31563.30753	37304.64287		WWTP	ParkersburgWWTP-01	1/4/22 6:27	7.866				
G01-0078	61194.99497	71402.85194		WWTP	KeyserWWTP-01	12/27/21 9:00	0.771				
A02-0086	17132.35475	7785.979174		WVU Morgantown	Evansdale-01	9/6/21 20:20					
A0025	103305.6	70675.2		WWTP	StarCityWWTP-01	11/24/20 0:00	8.122				
E01-0026	620401.1178	364037.5328		WWTP	PrincetonWWTP-01	1/12/22 11:50	4.952				
B01-0026	8157.2136	12236.41628		WWTP	CharlestonWWTP-01	12/2/21 7:00	6.899				
A0247	1542888	961152		WWTP	StarCityWWTP-01	11/9/20 0:00	6.909				
A01-0098	45710.29343	22848.91661		WWTP	StarCityWWTP-01	11/24/21 0:00	5.551				
A0043	60100.8	44072.4		WWTP	StarCityWWTP-01	12/17/20 12:00	11.864				
C01-0110	210235.0169	215709.7426		WWTP	WheelingWWTP-01	1/19/22 7:00	10.397				
B01-0056	4697.33486	10961.82153		WWTP	CharlestonWWTP-01	10/28/21 7:00					
B01-0012	80861.0341	45460.93792		WWTP	CharlestonWWTP-01	9/29/21 7:00					
A0235	35088	31176		WWTP	StarCityWWTP-01	2/4/21 12:00	9.892				
A01-0116	94685.32115	83853.31169		WWTP	StarCityWWTP-01	12/3/21 0:00	6.478				
A02-0155 b	5016	10056		WVU Morgantown	OaklandE-02	8/10/21 9:00	11.84				
A0030	57250.8	52029.6		WWTP	StarCityWWTP-01	11/30/20 0:00	10.196				
A02-0269	0	0		WVU Morgantown	CollegePark-02	12/15/21 9:00					
A01-0135	3207.328292	9622.721169		WWTP	StarCityWWTP-01	12/26/21 0:00	14				
A02-0245	4334.20524	6501.476141		WVU Morgantown	Evansdale-01	12/1/21 9:00					
A03-0064	1722.890409	3445.899244		K-12	NorthES-01	11/3/21 6:00					
A03-0063	3898.635451	5848.181322		K-12	SuncrestES-01	11/3/21 6:00					
A02-0296	0	0		WVU Morgantown	Evansdale-01	1/15/22 9:00					
A02-0250	2464.455636	4929.056196		WVU Morgantown	Evansdale-01	12/4/21 9:00					
A02-0135	23514.39223	49404.83749		WVU Morgantown	OaklandE-02	9/1/21 9:44					
