Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
E02-0117	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	04/29/2022 08:00 AM	04/30/2022 08:00 AM	0.117	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	20093.9931347966	5740.15790596606	12917.0755203813	8899.48829862968	2542.27558324229	5720.88194093598	21992.9555364609	48477.5128729501	8508.6116782956	16672.3274830191	15090.2000483453	28721.1130603291	5914.85912634949	9620.51006752216	8187.44456022977	9312.73663703302	3321.10657440338	2753.62524993049
B01-0023	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	10/14/2021 07:00 AM	10/15/2021 07:00 AM	NA	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	139252.6174	137136.9314	138194.7744	NA	NA	NA	45260.112368	97771.2370135402	379587.057881026	638326.473493693	47058.334458	95185.1570305804	410173.518923462	369743.851937506	48856.556548	92680.6587461228	440759.979965898	101161.230381319
C01-0068	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	12/27/2021 07:00 AM	12/28/2021 07:00 AM	15.17	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	25227.42648	50470.04811	37848.737295	1448676.63299503	2898225.84245986	2173451.23772745	29609.100882	26823.8917004245	920969.375678703	841858.553893984	36007.655924	23059.3473962902	1169254.20291844	1155319.22645411	42406.210966	25359.7220883372	1417539.03015817	1608838.37059738
G01-0094	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	02/14/2022 09:00 AM	02/15/2022 08:00 AM	0.871	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	332327.6693	334613.0079	333470.3386	1095714.93638372	1103249.90825046	1099482.42231709	200174.213314	163858.34366292	738080.359530866	488585.957185353	202554.524667	162487.840204456	746931.934114661	478879.129073235	204934.83602	161831.939127017	755783.508698456	472815.277695307
E02-0060	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	03/17/2022 08:00 AM	03/18/2022 08:00 AM	0.166	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1696	2583	2139.5	1065.72918976	1623.10052898	1344.41485937	5380.58913294822	9647.50480968856	3348.34208431689	5446.42516783775	4898.68285329789	5809.01282348652	3106.74317091044	3180.61609624821	4416.77657364756	4333.11214318532	2865.144257504	2623.72474238681
A02-0139	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	10/02/2021 09:00 AM	10/04/2021 09:00 AM	NA	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	723	536	629.5	NA	NA	NA	9865.033994	22049.493564314	NA	NA	10225.363644	23012.2422630341	NA	NA	10585.693294	24863.665347064	NA	NA
H01-0045	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	11/15/2021 08:00 AM	11/16/2021 08:00 AM	1.5	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	65865.50675	54234.6599	60050.083325	373991.921859776	307950.635898089	340971.278878932	20899.7286372	50599.0182238794	122438.525557775	291570.126723161	27848.9274716	40972.2010025371	162861.238896358	243113.092866911	34798.126306	39132.7270373409	203283.952234942	240084.644722596
E01-0022	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	12/14/2021 07:40 AM	12/15/2021 07:40 AM	1.985	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	91314.74733	40559.77508	65937.261205	686142.559015554	304767.725698382	495455.142356968	151521.546362	166494.147942806	1035159.86871513	1007461.38478075	104463.7251121	83997.8124003306	702067.660860964	440099.355458106	57405.9038622	74791.6520258465	368975.453006799	452599.777137097
C01-0031	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	11/01/2021 07:00 AM	11/02/2021 07:00 AM	NA	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5703.530684	12834.77522	9269.152952	NA	NA	NA	23212.1749368	28186.467917481	705804.806177049	625706.282386592	19549.9315457	22778.594936774	842134.534004001	663617.620628924	15887.6881546	22576.2728277467	978464.261830953	753954.31766211
A04-0047	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	03/31/2022 08:00 AM	04/01/2022 08:00 AM	0.58	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	32902.7431458235	40499.3554204701	36701.0492831468	72239.2163003464	88917.865701277	80578.5410008117	38772.7769985795	50127.7161012702	91311.0609643838	109643.026588868	39620.8282615989	49642.8110085983	94256.1027743272	106341.217366909	40468.8795246184	54122.5268817646	97201.1445842706	118941.907785447
