Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
A01-0047	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	9/21/21 0:00	9/21/21 23:55	7.79	9/24/21	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	186878.9375	80527.74131	133703.339405	5510750.37666661	2374629.72923952	3942690.05295306	203506.9871	202497.76816478	5754028.94388873	5484558.89858661	328117.536562	637418.890366144	9217751.31246377	17660326.5190254	452728.086024	1320570.72055662	12681473.6810388	36727602.96512
A02-0130	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	9/27/21 9:28	9/29/21 9:28	NA	9/29/21	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2213	1559	1886	NA	NA	NA	11706.2327128	19631.4617684374	NA	NA	12548.2022216	19813.2019422364	NA	NA	13390.1717304	21057.2235233531	NA	NA
E02-0080	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	2/10/22 8:00	2/11/22 8:00	0.177	2/18/22	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	54731.77694	54731.77694	54731.77694	36671.2521871208	36671.2521871208	36671.2521871208	105239.357688	88998.5251363232	105890.190874997	132679.882005691	91192.792783	71494.795921174	90048.6824045778	103211.342448841	77146.227878	63737.209328411	74207.1739341583	77390.4401577179
C01-0014	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	10/4/21 7:00	10/5/21 7:00	8.81	10/8/21	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	33300.72403	49245.28658	41273.005305	1110561.23394104	1642303.81840335	1376432.5261722	40278.774722	38306.1357196145	641023.667984051	797967.297468213	48340.641133	40267.7903180025	764417.236304987	857112.895074251	56402.507544	44907.0481744842	887810.804625923	954842.731712708
L01-0032	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	2/12/22 9:00	2/13/22 9:00	0.33781	2/23/22	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	107576.4491	29556.01104	68566.23007	137563.314587844	37794.7299680605	87679.022277952	143463.98646	93853.5676957783	176744.490558799	126516.42221602	138859.88874	106943.881777944	172325.085824104	146874.680813119	134255.79102	135340.981591332	167905.681089409	185139.079848852
H01-0135	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	2/20/22 8:00	2/21/22 8:00	2.5	2/25/22	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5881.939949	8823.220208	7352.5800785	55663.8857558602	83498.7650189132	69581.3253873867	22254.9500578	48495.60925246	219940.356358323	486440.162408359	24305.6516137	54903.0568477096	230137.770631054	490813.544999714	26356.3531696	63025.4729977823	240335.184903784	514044.341963375
A02-0293	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	1/15/22 9:00	1/17/22 9:00	NA	1/19/22	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	624142.6778	207016.5476	415579.6127	NA	NA	NA	228512.0818394	435342.997795802	NA	NA	172662.6109557	295975.853337988	NA	NA	116813.140072	206045.322520898	NA	NA
A02-0173	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	10/13/21 10:28	10/15/21 10:15	NA	10/15/21	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	15503.87613	9301.172569	12402.5243495	NA	NA	NA	18395.7097562	44081.7211310212	NA	NA	17854.1846642	37876.4842952225	NA	NA	17312.6595722	34186.2891092755	NA	NA
A02-0373	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	2/28/22 9:00	3/2/22 9:00	NA	3/4/22	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3210.522439	3210.522439	3210.522439	NA	NA	NA	16161.6678426	24002.5866874384	NA	NA	15681.7479701	27486.6032040416	NA	NA	15201.8280976	31621.8053904518	NA	NA
J01-0045	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	5/9/22 7:30	5/10/22 7:30	0.288	5/11/22	24-hr time-weighted composite	Alpine Lake	26764	NA	-79.50179	39.45709	700	Preston	0.15	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	175	2837.91611	1506.458055	190.784664	3093.89069432307	1642.33767916153	1618.0677212	2450.45480931348	1160.52425329109	1656.53416769199	2612.0670846	4421.60017353552	2157.59363375198	3323.3922539258	3606.066448	7688.37217067373	3154.66301421287	5908.79104234175
