Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
C01-0170	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	05/08/2022 07:00 AM	05/09/2022 07:00 AM	15.911	05/11/2022	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	53035.10003	53035.10003	53035.10003	3194285.96385059	3194285.96385059	3194285.96385059	63.8857192770118	63.8857192770118	63.8857192770118	52898.567812	23696.7660293144	2122021.73646794	1413972.71696554	42.4404347293588	28.2794543393109	54680.548266	15837.9359165718	2238763.92958737	1486352.78667873	44.7752785917474	29.7270557335745	56462.52872	24323.3230016282	2355506.1227068	1942575.58092351	47.110122454136	38.8515116184702
L01-0008	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	02/01/2022 09:10 AM	02/02/2022 09:10 AM	0.295	02/09/2022	24-hr time-weighted composite	West Union	26456		-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2094880.435	2228045.697	2161463.066	2339344.49749874	2488049.60625483	2413697.05187678	4147.77393173535	4411.43547208303	4279.60470190919	2459713.498	3013540.59346825	2884058.60461591	4031583.90104262	5113.57908619843	7148.19840610394	2587737.58368	3191879.14124677	3037673.5854818	4295721.81638016	5385.94607354929	7616.52804322724	2715761.66936	3374710.96625698	3191288.56634769	4563594.4068398	5658.31306090016	8091.47944475142
E01-0102	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	04/28/2022 09:30 AM	04/29/2022 09:30 AM	1.859	05/05/2022	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	80037.53409	53341.37298	66689.453535	563230.305488586	375367.35908084	469298.832284713	15.6452862635718	10.4268710855789	13.0360786745754	59034.287654	52362.7047137147	448076.763857913	373355.872035009	12.4465767738309	10.3709964454169	57254.712174	54192.7937550741	437106.093715717	408782.342453812	12.1418359365477	11.3550650681614	55475.136694	61289.724390787	426135.42357352	479791.658670888	11.8370950992644	13.3275460741913
L01-0022	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	01/17/2022 09:00 AM	01/18/2022 09:00 AM	0.309	01/26/2022	24-hr time-weighted composite	West Union	26456		-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2060106.161	2129078.636	2094592.3985	2409689.0570395	2490365.58788574	2450027.32246262	4272.49832808422	4415.54182249244	4344.02007528833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A03-0168	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	01/12/2022 06:00 AM	01/12/2022 02:00 PM	NA	01/13/2022	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	52238.90416	67176.27414	59707.58915	NA	NA	NA	NA	NA	NA	13039.4947756	40672.8638107118	NA	NA	NA	NA	18877.9977568	44731.2977898012	NA	NA	NA	NA	24716.500738	50719.6084507886	NA	NA	NA	NA
A01-0226	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	04/13/2022 12:00 AM	04/13/2022 11:59 AM	10.8	04/14/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	56683.12356	59384.23119	58033.677375	2317343.7177568	2427771.55596053	2372557.63685867	47.9503335076313	50.2352995356839	49.0928165216576	34169.750758	23426.8926686899	1649886.84077393	808179.942327346	34.139356910568	16.7228095995561	35581.547275	26719.5357683076	1701142.60853436	905386.206408687	35.1999381007772	18.7341956300424	36993.343792	34228.2795253153	1752398.37629479	1341350.54686119	36.2605192909864	27.7551429163464
A04-0074	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	05/11/2022 08:00 AM	05/12/2022 08:00 AM	0.632	05/13/2022	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	566613.9507	610278.5075	588446.2291	1355555.38475539	1460017.55872776	1407786.47174158	677.777692377695	730.008779363882	703.893235870788	195763.159082	397819.497606721	499635.022723289	922935.831569586	249.817511361644	461.467915784793	194014.851767	414950.722070824	493888.921587244	962101.703543226	246.944460793622	481.050851771613	192266.544452	434972.541701616	488142.8204512	1009950.69289768	244.0714102256	504.975346448841
N02-0068	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	04/27/2022 07:00 AM	04/28/2022 07:00 AM	11.86	05/04/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5945.353098	5945.353098	5945.353098	266916.404978504	266916.404978504	266916.404978504	10.0730774012569	10.0730774012569	10.0730774012569	12481.0539184	16016.0191566235	538905.320215605	725131.657493368	20.337584731512	27.3655240959079	11163.8445178	14424.1780199788	480885.649775791	647791.566459793	18.147997953649	24.4468098143178	9846.6351172	14375.2206472381	422865.979335977	636361.663807637	15.958411175786	24.0154601784149
L01-0057	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	03/31/2022 09:00 AM	04/01/2022 09:00 AM	0.322	04/06/2022	24-hr time-weighted composite	West Union	26456		-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2310.524737	4621.176878	3465.8508075	2816.30326918927	5632.76183137149	4224.53255028038	4.99344551274693	9.98716636767995	7.49030594021344	2138.6274636	1698.45133261313	2555.25526553795	2112.97211146932	4.53059444244318	3.74640445295978	2125.6314196	1788.31737246896	2538.11236447713	2218.87671985961	4.50019922779632	3.93417858131136	2112.6353756	2768.34084207303	2520.9694634163	3396.87114566493	4.46980401314947	6.02282118025696
A02-0164	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	10/09/2021 09:00 AM	10/11/2021 09:00 AM	NA	10/11/2021	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2545.658993	7637.70543	5091.6822115	NA	NA	NA	NA	NA	NA	57593.5319838	188738.947325083	NA	NA	NA	NA	42398.0990677	126394.203465409	NA	NA	NA	NA	27202.6661516	64320.304638849	NA	NA	NA	NA
