Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
E02-0006	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	active	11/09/2021	11/10/2021	11/16/2021	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	NA	24809.28168	12401.563	18605.42234	NA	NA	NA	NA	NA	NA	10955.192656	17624.4931234417	NA	NA	NA	NA	10237.775112	14954.2609720541	NA	NA	NA	NA	9520.357568	14820.395067651	NA	NA	NA	NA
D01-0075	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	active	03/22/2022	03/23/2022	03/25/2022	24-hr flow-weighted composite	Charles Town	25414	NA	-77.85589	39.27924	17000	Jefferson	2.25	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1.28	2588	4061.414036	3324.707018	12539.7005824	19678.8701516989	16109.2853670494	0.73762944602353	1.15758059715876	0.947605021591144	423620.523772	961131.510322692	2045382.7150746	4640333.81389564	120.316630298506	272.960812582096	436775.1328686	1000128.91225377	2109026.33844863	4829750.75740273	124.060372849919	284.102985729572	449929.7419652	1039887.66561139	2172669.96182266	5022833.98903212	127.804115401333	295.460822884242
G01-0036	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	01/14/2022	01/15/2022	01/20/2022	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.956	969868.5551	429417.1894	699642.87225	3509810.721566	1553997.23751788	2531903.97954194	429.702585892018	190.254314093766	309.978449992892	233932.942588	758539.281121874	878891.67125314	2712960.57871523	107.60182067252	332.145026777085	163565.1070004	552368.053461749	611006.437653425	1979940.02949216	74.8049017695182	242.402060417747	93197.2714128	346257.277178398	343121.20405371	1247210.60845518	42.0079828665169	152.694736588539
A01-0178	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	02/14/2022	02/15/2022	02/18/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	8.7	196061.6773	187263.144	191662.41065	6456912.35465328	6167149.66798265	6312031.01131796	133.606032830932	127.6102811617	130.608156996316	164906.26644	68957.6408401363	6018498.20268049	2675739.33725366	124.534394195508	55.3662335965416	166846.48638	69691.3651201367	6094029.48265979	2768082.71455496	126.097282789683	57.276997073228	168786.70632	71382.1101499351	6169560.76263908	2887339.07003784	127.660171383858	59.7446422371677
C01-0163	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	active	04/27/2022	04/28/2022	05/03/2022	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	7.479	37621.47345	34726.31324	36173.893345	1065104.59685467	983139.480512275	1024122.03868347	21.3020919370935	19.6627896102455	20.4824407736695	25673.0408212	20604.1749144442	813476.666666471	645487.675440163	16.2695333333294	12.9097535088033	25991.1976286	18495.7450253947	819139.712072794	551689.831367354	16.3827942414559	11.0337966273471	26309.354436	17466.1619211458	824802.757479116	489778.94685825	16.4960551495823	9.795578937165
A01-0265	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	06/03/2022	06/04/2022	06/06/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	7.4	356735.293865202	345747.213363648	351241.253614425	9992881.18075203	9685082.69614776	9838981.9384499	206.772082038405	200.403134748961	203.587608393683	361265.741765499	110935.90593341	11128187.9254947	1419807.26614707	230.263779289329	29.3785645205072	321992.910828442	164251.872114168	9984621.57603314	4458605.44398116	206.601174806182	92.2571892894628	282720.079891384	291435.467720707	8841055.22657159	8499001.5127267	182.938570323034	175.860815939553
S01-0020	not institution specific	wwtp	WWTP	WWTP	21939	FollansbeeWWTP-01	active	05/17/2022	05/18/2022	05/19/2022	24-hr time-weighted composite	Follansbee	26037		-80.59829	40.3258	6468	Brooke	1.6	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.762	54302.5200068951	41263.4962052105	47783.0081060528	156634.664321587	119023.829391666	137829.246856627	24.2168621400104	18.4019525961142	21.3094073680623	44710.9268344939	42238.9030797706	140605.451219057	139634.526909531	21.7386288217465	21.5885168382083	47042.3983745277	46633.9814354445	148630.157109888	157137.21621063	22.979306912475	24.294560329411	49373.8699145615	53087.0526280174	156654.86300072	179764.785706162	24.2199850032034	27.792947697304
C01-0072	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	active	01/02/2022	01/03/2022	01/04/2022	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	22.516	3686.981569	3686.981569	3686.981569	314249.888065354	314249.888065354	314249.888065354	6.28499776130709	6.28499776130709	6.28499776130709	33681.2993218	41867.4537879733	1741181.55479306	2343389.41569017	34.8236310958612	46.8677883138034	39382.1018438	40724.155631522	2017905.64564751	2210088.27649095	40.3581129129502	44.2017655298191	45082.9043658	43704.4010316156	2294629.73650195	2275620.12490994	45.8925947300391	45.5124024981988
A1072	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	06/16/2021	06/16/2021	06/18/2021	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	9.596	1127	1718	1422.5	40938.04324372	62405.99671048	51672.0199771	0.847087469866744	1.29130104102135	1.06919425544405	1407.2	1723.69057559789	49724.992072354	69369.4982541817	1.02890647393548	1.43538938615671	1798.725	1563.38902916184	66699.5508746255	76816.7428689954	1.38014299939218	1.58948731313101	2190.25	1769.97191789615	83674.109676897	94130.6858951283	1.73137952484889	1.94774635604884
N02-0042	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	active	02/23/2022	02/24/2022	03/01/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	7.86	67629.54265	76363.88943	71996.71604	2012203.59975591	2272079.43720152	2142141.51847871	75.9379424770137	85.7453180316069	80.8416302543103	69045.3486	28028.439081964	2205921.18493178	1011431.31826725	83.2485917779371	38.1701003195428	73212.480964	26654.014832468	2337709.86631888	964493.219682212	88.2221249271221	36.3987176270742	77379.613328	25892.4196534722	2469498.54770598	934253.215165033	93.195658076307	35.2574992514542
