Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	flua	flub	flua.load	flub.load	flua.loadcap	flub.loadcap	flua.day5.mean	flua.day5.ci	flua.load.day5.mean	flua.load.day5.ci	flua.loadcap.day5.mean	flua.loadcap.day5.ci	flub.day5.mean	flub.day5.ci	flub.load.day5.mean	flub.load.day5.ci	flub.loadcap.day5.mean	flub.loadcap.day5.ci
N03-0264	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	active	02/05/2023 07:30 AM	02/06/2023 07:30 AM	02/20/2023	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	NA	NA	0.5161	2192	1903	4282.401021392	3717.796142203	2.3110636920626	2.00636596988829	1998.2	719.02677228634	4989.70793850328	2170.44976602907	2.69277276767581	1.17131665732816	1432.6	1455.16561815242	3594.91663844114	3981.58611405555	1.94005215242371	2.14872429252863
R02-0201	not institution specific	wwtp	WWTP	WWTP	28695	ElkinsWWTP-01	active	01/17/2023 06:00 AM	01/18/2023 06:00 AM	01/26/2023	24-hr time-weighted composite	Elkins	26241		-79.86543	38.92026	13156	Randolph	4.99	NA	NA	7.9971	2506.85679260641	498	75888.3266761651	15075.606550878	5.76834346884806	1.14591110906643	2160.94652315378	1234.2665121029	33786.1982813432	46841.6413921004	2.56812087878863	3.56047745455309	1263.8	1333.14949117951	15457.998827012	12477.891182462	1.1749771075564	0.9484563075754
T01-0092	not institution specific	wwtp	WWTP	WWTP	26700	PointPleasantWWTP-01	active	01/17/2023 08:00 AM	01/18/2023 08:00 AM	01/25/2023	24-hr time-weighted composite	Point Pleasant	25550		-82.1351148	38.8567084	5515	Mason	0.7	NA	NA	0.44	4814.79733251035	1088	8019.43206700152	1812.1514752	1.45411279546718	0.328585942919311	26812.3930662453	76037.1737060341	62419.6813745488	181094.577207384	11.3181652537713	32.8367320412301	1271.2	1151.50183709527	2403.62935852	2020.28081310347	0.435834879151405	0.3663247167912
N02-0219	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	active	12/19/2022 07:00 AM	12/20/2022 07:00 AM	12/21/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	NA	NA	8.26	1304	21	40772.8025264	656.6172186	1.53871245099253	0.0247798784285606	3412.75425727069	7384.57866546395	113773.367744544	235387.482823636	4.29365868158141	8.88321695311478	1385.4	2036.83232848078	59920.902300432	101397.771681953	2.26133679147226	3.82661980836113
A01-0513	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	03/13/2023 12:00 AM	03/14/2023 12:00 AM	03/20/2023	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	NA	NA	8	7169.23775151371	910	217108.03421566	27557.7848	4.49238607464948	0.570223986095017	4296.51393665373	7053.29244299004	143716.386167117	250771.344196627	2.97377061262864	5.18894521181565	1702.2	1736.60214248893	55259.9451374	56094.5706053003	1.14343538191938	1.1607054007056
D01-0314	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	active	03/16/2023 07:00 AM	03/17/2023 07:00 AM	03/22/2023	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	NA	NA	1.1	6278.73304300011	3139.25663474947	26144.3367331334	13071.7108035217	1.53790216077255	0.768924164913041	4124.5228753984	4353.2259659355	15749.708935932	16958.7964555048	0.92645346681953	0.997576262088519	2301.07356794029	2030.26298427533	9151.61071649856	8682.90197686907	0.538330042146974	0.510758939815827
A02-1094	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	active	03/01/2023 09:00 AM	03/03/2023 09:00 AM	03/06/2023	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	NA	NA	NA	1732	2102	NA	NA	NA	NA	1124.4	992.506738048084	NA	NA	NA	NA	1092.4	1585.92375515883	NA	NA	NA	NA
J01-0232	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	active	02/21/2023 07:30 AM	02/22/2023 07:30 AM	03/01/2023	24-hr time-weighted composite	Alpine Lake	26764		-79.50179	39.45709	700	Preston	0.15	NA	NA	0.167	2667	103	1685.97997449	65.11283741	2.4085428207	0.0930183391571429	1393	1753.07697234667	786.194074146	1143.67183763909	1.12313439163714	1.63381691091299	1125.8	2184.18666737464	500.13594002	899.814151337626	0.714479914314286	1.28544878762518
M03-0190	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	active	01/26/2023 11:00 AM	01/27/2023 11:00 AM	02/01/2023	24-hr time-weighted composite	Mannington	26582		-80.32371	39.51814	1091	Marion	0.25	NA	NA	0.297	2075	2653.99143565446	2332.85354775	2983.7943789709	2.13827089619615	2.73491693764519	2266.0554952085	1243.11471227056	3759.24989016336	4593.17366265003	3.44569192498933	4.21005835256648	1750.19828713089	2160.25083041364	2622.72544943418	3947.71825599139	2.40396466492592	3.61844019797561
H01-0485	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	02/09/2023 08:00 AM	02/10/2023 08:00 AM	02/20/2023	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	1.9	1639	54	11788.145281	388.383066	0.982345440083333	0.0323652555	1621.68327386379	1642.47647446373	11059.3083659185	10729.985878855	0.921609030493205	0.894165489904582	983.283273863792	1796.56722539284	6620.15805891845	11711.1514847081	0.551679838243204	0.975929290392339
