Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Accepted Droplets,Positives,Negatives
A01,,,,,FLUA,3.61114811897278,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20232,58,20174
A01,,,,,BRSV,2.42704367637634,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20232,39,20193
A01,,,,,RSV,0.621872544288635,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20232,10,20222
A01,,,,,FLUB,0.186529487371445,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20232,3,20229
A01,,,,,SC2,2.98779606819153,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20232,48,20184
A02,,,,,FLUA,3.66812872886658,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20605,60,20545
A02,,,,,BRSV,3.11722707748413,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20605,51,20554
A02,,,,,RSV,0.427397578954697,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20605,7,20598
A02,,,,,FLUB,0.12209877371788,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20605,2,20603
A02,,,,,SC2,1.52708721160889,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20605,25,20580
A03,,,,,FLUA,0.235213235020638,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,21393,4,21389
A03,,,,,BRSV,2.00071597099304,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,21393,34,21359
A03,,,,,RSV,0.058799184858799,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,21393,1,21392
A03,,,,,FLUB,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,21393,0,21393
A03,,,,,SC2,2.17740249633789,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,21393,37,21356
A04,,,,,FLUA,11.0584745407104,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19879,174,19705
A04,,,,,BRSV,3.10434675216675,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19879,49,19830
A04,,,,,RSV,1.45618832111359,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,19879,23,19856
A04,,,,,FLUB,0.0632774904370308,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,19879,1,19878
A04,,,,,SC2,1.64625024795532,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,19879,26,19853
B01,,,,,FLUA,1.79231023788452,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20367,29,20338
B01,,,,,BRSV,4.39260578155518,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20367,71,20296
B01,,,,,RSV,0.37061333656311,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20367,6,20361
B01,,,,,FLUB,0.0617613047361374,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20367,1,20366
B01,,,,,SC2,2.78226518630981,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20367,45,20322
B02,,,,,FLUA,1.05946183204651,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20192,17,20175
B02,,,,,BRSV,4.30571937561035,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20192,69,20123
B02,,,,,RSV,0.37382584810257,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20192,6,20186
B02,,,,,FLUB,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20192,0,20192
B02,,,,,SC2,2.55669355392456,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20192,41,20151
B03,,,,,FLUA,0.30962747335434,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20315,5,20310
B03,,,,,BRSV,0.805190026760101,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20315,13,20302
B03,,,,,RSV,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20315,0,20315
B03,,,,,FLUB,0.123841844499111,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20315,2,20313
B03,,,,,SC2,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20315,0,20315
B04,,,,,FLUA,1.5699874162674,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20844,26,20818
B04,,,,,BRSV,3.74705600738525,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20844,62,20782
B04,,,,,RSV,0.0603479072451591,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20844,1,20843
B04,,,,,FLUB,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20844,0,20844
B04,,,,,SC2,1.44914948940277,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20844,24,20820
C01,,,,,FLUA,0.551545858383179,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20530,9,20521
C01,,,,,BRSV,5.64945650100708,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20530,92,20438
C01,,,,,RSV,0.122544854879379,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20530,2,20528
C01,,,,,FLUB,0.245101630687714,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20530,4,20526
C01,,,,,SC2,2.14626026153564,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20530,35,20495
C02,,,,,FLUA,2.64600872993469,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19987,42,19945
C02,,,,,BRSV,3.15064191818237,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,19987,50,19937
C02,,,,,RSV,0.629497408866882,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,19987,10,19977
C02,,,,,FLUB,0.0629355609416962,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,19987,1,19986
C02,,,,,SC2,4.0342378616333,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,19987,64,19923
C03,,,,,FLUA,0.121274746954441,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20745,2,20743
C03,,,,,BRSV,1.51677536964417,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20745,25,20720
C03,,,,,RSV,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20745,0,20745
C03,,,,,FLUB,0.0606359057128429,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20745,1,20744
C03,,,,,SC2,0.242561191320419,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20745,4,20741
C04,,,,,FLUA,0.981697797775269,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20509,16,20493
C04,,,,,BRSV,3.931396484375,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20509,64,20445
C04,,,,,RSV,0.306698262691498,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20509,5,20504
C04,,,,,FLUB,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20509,0,20509
C04,,,,,SC2,2.02559185028076,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20509,33,20476
D01,,,,,FLUA,1.4788224697113,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20426,24,20402
D01,,,,,BRSV,3.57680177688599,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20426,58,20368
D01,,,,,RSV,0.554354727268219,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20426,9,20417
D01,,,,,FLUB,0.554354727268219,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20426,9,20417
D01,,,,,SC2,3.20631575584412,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20426,52,20374
D02,,,,,FLUA,1.54244232177734,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20400,25,20375
D02,,,,,BRSV,3.3340482711792,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20400,54,20346
D02,,,,,RSV,0.616750001907349,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20400,10,20390
D02,,,,,FLUB,0.0616613924503326,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20400,1,20399
D02,,,,,SC2,2.34526062011719,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20400,38,20362
D03,,,,,FLUA,5.08300971984863,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20829,84,20745
D03,,,,,BRSV,4.4162073135376,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20829,73,20756
D03,,,,,RSV,1.57111859321594,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20829,26,20803
D03,,,,,FLUB,0.060391366481781,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20829,1,20828
D03,,,,,SC2,4.17382144927979,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20829,69,20760
D04,,,,,FLUA,0.0695008710026741,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18099,1,18098
D04,,,,,BRSV,0.0695008710026741,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,18099,1,18098
D04,,,,,RSV,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,18099,0,18099
D04,,,,,FLUB,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,18099,0,18099
D04,,,,,SC2,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,18099,0,18099
E01,,,,,FLUA,1.02689981460571,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20832,17,20815
E01,,,,,BRSV,3.93091511726379,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20832,65,20767
E01,,,,,RSV,2.4175705909729,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20832,40,20792
E01,,,,,FLUB,0.18115670979023,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20832,3,20829
E01,,,,,SC2,1.26864528656006,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20832,21,20811
E02,,,,,FLUA,0.799638211727142,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20456,13,20443
E02,,,,,BRSV,4.86719989776611,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20456,79,20377
E02,,,,,RSV,0.615061163902283,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20456,10,20446
E02,,,,,FLUB,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20456,0,20456
E02,,,,,SC2,3.1399610042572,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20456,51,20405
E03,,,,,FLUA,3.50194501876831,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20862,58,20804
E03,,,,,BRSV,2.71617817878723,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20862,45,20817
E03,,,,,RSV,0.24120070040226,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20862,4,20858
E03,,,,,FLUB,0.120594568550587,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20862,2,20860
E03,,,,,SC2,12.9087162017822,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20862,213,20649
E04,,,,,FLUA,17.4725971221924,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,21820,301,21519
E04,,,,,BRSV,3.1168065071106,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,21820,54,21766
E04,,,,,RSV,0,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,21820,0,21820
E04,,,,,FLUB,0.0576485097408295,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,21820,1,21819
E04,,,,,SC2,0.40359503030777,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,21820,7,21813
F01,,,,,FLUA,2.4930431842804,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20707,41,20666
F01,,,,,BRSV,4.32035684585571,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,HEX,20707,71,20636
F01,,,,,RSV,0.486059665679932,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,20707,8,20699
F01,,,,,FLUB,0.182250365614891,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,20707,3,20704
F01,,,,,SC2,5.05202674865723,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,20707,83,20624
