Asset Tag ID,Description,Site,Location,Category,Department,Sample Collection Method,Sample Collection By,Sample Retrieved Date/Time,Sample Collection Start,Sample Collection End,Sample Received By,Sample Received Date,Assay Date,Comments,Sample pH (Lab),"Control, Process (Type)","Control, Internal (Type)",Sample QC Check,Assay Target 1,Assay Target 1 Result (CN/L),Assay Target 2,Assay Target 2 Result (CN/L),Sample Flow (MGD),Status: WaTCH
MP1-01,Milk,Monongalia,Giant Eagle - University Town Centre,Sample,Store,Grab,SK,5/20/24 0:00,5/20/24 0:00,5/20/24 0:00,SK,5/20/24,5/29/24,,,,,Pass,,,,,,
MP2-01,Milk,Monongalia,Walmart - Universirty Town Center,Sample,Store,Grab,SK,5/20/24 0:00,5/20/24 0:00,5/20/24 0:00,SK,5/20/24,5/29/24,,,,,Pass,,,,,,
MP3-01,Milk,Monongalia,ALDI - Star City,Sample,Store,Grab,SK,5/20/24 0:00,5/20/24 0:00,5/20/24 0:00,SK,5/20/24,5/29/24,,,,,Pass,,,,,,
MP4-01,Milk,Monongalia,Kroger - Suncrest Town Centre,Sample,Store,Grab,SK,5/20/24 0:00,5/20/24 0:00,5/20/24 0:00,SK,5/20/24,5/29/24,,,,,Pass,,,,,,
MR1-01,Milk,Monongalia,East End Co-op,Sample,Store,Grab,SK,5/30/24 0:00,5/30/24 0:00,5/30/24 0:00,SK,5/30/24,6/26/24,,,,,Pass,,,,,,
MR2-01,Milk,Monongalia,East End Co-op,Sample,Store,Grab,SK,5/30/24 0:00,5/30/24 0:00,5/30/24 0:00,SK,5/30/24,6/26/24,,,,,Pass,,,,,,
MR3-01,Milk,Monongalia,United Methodist Farmers Market,Sample,Store,Grab,SK,5/30/24 0:00,5/30/24 0:00,5/30/24 0:00,SK,5/30/24,6/26/24,,,,,Pass,,,,,,
MP1-02,Milk,Monongalia,Giant Eagle,Sample,Store,Grab,SK,5/30/24 0:00,5/30/24 0:00,5/30/24 0:00,SK,5/30/24,6/26/24,,,,,Pass,,,,,,
MP4-02,Milk,Monongalia,Kroger,Sample,Store,Grab,SK,5/30/24 0:00,5/30/24 0:00,5/30/24 0:00,SK,5/30/24,6/26/24,,,,,Pass,,,,,,
MP2-02,Milk,Monongalia,Walmart - Universirty Town Center,Sample,Store,Grab,SK,6/17/24 0:00,6/17/24 0:00,6/17/24 0:00,SK,6/17/24,6/26/24,,,,,Pass,,,,,,
MP3-02,Milk,Monongalia,ALDI - Star City,Sample,Store,Grab,SK,6/17/24 0:00,6/17/24 0:00,6/17/24 0:00,SK,6/17/24,6/26/24,,,,,Pass,,,,,,
MR4-01,Milk,Uniontown PA,"The Family Cow - Uniontown, Pa",Sample,Store,Grab,SK,6/14/24 0:00,6/14/24 0:00,6/14/24 0:00,SK,6/14/24,6/26/24,,,,,Pass,,,,,,
MP1-03,Milk,Monongalia,Giant Eagle,Sample,Store,Grab,SK,6/17/24 0:00,6/17/24 0:00,6/17/24 0:00,SK,6/17/24,6/26/24,,,,,Pass,,,,,,
MP1-04,Milk,Monongalia,Giant Eagle,Sample,Store,Grab,SK,7/1/24 0:00,7/1/24 0:00,7/1/24 0:00,SK,7/1/24,7/24/24,,,,,Pass,,,,,,
MP3-03,Milk,Monongalia,ALDI - Star City,Sample,Store,Grab,SK,7/1/24 0:00,7/1/24 0:00,7/1/24 0:00,SK,7/1/24,7/24/24,,,,,Pass,,,,,,
MP2-03,Milk,Monongalia,Walmart - Universirty Town Center,Sample,Store,Grab,SK,7/1/24 0:00,7/1/24 0:00,7/1/24 0:00,SK,7/1/24,7/24/24,,,,,Pass,,,,,,
MR4-01,Milk,Monongalia,Mal's Fresh Produce,Sample,Store,Grab,SK,7/1/24 0:00,7/1/24 0:00,7/1/24 0:00,SK,7/1/24,7/24/24,,,,,Pass,,,,,,
MP3-04,Milk,Monongalia,ALDI - Star City,Sample,Store,Grab,SK,7/15/24 0:00,7/15/24 0:00,7/15/24 0:00,SK,7/15/24,7/24/24,,,,,Pass,,,,,,
MP1-05,Milk,Monongalia,Giant Eagle - University Town Centre,Sample,Store,Grab,SK,7/15/24 0:00,7/15/24 0:00,7/15/24 0:00,SK,7/15/24,7/24/24,,,,,Pass,,,,,,
MP2-04,Milk,Monongalia,Walmart - Universirty Town Center,Sample,Store,Grab,SK,7/15/24 0:00,7/15/24 0:00,7/15/24 0:00,SK,7/15/24,7/24/24,,,,,Pass,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
