assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
MP1-01.a1	MP1-01.e1	MP1-01	ABM1	A01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	HEX	20592	0	0	
ABM1.HE1	NA	NA	ABM1	G01	5	control	PCR Positive	Influenza Virus A (FluA)	M	GBlock	RNA	HEX	21465	0	1.11390423774719	
MP4-01.a1	MP4-01.e1	MP4-01	ABM1	D01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	HEX	20620	0	0	
ABM1.HE2	NA	NA	ABM1	E01	5	control	PCR Negative	Influenza Virus A (FluA)	M	NA	RNA	HEX	20974	0	0	
ABM1.HE3	NA	NA	ABM1	F01	5	control	PCR Negative	Influenza Virus A (FluA)	M	NA	RNA	HEX	21006	0	0	
MP2-01.a1	MP2-01.e1	MP2-01	ABM1	B01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	HEX	19518	0	0	
MP3-01.a1	MP3-01.e1	MP3-01	ABM1	C01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	HEX	20487	0	0	
ABM1.HE4	NA	NA	ABM1	H01	5	control	PCR Negative	Influenza Virus A (FluA)	M	NA	RNA	HEX	20501	0	0	
MR4-01.a1	MR4-01.e1	MR4-01	ABM2	D02	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	19762	0	0	
MR4-01.a2	MR4-01.e1	MR4-01	ABM2	D02	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1:FLUB	sample	RNA	Cy5.5	19762	0	26.9563579559326	
MR4-01.a3	MR4-01.e1	MR4-01	ABM2	D02	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	19762	0	0	
