assay_id	extract_id	plate_id	plate_cell	assay_input_ml	assay_type	accepted_droplets	subject_1	subject_1_category	subject_1_target	subject_1_target_macromolecule	subject_1_fluorophore	subject_1_calculated_copies_per_reaction	subject_1_copies_per_reaction	subject_1_result	subject_2	subject_2_category	subject_2_target	subject_2_target_macromolecule	subject_2_fluorophore	subject_2_calculated_copies_per_reaction	subject_2_copies_per_reaction	subject_2_result	subject_3	subject_3_category	subject_3_target	subject_3_target_macromolecule	subject_3_fluorophore	subject_3_copies_per_reaction	subject_3_result	subject_4	subject_4_category	subject_4_target	subject_4_target_macromolecule	subject_4_fluorophore	subject_4_copies_per_reaction	subject_4_result	notes
A0100.a1	A0100.e1	MA0		0.005	Direct Quantification	11518	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0		9816	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0		9816								Human	Internal Control	Human RNase P	RNA	HEX		29424	
A0101.a1	A0101.e1	MA0		0.005	Direct Quantification	13937	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0		8517.6	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0		12776.4								Human	Internal Control	Human RNase P	RNA	HEX		17010	
A0104.a1	A0104.e1	MA0		0.005	Direct Quantification	14007	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0		13708.8	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0		13708.8								Human	Internal Control	Human RNase P	RNA	HEX		17136	
A0102.a1	A0102.e1	MA0		0.005	Direct Quantification	11130	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0		12933.6	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0		21562.8								Human	Internal Control	Human RNase P	RNA	HEX		38821.2	
A0103.a1	A0103.e1	MA0		0.005	Direct Quantification	11366	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0		12420	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0		12420								Human	Internal Control	Human RNase P	RNA	HEX		18630	
A0248.a1	A0248.e1	MA1		0.005	Direct Quantification	13948	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0		85080	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0		109416								Human	Internal Control	Human RNase P	RNA	HEX		4056	
A0245.a1	A0245.e1	MA1		0.005	Direct Quantification	11511	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0		24528	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0		14712								Human	Internal Control	Human RNase P	RNA	HEX		44160	
A0250.a1	A0250.e1	MA1		0.005	Direct Quantification	11742	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0		45714	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0		54856.8								Human	Internal Control	Human RNase P	RNA	HEX		36571.2	
A0249.a1	A0249.e1	MA1		0.005	Direct Quantification	10132	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0		151837.2	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0		132824.4								Human	Internal Control	Human RNase P	RNA	HEX		61628.4	
A0244.a1	A0244.e1	MA2		0.005	Direct Quantification	12491	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0		66502.8	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0		71240.4								Human	Internal Control	Human RNase P	RNA	HEX		37976.4	
