assay_batch_id	assay_amplification_method	assay_amplification_method_lot_id	assay_analysis_software_version	assay_batch_comment	assay_batch_record_version	assay_date	assay_machine	assay_method	assay_method_lot_id	assay_quantification_method	assay_quantification_type	assay_reaction_ul	assay_run_by
AP158	OneStep RT-ddPCR	63101837	1.2	J2	1.0	1/26/23	QX 200			DQ	Direct Quantification	20	JL
AP134	OneStep RT-ddPCR	6310837	1.2	F7	1.0	11/21/22	QX 200			DQ	Direct Quantification	20	AJ
AP153	OneStep RT-ddPCR	63101837	1.2	J6	1.0	1/12/23	QX 200			DQ	Direct Quantification	20	JL
AP86	OneStep RT-ddPCR	XXXXXX	1.2	NAB 43 C1	1.0	6/1/22	QX 200			DQ	Direct Quantification	20	JL
AP105	OneStep RT-ddPCR	58477041	1.2	A6	1.0	8/4/22	QX 200			DQ	Direct Quantification	20	JL
AP0.009	OneStep RT-ddPCR		1.2		1.0	12/14/20		CDC N1/N2/RP Triplex		DQ	Direct Quantification	20	
AP27	OneStep RT-ddPCR	XXXXXX	1.2	I3	1.0	12/14/21	QX 200			DQ	Direct Quantification	20	JL
AP91	OneStep RT-ddPCR	58477041	1.2	H1	1.0	6/15/22	QX 200			DQ	Direct Quantification	20	JL
AP74	OneStep RT-ddPCR	58477041	1.2	D3	1.0	5/2/22	QX 200			DQ	Direct Quantification	20	JL
AP10	OneStep RT-ddPCR	58477037	1.2	A2	1.0	9/29/21	QX 200	CDC N1/N2/RP Triplex		DQ	Direct Quantification	20	JL
AP69	OneStep RT-ddPCR	58477041	1.2	G6	1.0	4/25/22	QX 200			DQ	Direct Quantification	20	JL
AP149	OneStep RT-ddPCR	XXXXXX	1.2	E1	1.0	1/6/23	QX 200			DQ	Direct Quantification	20	JL
AP59	OneStep RT-ddPCR	XXXXXX	1.2	NAB 32 A2	1.0	3/31/22	QX 200			DQ	Direct Quantification	20	JL
AP67	OneStep RT-ddPCR	58477041	1.2	L1	1.0	4/20/22	QX 200			DQ	Direct Quantification	20	JL
AP112	OneStep RT-ddPCR	58477041	1.2	E6	1.0	8/30/22	QX 200			DQ	Direct Quantification	20	JL
AP128	OneStep RT-ddPCR	XXXXXX	1.2	E4	1.0	10/20/22	QX 200			DQ	Direct Quantification	20	JL
AP46	OneStep RT-ddPCR	XXXXXX	1.2	B5	1.0	2/17/22	QX One			DQ	Direct Quantification	20	JL
AP123	OneStep RT-ddPCR	58477041	1.2	E6	1.0	10/6/22	QX 200			DQ	Direct Quantification	20	JL
AP130	OneStep RT-ddPCR	63101837	1.2	F7	1.0	10/31/22	QX 200			DQ	Direct Quantification	20	JL
AP57	OneStep RT-ddPCR	58477040	1.2	G5	1.0	3/29/22	QX 200			DQ	Direct Quantification	20	JL
AP108	OneStep RT-ddPCR	58477041	1.2	J6	1.0	8/17/22	QX 200			DQ	Direct Quantification	20	JL
AP1	OneStep RT-ddPCR		1.2		1.0	8/13/21	QX 200	CDC N1/N2/RP Triplex		DQ	Direct Quantification	20	JL
AP103	OneStep RT-ddPCR	58477041	1.2	J1	1.0	7/28/22	QX 200			DQ	Direct Quantification	20	JL
AP0.9	OneStep RT-ddPCR		1.2		1.0	7/30/21	QX 200	N1/N2/BRSV Triplex		DQ	Direct Quantification	20	
AP24	OneStep RT-ddPCR	58477038	1.2	L6	1.0	12/6/21	QX 200			DQ	Direct Quantification	20	JL
AP93	OneStep RT-ddPCR	XXXXXX	1.2	H2	1.0	6/23/22	QX 200			DQ	Direct Quantification	20	JL
AP12	OneStep RT-ddPCR	58477037	1.2	I8	1.0	10/11/21	QX One	CDC N1/N2/RP Triplex		DQ	Direct Quantification	20	JL
AP5.1	OneStep RT-ddPCR	58477036	1.2	F4	1.0	8/20/21	QX One	CDC N1/N2/RP Triplex		DQ	Direct Quantification	20	JL
AP121	OneStep RT-ddPCR	58477041	1.2	K2	1.0	9/29/22	QX 200			DQ	Direct Quantification	20	JL
AP114	OneStep RT-ddPCR	58477041	1.2	E2	1.0	9/7/22	QX 200			DQ	Direct Quantification	20	JL
