concentration_batch_id	concentration_batch_comment	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by
CP11		1.0	9/13/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL
CP167		1.0	6/15/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP150		1.0	5/23/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP329		1.0	1/26/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP102		1.0	3/23/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP237		1.0	9/16/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP348		1.0	2/22/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP240		1.0	9/21/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP364		1.0	3/15/23	10	Kookaburra	Ceres Nanotrap	NT04465	0.475	AJ
CP196		1.0	7/27/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP263		1.0	10/19/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP272		1.0	10/28/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP37		1.0	11/17/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
CS9		1.0	1/3/21	100		PEG Precipitation		15	MS
CP182		1.0	7/7/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CS13		1.0	2/22/21	100		PEG Precipitation		4	AT
CP359		1.0	3/8/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP120		1.0	4/18/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP133		1.0	5/3/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP274		1.0	11/3/22	10	Halcyon	Ceres Nanotrap	4455	0.475	SB
CP373		1.0	3/27/23	10	Kookaburra	Ceres Nanotrap	NT04465	0.475	AJ
CP362		1.0	3/10/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP26		1.0	10/18/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
CP345		1.0	2/20/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP92		1.0	3/9/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP217		1.0	8/23/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP256		1.0	10/7/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP13		1.0	9/17/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL
CP184		1.0	7/8/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP9		1.0	9/8/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL
CP87		1.0	3/2/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	aj
CP307		1.0	12/21/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP66		1.0	1/26/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
CP290		1.0	11/28/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP146		1.0	5/18/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP113		1.0	4/6/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP47		1.0	12/10/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CS11		1.0	2/5/21	100		PEG Precipitation		5	MS
CP226		1.0	9/2/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP341		1.0	2/15/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP95		1.0	3/11/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP104		1.0	3/25/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP197		1.0	7/28/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP108		1.0	3/30/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
